Residuals	genotype	number_of_pups_scaled	weight_grams_scaled	lipocalin2_pg_ml_scaled
ASV93|Desulfobacterota|Desulfovibrionaceae|Desulfovibrio.spec.	0.8273511421972	0	0.0808953054425405	0.0325776714339951	0.0591758809262642
ASV99|Firmicutes|Oscillospiraceae|Oscillibacter.spec.	0.584100769670063	0.326694423249501	0.0390410972296788	0.0310026382722838	0.0191610715784732
ASV100|Firmicutes|Lachnospiraceae|Lachnoclostridium.spec.	0.466387883483178	0.475790957760656	0.0336705038814299	0.000145182893640902	0.0240054719810951
ASV101|Proteobacteria|Sutterellaceae|Parasutterella.spec.	0.835836279975911	0.0967978344019047	0.0178695178802819	0.0490896339744046	0.000406733767497982
ASV105|Firmicutes|Clostridiaceae|Candidatus Arthromitus.spec.	0.70589671830158	0.0370892753793272	7.16424371283514e-07	0.157218056964143	0.0997952329305782
ASV107|Firmicutes|Ruminococcaceae|unknown.spec.	0.579258922817711	0.296380484822254	0.0660075183027936	0.0271062084805283	0.0312468655767129
ASV108|Firmicutes|Oscillospiraceae|unknown.spec.	0.495896544186913	0.464753309241819	0.00170693496468196	0.00409231437419042	0.0335508972323956
ASV117|Actinobacteriota|Eggerthellaceae|Enterorhabdus.spec.	0.757860718907477	0	0.178645925584629	0.038789304969598	0.0247040505382957
ASV121|Firmicutes|[Eubacterium] coprostanoligenes group|unknown.spec.	0.838294096423647	0.081422373231891	0.072477352412322	0.00542073653669374	0.00238544139544628
ASV129|Firmicutes|Lachnospiraceae|Lachnospiraceae UCG-006.spec.	0.502958928467153	0.335791556826324	0.000198409347896739	0.0932593612197978	0.0677917441388284
ASV137|Firmicutes|unknown|unknown.spec.	0.779250096023308	0.0772910508438466	0.103044948031904	0.000624380096893848	0.0397895250040479
ASV138|Firmicutes|Lachnospiraceae|ASF356.spec.	0.628245398166425	0.284455833535806	0.00233615125624089	0.0836118413945854	0.00135077564694252
ASV139|Firmicutes|Peptococcaceae|unknown.spec.	0.387126631082315	0.396026448347847	0.137373797660804	0.000607903840509185	0.0788652190685246
ASV148|Firmicutes|Anaerovoracaceae|[Eubacterium] nodatum group.spec.	0.5890801363085	0.126370627574265	0.256328859868847	0.0276887760392867	0.000531600209100666
ASV161|Firmicutes|Oscillospiraceae|Intestinimonas.spec.	0.484101553006711	0.352235509719691	0.0148400416046443	0.0725753178262158	0.0762475778427378
ASV169|Firmicutes|Ruminococcaceae|Negativibacillus.spec.	0.681629298837096	0.221571853175639	0.0148120505421634	0.0180040043694311	0.0639827930756706
ASV182|Firmicutes|Butyricicoccaceae|UCG-009.spec.	0.812966192170917	0	0.133911540698807	0.000516271731583232	0.0526059953986927
ASV188|Actinobacteriota|Atopobiaceae|Coriobacteriaceae UCG-002.spec.	0.508069968163084	0.436909060118979	0.00668239419915315	0.0139986530126789	0.0343399245061042
ASV205|Firmicutes|Ruminococcaceae|Incertae Sedis.spec.	0.731891772564532	0.214922503785752	0.00205697351051627	0.0234404015301972	0.027688348609002
ASV229|Firmicutes|Butyricicoccaceae|Butyricicoccus.spec.	0.485538433611397	0.448101234078146	0.0641671442104868	0.000196749877608253	0.00199643822236205
ASV233|Firmicutes|Lachnospiraceae|GCA-900066575.spec.	0.380995865790878	0.524817869708383	0.00842724782127778	0.0446380030584689	0.041121013620992
ASV262|Firmicutes|Lachnospiraceae|Tyzzerella.spec.	0.820907319926939	0.0405529323834595	0.0784734572662298	0.0564231732236903	0.00364311719968113
