Residuals	genotype	number_of_pups_scaled	lipocalin2_pg_ml_scaled	weight_grams_scaled
ASV15|Firmicutes|Lachnospiraceae|Lachnospiraceae UCG-001.spec.	0.62177148247977	0.298843746348988	0.0499032526730413	0.0210248366536023	0.0084566818445982
ASV16|Bacteroidota|Muribaculaceae|unknown.spec.	0.856065360436247	0	0.0976341859651585	0.0129296066618295	0.0333708469367654
ASV17|Firmicutes|Erysipelotrichaceae|Turicibacter.spec.	0.266106949017702	0.554567372771494	0.0612096387584726	0.116746707487863	0.00136933196446765
ASV18|Bacteroidota|Marinifilaceae|Odoribacter.spec.	0.953772320367395	0	0.0185022567619747	0.014001292693353	0.0137241301772773
ASV19|Bacteroidota|Muribaculaceae|unknown.spec.	0.836431332401521	0.0296746174739271	0.0728251028574081	0.0540887275110138	0.00698021975612991
ASV20|Bacteroidota|Marinifilaceae|Odoribacter.spec.	0.900341988681125	0	0.0377066209336342	0.0278809502591612	0.0340704401260792
ASV21|Bacteroidota|Muribaculaceae|unknown.spec.	0.625501786858604	0.333055116459722	0.0248111203861706	0.0145242870518733	0.00210768924363029
ASV22|Firmicutes|Lachnospiraceae|Lachnospiraceae NK4A136 group.bacterium	0.927052458853371	0	0.0200061721509779	0.018818180612518	0.0341231883831327
ASV23|Bacteroidota|Muribaculaceae|unknown.spec.	0.671132569255871	0	0.279542077526695	0.0220555752947486	0.0272697779226859
ASV24|Bacteroidota|Rikenellaceae|Alistipes.spec.	0.914023180382856	0	0.0181273957148926	0.0337079790293821	0.0341414448728692
ASV26|Bacteroidota|Muribaculaceae|unknown.spec.	0.826344418576405	0	0.0875284658177118	0.000443769435109696	0.0856833461707733
ASV27|Firmicutes|Lachnospiraceae|Marvinbryantia.spec.	0.838425530548459	0	0.0821478317059595	0.00766350312109089	0.0717631346244902
ASV28|Bacteroidota|Prevotellaceae|Alloprevotella.spec.	0.565539575165084	0.0482665716276707	0.00632942737318416	0.0108579555227014	0.369006470311359
ASV29|Bacteroidota|Muribaculaceae|unknown.spec.	0.845874598593472	0.00508992271728422	0.0456492042546291	0.0137938307463884	0.0895924436882266
ASV30|Bacteroidota|Muribaculaceae|unknown.spec.	0.90458312536825	1.27732844199764e-19	0.00865263174697678	6.01320960793848e-05	0.0867041107886943
ASV31|Bacteroidota|Rikenellaceae|Alistipes.spec.	0.987754839635815	0.000705317397898686	0.00309504155258417	0.00123740721876684	0.00720739419493559
ASV32|Bacteroidota|Muribaculaceae|unknown.spec.	0.924338851195679	0	0.0119123397354947	0.00202717840298966	0.0617216306658364
ASV33|Bacteroidota|Rikenellaceae|Rikenellaceae RC9 gut group.spec.	0.898466408676065	0	0.0300870920960422	0.0538640721380254	0.0175824270898673
ASV34|Firmicutes|Lachnospiraceae|Lachnospiraceae NK4A136 group.spec.	0.936681175471946	0	0.0314514695621294	0.0295709868432409	0.00229636812268371
ASV35|Bacteroidota|Muribaculaceae|unknown.spec.	0.732172725127681	0	0.0377180356609345	0.21903319455755	0.0110760446538343
ASV36|Firmicutes|Lachnospiraceae|Roseburia.spec.	0.447016911754526	0.298114445348502	0.180727547213609	0.0683382490820138	0.00580284660134904
ASV37|Bacteroidota|Muribaculaceae|unknown.spec.	0.84235876619769	0	0.0253021548684549	0.129553725854312	0.00278535307954291
ASV38|Firmicutes|Lachnospiraceae|A2.spec.	0.915352120288699	0	0.0829337200911449	0.00139967628868082	0.000314483331475569
ASV39|Firmicutes|Lachnospiraceae|Roseburia.spec.	0.456155410814129	0.458290491807562	0.0320453939517206	0.0231795645654745	0.0303291388611142
ASV40|Bacteroidota|Muribaculaceae|unknown.spec.	0.711754533184855	0.201757082608072	0.00396682433937451	0.00100166961357112	0.0815198902541273
ASV41|Bacteroidota|Muribaculaceae|unknown.spec.	0.830330787484737	0	0.0908514099890958	0.0707999736984948	0.00801782882767191
ASV42|Bacteroidota|Muribaculaceae|unknown.spec.	0.89019096745857	0	0.0602607122110011	0.0374828408350445	0.0120654794953845
ASV43|Firmicutes|Lachnospiraceae|Lachnospiraceae NK4A136 group.spec.	0.603244566178894	0.291074223275395	0.0138665040323297	0.0893914032775366	0.00242330323584542
ASV44|Bacteroidota|Muribaculaceae|unknown.spec.	0.58472686275515	0.0112379091426338	0.00155676104366071	0.236960456707678	0.165518010350878
ASV45|Firmicutes|Lactobacillaceae|Lactobacillus.intestinalis	0.879592445281532	0	0.0245643173773765	0.00283461527510919	0.093008622065982
ASV46|Bacteroidota|Muribaculaceae|unknown.spec.	0.359918323692556	0.463337396034033	0.0103687626503287	0.140814061582549	0.0255614560405346
ASV48|Bacteroidota|Bacteroidaceae|Bacteroides.spec.	0.990173259134171	0	0.00545236224904587	0.0024807603240964	0.00189361829268663
ASV49|Bacteroidota|Muribaculaceae|unknown.spec.	0.579905064206487	0.3343397965138	0.0603438541524272	0.00424197577884411	0.0211693093484415
ASV50|Bacteroidota|Muribaculaceae|unknown.spec.	0.226102482003407	0.753379183581418	0.000725706764419374	0.0189467459857211	0.000845881665034852
ASV51|Firmicutes|Lachnospiraceae|Lachnospiraceae NK4A136 group.spec.	0.853483016955371	0	0.0547747192712967	0.0572142479694604	0.034528015803872
ASV52|Firmicutes|Lactobacillaceae|Lactobacillus.gasseri	0.855886828471887	0.00705694291798497	0.00989939139007214	0.0282682808904898	0.0988885563295665
ASV53|Firmicutes|unknown|unknown.spec.	0.982056534514862	0	8.39921347401622e-07	0.0175213897179336	0.000421235845856601
ASV54|Bacteroidota|Muribaculaceae|unknown.spec.	0.455594209146865	0.469705348795948	0.0318415902873427	0.00700898701519207	0.0358498647546528
ASV55|Firmicutes|Lachnospiraceae|Roseburia.spec.	0.891395016119918	0	0.0642788514136945	0.03801628168091	0.00630985078547694
ASV56|Bacteroidota|Muribaculaceae|unknown.spec.	0.863234539294063	0	0.01504814554408	0.00619672189843912	0.115520593263418
ASV57|Bacteroidota|Rikenellaceae|Alistipes.spec.	0.726938414241725	0.181930021066065	0.0355947754338584	0.0541175975462328	0.0014191917121184
ASV58|Firmicutes|Lachnospiraceae|unknown.spec.	0.295557416129681	0.639673384188701	0.0235002824241391	0.0297996672410747	0.0114692500164049
ASV59|Bacteroidota|Muribaculaceae|unknown.spec.	0.695394945272867	0.194951890471816	0.0328373105995356	0.000327753481323386	0.0764881001744578
ASV60|Bacteroidota|Muribaculaceae|unknown.spec.	0.982426129438998	0	0.00888429778090134	0.00162715737430024	0.00706241540580041
ASV61|Bacteroidota|Muribaculaceae|unknown.spec.	0.928705667463781	0	0.0312096221615077	0.00322151328235236	0.0368631970923589
ASV62|Campylobacterota|Helicobacteraceae|Helicobacter.hepaticus	0.956819516255503	0	0.0337556846678514	8.52680176324252e-06	0.00941627227488255
ASV63|Firmicutes|Lactobacillaceae|HT002.spec.	0.947126564866803	0	0.0105772695168314	0.0417884661363004	0.000507699480065353
ASV64|Firmicutes|Lachnospiraceae|A2.spec.	0.825255692991555	0.0571813149510219	0.0954821679389472	0.00946694937203131	0.0126138747464441
ASV65|Firmicutes|Lachnospiraceae|Lachnospiraceae UCG-001.spec.	0.623929560614542	0.28358237420002	0.0722994908175441	0.0150344344597451	0.0051541399081491
ASV66|Bacteroidota|Bacteroidaceae|Bacteroides.acidifaciens	0.96617250625712	0	0.0106737315425904	0.0181411330000836	0.00501262920020554
ASV67|Firmicutes|Ruminococcaceae|Anaerotruncus.spec.	0.890138222185647	0.0626546757786567	0.0135637237004448	0.000445523402541561	0.03319785493271
ASV68|Firmicutes|Lachnospiraceae|Lachnospiraceae FCS020 group.spec.	0.461020995445785	0.399581473461646	0.0726304524953292	0.0485670010913002	0.0182000775059392
ASV69|Firmicutes|Lachnospiraceae|Lachnospiraceae NK4A136 group.spec.	0.774071700641814	0	0.202892396937601	0.0184832570997058	0.00455264532087927
ASV70|Bacteroidota|Muribaculaceae|unknown.spec.	0.565748269534609	0.332947943241835	0.0530116808481816	0.0087703389168448	0.0395217674585295
ASV71|Bacteroidota|Muribaculaceae|unknown.spec.	0.867301677110229	0	0.00975151742473795	6.50057668990163e-05	0.122881799698134
ASV72|Bacteroidota|Muribaculaceae|unknown.spec.	0.983685381130068	0	0.00684569909982375	0.00137415096679168	0.00809476880331659
ASV73|Deferribacterota|Deferribacteraceae|Mucispirillum.schaedleri	0.965782991142062	0	0.0196886062722746	0.0143978272975294	0.00013057528813393
ASV74|Cyanobacteria|unknown|unknown.spec.	0.939923625504473	0	0.0400537947323005	0.0131172210048495	0.00690535875837676
ASV75|Bacteroidota|Muribaculaceae|unknown.spec.	0.60486198231262	0.303487618464379	0.00478597348844782	0.00362137051806831	0.0832430552164848
ASV76|Firmicutes|Lachnospiraceae|unknown.spec.	0.872089409269089	0	0.118316311250588	0.00958487454874938	9.40493157450084e-06
ASV77|Firmicutes|Lachnospiraceae|unknown.spec.	0.79987912071264	0.161531529399035	0.013952798449788	0.00509361161583111	0.0195429398227065
ASV78|Firmicutes|Lachnospiraceae|unknown.spec.	0.575813833337816	0.315725076782804	0.0505371541527978	0.0455831872551415	0.0123407484714406
ASV79|Firmicutes|Lachnospiraceae|Lachnospiraceae NK4A136 group.spec.	0.913076634154108	0	0.0243081747163006	0.0251743990444663	0.0374407920851254
ASV80|Firmicutes|Lachnospiraceae|Lachnospiraceae NK4A136 group.bacterium	0.898454941364826	0	0.0272263375949438	0.000376187297832836	0.0739425337423977
ASV82|Bacteroidota|Tannerellaceae|Parabacteroides.distasonis	0.458024046640738	0.521726805924052	0.00320366633040012	7.75725254775504e-06	0.017037723852262
ASV83|Firmicutes|Lactobacillaceae|Ligilactobacillus.spec.	0.708835279766202	0.195358836537401	0.00727802720151704	0.0632293648857116	0.0252984916091678
ASV84|Firmicutes|unknown|unknown.spec.	0.912895628633737	0	4.60283888474952e-05	0.0695941636249306	0.0174641793524847
ASV85|Firmicutes|Lachnospiraceae|Lachnospiraceae NK4A136 group.spec.	0.746474836157501	0	0.0787683503746615	0.0905456378466446	0.0842111756211925
ASV86|Bacteroidota|Muribaculaceae|Muribaculum.spec.	0.841976945921038	0.155374419621896	3.35248285251393e-05	0.00257045136101961	4.46582675208209e-05
ASV87|Proteobacteria|Sutterellaceae|Parasutterella.spec.	0.873042646048588	0	0.000884452954661005	0.122267864561983	0.00380503643476827
ASV88|Firmicutes|Lachnospiraceae|[Eubacterium] xylanophilum group.spec.	0.749780348296115	0	0.106599354140045	0.13986686816269	0.00375342940115005
ASV89|Firmicutes|Lachnospiraceae|Lachnospiraceae NK4A136 group.bacterium	0.979887893898965	0	0.0020174774818454	0.0180278110814538	6.68175377353866e-05
ASV90|Firmicutes|Oscillospiraceae|Colidextribacter.spec.	0.769950756597179	0	0.128998780332885	0.0706075605643902	0.0304429025055452
ASV91|Bacteroidota|Muribaculaceae|unknown.spec.	0.845597399456748	0.106060029050891	0.016628499408519	0.01969256289711	0.0120215091867322
ASV92|Firmicutes|Lachnospiraceae|Lachnospiraceae NK4A136 group.spec.	0.880668258005764	0.0503670951500821	0.0498226852090431	0.0135379345701721	0.00560402706493821
ASV93|Desulfobacterota|Desulfovibrionaceae|Desulfovibrio.spec.	0.853276938078408	0	0.0655338182597288	0.0433669623820044	0.0378222812798592
ASV94|Firmicutes|Lachnospiraceae|unknown.spec.	0.575343119654093	0.288588206616102	0.00121842617925551	0.11591000931351	0.0189402382370397
ASV95|Firmicutes|Lactobacillaceae|HT002.spec.	0.961583330314752	0	0.017131763382763	0.0158641797568117	0.00542072654567386
ASV96|Firmicutes|Lachnospiraceae|Lachnospiraceae NK4A136 group.spec.	0.919357143898229	0	0.0726032687276737	0.000106488792863299	0.00793309858123405
ASV98|Firmicutes|Lactobacillaceae|Lactobacillus.johnsonii	0.869285968083223	0	0.104993928556101	0.0253507311331624	0.00036937222751284
ASV99|Firmicutes|Oscillospiraceae|Oscillibacter.spec.	0.632339421012845	0.266192549111662	2.39908336405403e-08	0.0825806936819965	0.018887312202663
ASV100|Firmicutes|Lachnospiraceae|Lachnoclostridium.spec.	0.755854638348832	0.209379820755906	0.0231837633835747	0.000920227100672719	0.0106615504110147
ASV101|Proteobacteria|Sutterellaceae|Parasutterella.spec.	0.957612234150438	0	0.0214582714432363	0.00733738829566805	0.0135921061106573
ASV102|Bacteroidota|Bacteroidaceae|Bacteroides.acidifaciens	0.939044951186964	0	0.0377747798944615	0.0120005592777375	0.0111797096408374
ASV103|Bacteroidota|Muribaculaceae|Muribaculum.spec.	0.907014530678373	0	0.0505585467577819	0.00993831575902924	0.0324886068048164
ASV104|Firmicutes|Oscillospiraceae|unknown.spec.	0.797260435336549	0	0.00295616291967773	0.166869007871731	0.0329143938720426
ASV105|Firmicutes|Clostridiaceae|Candidatus Arthromitus.spec.	0.737692246724792	0.00410777211331156	0.00220940150963667	0.0915304699948455	0.164460109657414
ASV106|Firmicutes|Lachnospiraceae|unknown.spec.	0.481483376909716	0.237392007801695	0.00522922994624679	0.27486772764303	0.00102765769931187
ASV107|Firmicutes|Ruminococcaceae|unknown.spec.	0.706423794914786	0.149510421927328	0.0670589869067713	0.000700636599513676	0.0763061596516003
ASV108|Firmicutes|Oscillospiraceae|unknown.spec.	0.886418894476887	0.0614729489970849	0.0174337721202836	0.0346683740763769	6.01032936784501e-06
ASV109|Firmicutes|Lactobacillaceae|HT002.spec.	0.874072040863732	0	0.114416346315043	0.0114756880529645	3.59247682605199e-05
ASV110|Firmicutes|Oscillospiraceae|unknown.spec.	0.492265174243573	0.373045595682153	0.020676675783141	0.049133302092291	0.0648792521988422
ASV111|Firmicutes|Lactobacillaceae|Ligilactobacillus.spec.	0.909742475812912	0	0.0103792363257946	0.00348414193404573	0.076394145927248
ASV112|Bacteroidota|Muribaculaceae|unknown.spec.	0.844202357245677	0.0817374794025408	0.00848796526816868	0.0052528553655319	0.060319342718082
ASV113|Bacteroidota|Muribaculaceae|unknown.spec.	0.610111687146951	0.288554741376471	0.000856632020332447	0.00839679205496981	0.0920801474012759
ASV114|Firmicutes|Lachnospiraceae|unknown.spec.	0.860128055079472	0	0.00485870735442636	0.0164360994259385	0.118577138140163
ASV115|Firmicutes|Oscillospiraceae|unknown.spec.	0.78638016227715	0.117056286414803	0.00882641686623708	0.0787091532764995	0.00902798116531042
ASV116|Firmicutes|Lachnospiraceae|unknown.spec.	0.707411970940437	0.172071564534761	0.000109626781418691	0.0450506234137427	0.0753562143296406
ASV117|Actinobacteriota|Eggerthellaceae|Enterorhabdus.spec.	0.925265032327335	0	0.0254012387207837	0.0026879994712316	0.0466457294806495
ASV118|Bacteroidota|Muribaculaceae|unknown.spec.	0.97709013220643	0	8.17862388714684e-06	0.0108344708559868	0.0120672183136955
ASV119|Firmicutes|Lactobacillaceae|HT002.spec.	0.88369436748906	0	0.108483746157913	0.00748876740861151	0.000333118944415851
ASV121|Firmicutes|[Eubacterium] coprostanoligenes group|unknown.spec.	0.804235850596489	0.103744112333645	0.0824204356827244	0.00353571693090882	0.00606388445623243
ASV122|Bacteroidota|Muribaculaceae|unknown.spec.	0.749567819419473	0.023718712608734	0.0526225213793053	0.0586894320754511	0.115401514517036
ASV123|Firmicutes|Lactobacillaceae|HT002.spec.	0.98484813956243	0	0.00626226330000879	0.00132130692496219	0.00756829021259877
ASV124|Bacteroidota|Bacteroidaceae|Bacteroides.caecimuris	0.963656758207551	0	0.00673916914714014	0.0295969504972718	7.12214803693813e-06
ASV125|Firmicutes|Lachnospiraceae|unknown.spec.	0.74229484570905	0	0.16185652030228	0.0898357355091226	0.00601289847954747
ASV126|Firmicutes|Ruminococcaceae|Ruminococcus.spec.	0.49066882701217	0.487958905227435	0.00412928983577222	0.013496054514391	0.00374692341023179
ASV127|Firmicutes|Lachnospiraceae|[Eubacterium] xylanophilum group.spec.	0.822694097427012	0	0.120955530175579	0.0383372180826361	0.018013154314773
ASV128|Firmicutes|Lachnospiraceae|Lachnospiraceae NK4A136 group.spec.	0.924811410905051	0	0.0106598767514634	0.00449323630500797	0.0600354760384779
ASV129|Firmicutes|Lachnospiraceae|Lachnospiraceae UCG-006.spec.	0.569537094909877	0.244672405747598	0.0133553561298303	0.124895883790229	0.0475392594224664
ASV131|Firmicutes|Lachnospiraceae|unknown.spec.	0.913708694964124	0	0.000976637320935251	0.0546208778477195	0.0306937898672216
ASV132|Firmicutes|Oscillospiraceae|Oscillibacter.spec.	0.824902610363536	0	0.0628268364955267	0.057173264508577	0.0550972886323606
ASV133|Firmicutes|Lachnospiraceae|Lachnospiraceae NK4A136 group.spec.	0.762752858218097	0.220381046360232	0.000472325781571918	0.000811626355605383	0.0155821432844932
ASV134|Firmicutes|Lachnospiraceae|unknown.spec.	0.998132269634087	0	5.11330274309976e-05	6.00091624921679e-06	0.00181059642223302
ASV135|Firmicutes|Lachnospiraceae|Lachnospiraceae NK4A136 group.spec.	0.771379942525615	0	0.209064369310429	0.0193792454573625	0.000176442706592844
ASV136|Firmicutes|Lachnospiraceae|A2.spec.	0.80109219274434	0.0743331462407727	0.0185394809566012	0.0903925953029973	0.0156425847552887
ASV137|Firmicutes|unknown|unknown.spec.	0.735756779767083	0.199140059321427	0.0071762928833913	0.00116156351916071	0.0567653045089376
ASV138|Firmicutes|Lachnospiraceae|ASF356.spec.	0.896639742929083	0	0.00676374215763088	0.0178751568551337	0.0787213580581525
ASV139|Firmicutes|Peptococcaceae|unknown.spec.	0.489590692151386	0.291611805642108	0.0704326212920091	0.148360113494999	4.76741949867903e-06
ASV141|Firmicutes|Lachnospiraceae|Lachnoclostridium.spec.	0.816731828439468	0.0226675462144261	0.156735816344002	0.00378244232464147	8.23666774617867e-05
ASV142|Firmicutes|Lachnospiraceae|unknown.spec.	0.387768606280613	0.412359050966376	0.173390794478557	0.0191937378816947	0.00728781039275945
ASV143|Bacteroidota|Rikenellaceae|Alistipes.spec.	0.680305388951041	0.244496528342325	0.000178150461977737	0.0382193051101184	0.036800627134538
ASV144|Bacteroidota|Muribaculaceae|Muribaculum.spec.	0.899764473514173	0	0.00211152229985081	4.51146785910994e-06	0.098119492718117
ASV146|Firmicutes|Lachnospiraceae|unknown.spec.	0.569416098558413	0.27793641042255	0.0553187317695816	0.0969751936264234	0.00035356562303141
ASV148|Firmicutes|Anaerovoracaceae|[Eubacterium] nodatum group.spec.	0.567659660374271	0.154693352932972	0.257353926756448	0.00228974623663294	0.0180033136996753
ASV149|Bacteroidota|Muribaculaceae|unknown.spec.	0.787222888808678	0.170668662726578	0.00111063337804765	0.00995331267357797	0.0310445024131181
ASV150|Bacteroidota|Muribaculaceae|unknown.spec.	0.938413943238576	0	0.017943246617312	0.0278410308894243	0.015801779254688
ASV151|Firmicutes|Lachnospiraceae|Lachnoclostridium.spec.	0.847307213079454	0	0.11574997838461	0.0166438321047049	0.0202989764312318
ASV152|Firmicutes|Lachnospiraceae|Roseburia.spec.	0.856342422661857	0	0.067712288429744	0.0745396643860817	0.00140562452231695
ASV153|Firmicutes|Ruminococcaceae|unknown.spec.	0.93404274053841	0	0.0026886681073029	0.0482833120878374	0.0149852792664492
ASV154|Firmicutes|Ruminococcaceae|unknown.spec.	0.838113459365007	0.0980307192853853	0.00501420132403629	0.049049815493027	0.00979180453254457
ASV155|Firmicutes|Lachnospiraceae|Roseburia.spec.	0.875797562026823	0	0.0654351025377909	0.0266023527405053	0.0321649826948812
ASV156|Bacteroidota|Muribaculaceae|unknown.spec.	0.43515361270074	0.300461103372152	0.0880143951804494	0.112553085998557	0.0638178027481018
ASV157|Bacteroidota|Muribaculaceae|unknown.spec.	0.624609350395244	0	0.253957164545971	0.0815098545763515	0.0399236304824337
ASV158|Bacteroidota|Muribaculaceae|unknown.spec.	0.887328935628965	0	0.000835824015359776	0.0708805189521867	0.040954721403489
ASV159|Firmicutes|Lachnospiraceae|Lachnospiraceae NK4A136 group.spec.	0.912439348516634	0	0.0307952615948735	0.00157348359752479	0.0551919062909674
ASV160|Bacteroidota|Muribaculaceae|unknown.spec.	0.579629944124647	0.190823919529456	0.120514165479828	0.0443587679979832	0.0646732028680862
ASV161|Firmicutes|Oscillospiraceae|Intestinimonas.spec.	0.964335938076896	0	0.0015369438133888	0.00300840859476206	0.0311187095149536
ASV162|Firmicutes|unknown|unknown.spec.	0.701228154925214	0	0.124093570987958	0.0489712146341626	0.125707059452665
ASV164|Firmicutes|Lachnospiraceae|Lachnospiraceae NK4A136 group.spec.	0.986762655182052	2.18177047312019e-17	0.00874397430030785	0.00262009923079013	0.00187327128685013
ASV165|Firmicutes|Oscillospiraceae|Intestinimonas.spec.	0.967208042962689	0	0.00159255131444423	0.0311986317470612	7.73975805619263e-07
ASV166|Firmicutes|Oscillospiraceae|Oscillibacter.spec.	0.955504217605578	0	0.0075711313950648	0.0349507572645058	0.00197389373485149
ASV167|Firmicutes|Lachnospiraceae|unknown.spec.	0.691358794625085	0.186094214163287	0.0864295578947971	2.87778691493048e-05	0.0360886554476818
ASV168|Firmicutes|Lachnospiraceae|unknown.spec.	0.966292550705324	0	0.00366389180975337	0.0115694621820934	0.018474095302829
ASV169|Firmicutes|Ruminococcaceae|Negativibacillus.spec.	0.816417067081172	0.0798914223428139	0.000216799101878493	0.0730887280177345	0.0303859834564013
ASV170|Firmicutes|Oscillospiraceae|Colidextribacter.spec.	0.839228861992286	0.136129616938224	0.0181170452437561	0.00641417588823678	0.000110299937496888
ASV171|Firmicutes|Lachnospiraceae|unknown.spec.	0.814987580048562	0	0.0130340776364864	0.156601253172071	0.0153770891428813
ASV172|Firmicutes|Oscillospiraceae|Colidextribacter.spec.	0.833021714694287	0	0.00486970698147551	0.0517143783685934	0.110394199955644
ASV175|Firmicutes|Lachnospiraceae|unknown.spec.	0.448024736462843	0.483967538523766	0.0671001389777723	0.000906852312033181	7.33723585702707e-07
ASV177|Proteobacteria|Sutterellaceae|Parasutterella.spec.	0.682885924366354	0.242438265789764	8.41431811809524e-05	0.0200707426670861	0.0545209239956152
ASV178|Firmicutes|Lachnospiraceae|Lachnospiraceae NK4A136 group.bacterium	0.602169633795474	0.114909476284408	0.260191375967379	0.0128745997900155	0.00985491416272432
ASV179|Firmicutes|Ruminococcaceae|unknown.spec.	0.788876805855692	0.0638582240818128	0.0850627487336536	0.059331318285144	0.00287090304369763
ASV180|Firmicutes|Lachnospiraceae|Lachnoclostridium.spec.	0.932462237186942	0	0.00282004137232329	0.0312160084089264	0.0335017130318085
ASV181|Firmicutes|unknown|unknown.spec.	0.82238599955966	0.0831985479928521	0.0893078539618334	4.83684380914154e-06	0.00510276164184503
ASV182|Firmicutes|Butyricicoccaceae|UCG-009.spec.	0.791498733372152	0	0.193154787204622	0.0144311244876101	0.000915354935616512
ASV184|Firmicutes|Lachnospiraceae|Lachnospiraceae UCG-001.spec.	0.628976343263452	0.0874458664046025	0.248240251472556	0.0316707905406829	0.00366674831870692
ASV185|Bacteroidota|Muribaculaceae|unknown.spec.	0.63288558441147	0	0.265913659505835	0.0473910740988117	0.0538096819838842
ASV187|Firmicutes|Lachnospiraceae|unknown.spec.	0.607582042236359	0	0.301309686144777	0.0910193492416167	8.89223772475758e-05
ASV188|Actinobacteriota|Atopobiaceae|Coriobacteriaceae UCG-002.spec.	0.485950774957821	0.465046871253302	0.0114041039156906	0.0242116339160877	0.0133866159570988
ASV189|Firmicutes|Lachnospiraceae|unknown.spec.	0.58205034252552	0.245363928171093	0.00011948042737204	0.168765948782448	0.00370030009356636
ASV191|Firmicutes|Lachnospiraceae|unknown.spec.	0.703954985899973	0.275991839651961	0.00925409049237183	0.0106911829073866	0.000107901048307792
ASV192|Firmicutes|Ruminococcaceae|unknown.spec.	0.766849407041389	0	0.0127754178115194	0.22016725302491	0.000207922122181452
ASV193|Firmicutes|Oscillospiraceae|Colidextribacter.spec.	0.736775627941384	0.23420288789799	0.0122880352015687	0.000611639000625737	0.0161218099584316
ASV194|Firmicutes|Lachnospiraceae|unknown.spec.	0.927107287409062	0	0.00343227120236909	0.0619125246495016	0.00754791673906696
ASV195|Firmicutes|Lachnospiraceae|Lachnospiraceae UCG-006.spec.	0.808144653860188	0.0119293805445856	0.0451326329069799	3.80698214911165e-05	0.134755262866756
ASV196|Firmicutes|Lachnospiraceae|ASF356.spec.	0.886175624215813	0	0.00761638648036888	0.0643508775292347	0.0418571117745836
ASV197|Firmicutes|Lachnospiraceae|unknown.spec.	0.910027831497093	0.0662737436658104	0.00735870894111999	0.00168239326651412	0.0146573226294621
ASV198|Firmicutes|Oscillospiraceae|unknown.spec.	0.699189467346207	0.12296819694372	0.156231293548152	0.00400165787063164	0.0176093842912894
ASV199|Firmicutes|Oscillospiraceae|unknown.spec.	0.896868365251967	0.0207317942183895	0.0314390386987008	0.0114698832597734	0.0394909185711697
ASV200|Firmicutes|Lachnospiraceae|Lachnospiraceae NK4A136 group.spec.	0.776218799605822	0	0.14543493559722	0.00566881788882586	0.0726774469081317
ASV201|Firmicutes|Lachnospiraceae|Lachnospiraceae NK4A136 group.bacterium	0.95921815185004	0	0.01678123175752	0.00102646961698896	0.0229741467754509
ASV205|Firmicutes|Ruminococcaceae|Incertae Sedis.spec.	0.979123086012692	0	0.00995686481461959	0.00646769817980984	0.00445235099287856
ASV207|Firmicutes|Ruminococcaceae|unknown.spec.	0.730694461598653	0.0655321611722976	0.00566778654986085	0.196659773931643	0.00144581674754607
ASV208|Firmicutes|unknown|unknown.spec.	0.628752924507134	0	0.140725294232252	0.205213509010976	0.0253082722496393
ASV209|Firmicutes|Oscillospiraceae|Intestinimonas.spec.	0.949340108100123	0	0.0229703374528816	0.0266314603575331	0.00105809408946227
ASV210|Bacteroidota|Rikenellaceae|Alistipes.spec.	0.738273794632219	0.138092458970179	0.0284382349569064	0.0214254169711724	0.0737700944695231
ASV211|Firmicutes|Lachnospiraceae|unknown.spec.	0.947371912320674	0	0.0416075474996845	0.00329587112836942	0.00772466905127239
