Residuals	timepoint	genotype	number_of_pups_scaled	lipocalin2_pg_ml_scaled
ASV86|Bacteroidota|Muribaculaceae|Muribaculum.spec.	0.67595576521061	0.252865775536692	0.0669846209526548	0.000171320712419751	0.00402251758762346
ASV87|Proteobacteria|Sutterellaceae|Parasutterella.spec.	0.67257568224154	0.247869431058579	0.0396847206234114	0.0379889835184456	0.00188118255802388
ASV88|Firmicutes|Lachnospiraceae|[Eubacterium] xylanophilum group.spec.	0.835593596405061	0.152421151303184	1.38416040000899e-12	0.000587154519833366	0.0113980977705374
ASV90|Firmicutes|Oscillospiraceae|Colidextribacter.spec.	0.803702806462246	0.0901264109224145	0.0616368050117903	0.0213811648406452	0.0231528127629043
ASV93|Desulfobacterota|Desulfovibrionaceae|Desulfovibrio.spec.	0.882347842051554	4.21735165449378e-13	0.0253223058687665	0.091967012725549	0.000362839353708791
ASV99|Firmicutes|Oscillospiraceae|Oscillibacter.spec.	0.693297460871231	0.247978187356982	0.0221409554898272	0.0276360219454588	0.00894737433650102
ASV100|Firmicutes|Lachnospiraceae|Lachnoclostridium.spec.	0.645781952694681	0.317412723603582	0.0353265011211636	0.00140429453414224	7.4528046431336e-05
ASV105|Firmicutes|Clostridiaceae|Candidatus Arthromitus.spec.	0.743837838566382	0.161305133376524	0.0636691720237745	4.52921831110519e-05	0.0311425638502083
ASV107|Firmicutes|Ruminococcaceae|unknown.spec.	0.689418387969088	0.261586691347192	1.04862997488175e-12	0.0481844990322359	0.000810421650435309
ASV108|Firmicutes|Oscillospiraceae|unknown.spec.	0.780440634422652	0.182310571432779	0.0157121227448409	0.00626093164083832	0.0152757397588901
ASV117|Actinobacteriota|Eggerthellaceae|Enterorhabdus.spec.	0.319406852177441	0.67891471731209	3.39105761066417e-20	0.00122224285150977	0.00045618765895947
ASV121|Firmicutes|[Eubacterium] coprostanoligenes group|unknown.spec.	0.94124783850526	0.0104970189144271	0.0145337904745277	0.0153830060903382	0.0183383460154474
ASV124|Bacteroidota|Bacteroidaceae|Bacteroides.caecimuris	0.683613474051511	0.314465505616084	1.44927961047566e-16	0.00011772867447565	0.00180329165792945
ASV126|Firmicutes|Ruminococcaceae|Ruminococcus.spec.	0.74576963115532	0.115377290556841	0.120105803995212	0.0126448585929886	0.00610241569963794
ASV129|Firmicutes|Lachnospiraceae|Lachnospiraceae UCG-006.spec.	0.780035636619416	0.151036281981424	0.0363659976047766	0.0129310617499721	0.0196310220444114
ASV137|Firmicutes|unknown|unknown.spec.	0.721719513580626	0.250520547205341	9.11566739605005e-14	0.0243213238419344	0.00343861537200799
ASV138|Firmicutes|Lachnospiraceae|ASF356.spec.	0.761254709246678	0.203639183586896	0.0194518182551404	0.0155584781590254	9.58107522594631e-05
ASV139|Firmicutes|Peptococcaceae|unknown.spec.	0.711579905931763	0.218851283992582	0.0124890801837121	0.0300424912098882	0.0270372386820555
ASV147|Firmicutes|Peptostreptococcaceae|Romboutsia.ilealis	0.889474855171062	0	0.066423011174199	0.00454854027751972	0.0395535933772191
ASV148|Firmicutes|Anaerovoracaceae|[Eubacterium] nodatum group.spec.	0.631753204220616	0.346170729738788	4.3825548311608e-11	0.021167472806387	0.000908593190384318
ASV161|Firmicutes|Oscillospiraceae|Intestinimonas.spec.	0.827811097401089	0.151090764506527	0.00748634629399278	0.00294222201490747	0.0106695697834838
ASV169|Firmicutes|Ruminococcaceae|Negativibacillus.spec.	0.853476698992276	0.0718715040609462	0.0473727661466511	0.0117894191871019	0.015489611613025
ASV182|Firmicutes|Butyricicoccaceae|UCG-009.spec.	0.996533860485553	0	0	1.00195750817654e-05	0.00345611993936504
ASV188|Actinobacteriota|Atopobiaceae|Coriobacteriaceae UCG-002.spec.	0.647164160357321	0.087898665086799	0.192946722568113	0.0207513898746871	0.0512390621130795
ASV190|Firmicutes|Erysipelotrichaceae|Faecalibaculum.rodentium	0.795340055890181	0.139722265226691	0.0330684558026608	0.0116646283663636	0.0202045947141035
ASV205|Firmicutes|Ruminococcaceae|Incertae Sedis.spec.	0.855216443761217	0.132279804159083	4.98568370114434e-18	0.00897846861617492	0.00352528346352526
ASV215|Firmicutes|unknown|unknown.spec.	0.838491326831174	0.0719615033560898	0.0194877860061271	5.12813995988643e-05	0.0700081024070102
ASV226|Firmicutes|Ruminococcaceae|[Eubacterium] siraeum group.spec.	0.702228975351895	0.102419517367456	6.98633015642474e-09	0.0286694554762433	0.166682044818075
ASV228|Firmicutes|UCG-010|unknown.spec.	0.659407233052208	0.28014846961998	0.0544431122175498	0.00549712734959229	0.000504057760669801
ASV233|Firmicutes|Lachnospiraceae|GCA-900066575.spec.	0.841356123645476	0.0813081361964675	0.0597136116857667	0.00981948439465958	0.00780264407763034
ASV234|Firmicutes|Christensenellaceae|Christensenellaceae R-7 group.spec.	0.503439193454468	0.378116483825086	0.0683806108871888	0.0309793008618185	0.019084410971439
ASV238|Firmicutes|Lachnospiraceae|Tuzzerella.spec.	0.956090870904017	0.0287570967987877	0.00311954308374867	0.00195902111983422	0.0100734680936124
ASV240|Desulfobacterota|Desulfovibrionaceae|Bilophila.spec.	0.848003854509245	0.114006423120352	1.65156285924636e-08	0.0269475805499079	0.0110421253048662
ASV245|Firmicutes|Butyricicoccaceae|Butyricicoccus.spec.	0.655859478313863	0.275858623409523	0.0429009981740584	0.0204887678464783	0.00489213225607757
ASV261|Desulfobacterota|Desulfovibrionaceae|unknown.spec.	0.632799028202285	0.353196504163121	0.00763338926838304	0.00551951192554578	0.000851566440665636
ASV262|Firmicutes|Lachnospiraceae|Tyzzerella.spec.	0.78326435884525	0.167301784988727	0.0379169633025412	0.00689000306189898	0.00462688980158238
ASV263|Firmicutes|Lachnospiraceae|Blautia.coccoides	0.994926966173268	0	0	0.00026857567549124	0.00480445815124031
ASV275|Patescibacteria|Saccharimonadaceae|Candidatus Saccharimonas.spec.	0.625409180947598	0.336838488200154	0.0183376907090758	0.0125272809247407	0.0068873592184312
ASV285|Bacteroidota|Tannerellaceae|Parabacteroides.goldsteinii	0.72756271315202	0.266823705070097	6.07510064608019e-14	0.000472610445754888	0.00514097133206707
ASV301|Firmicutes|Lachnospiraceae|Acetatifactor.spec.	0.890861330580123	0.072981611826274	2.06653897504327e-12	0.0256820811069978	0.0104749764845391
ASV419|Firmicutes|Anaerovoracaceae|Family XIII UCG-001.spec.	0.68507281435575	0.243107927774679	0.0606756179789324	0.0111112475179006	3.2392372738058e-05
