Residuals	timepoint	genotype	number_of_pups_scaled	lipocalin2_pg_ml_scaled
ASV50|Bacteroidota|Muribaculaceae|unknown.spec.	0.402404311621688	0.404324392872545	0.170281447127221	0.0213806971653665	0.00160915121317946
ASV51|Firmicutes|Lachnospiraceae|Lachnospiraceae NK4A136 group.spec.	0.785435361519801	0.196954782502199	3.98360040973892e-14	0.0159399408058787	0.00166991517208125
ASV52|Firmicutes|Lactobacillaceae|Lactobacillus.gasseri	0.695226865668831	0.301266937252685	3.76539534767162e-15	0.00102590469287155	0.00248029238560853
ASV53|Firmicutes|unknown|unknown.spec.	0.942794579275243	0	0	0.0539837821729741	0.00322163855178304
ASV54|Bacteroidota|Muribaculaceae|unknown.spec.	0.427694336617925	0.497167663496257	0.0667638779723572	0.00791120348519495	0.000462918428266369
ASV55|Firmicutes|Lachnospiraceae|Roseburia.spec.	0.959556859755258	0.0261598254172349	0.00689066181736551	0.000433476357581536	0.00695917665256034
ASV56|Bacteroidota|Muribaculaceae|unknown.spec.	0.945025301202027	0.0418927195502819	1.45069065461338e-15	0.00146107516846383	0.0116209040792261
ASV57|Bacteroidota|Rikenellaceae|Alistipes.spec.	0.704346057533675	0.202732236211181	0.0667333506205209	0.000103506683861599	0.0260848489507615
ASV58|Firmicutes|Lachnospiraceae|unknown.spec.	0.758346198627708	0.0889876140844698	0.0658792099009908	0.0818779132250429	0.00490906416178863
ASV59|Bacteroidota|Muribaculaceae|unknown.spec.	0.652051630161745	0.322879310980098	0.0246379475528973	0.000202653198880945	0.00022845810637826
ASV60|Bacteroidota|Muribaculaceae|unknown.spec.	0.750367289424402	0.225051912369721	1.86417940139763e-10	0.0245804441911459	3.53828313272326e-07
ASV61|Bacteroidota|Muribaculaceae|unknown.spec.	0.697736029332463	0.264631484916117	0.0272733929325366	0.00609886045897767	0.0042602323599051
ASV62|Campylobacterota|Helicobacteraceae|Helicobacter.hepaticus	0.514612057243711	0.47780298445695	0	0.00158379281136574	0.00600116548797367
ASV63|Firmicutes|Lactobacillaceae|HT002.spec.	0.607880245579768	0.367431767606352	0	0.0160099815080032	0.0086780053058773
ASV64|Firmicutes|Lachnospiraceae|A2.spec.	0.773585129973052	0.17169278224389	0.0541301041314448	7.14880028369589e-06	0.000584834851329893
ASV65|Firmicutes|Lachnospiraceae|Lachnospiraceae UCG-001.spec.	0.604317861568593	0.336476047342087	0.0549158434929415	0.00393328556107108	0.000356962035307873
ASV66|Bacteroidota|Bacteroidaceae|Bacteroides.acidifaciens	0.693308818644242	0.296713800805019	0	0.00931171459755901	0.000665665953179491
ASV67|Firmicutes|Ruminococcaceae|Anaerotruncus.spec.	0.748095190195852	0.236776886597203	7.11647839394191e-16	0.00583990596322661	0.00928801724371702
ASV68|Firmicutes|Lachnospiraceae|Lachnospiraceae FCS020 group.spec.	0.560452582353572	0.351719743615764	0.0423461641689349	0.0378220257789023	0.00765948408282691
ASV69|Firmicutes|Lachnospiraceae|Lachnospiraceae NK4A136 group.spec.	0.801986022751895	0.14409831652648	3.72194095917399e-13	0.0535663638608427	0.000349296860409713
ASV70|Bacteroidota|Muribaculaceae|unknown.spec.	0.529608988969196	0.360139358900845	0.0880337642295094	0.0214656347920927	0.000752253108357096
ASV71|Bacteroidota|Muribaculaceae|unknown.spec.	0.9393886167094	0	0	0.0577299660714926	0.00288141721910766
ASV72|Bacteroidota|Muribaculaceae|unknown.spec.	0.804203163011211	0.163458728642176	0	0.0248278413879196	0.0075102669586933
ASV73|Deferribacterota|Deferribacteraceae|Mucispirillum.schaedleri	0.672869020063502	0.293504519079153	0.000241720519512475	0.0175453629620239	0.0158393773758088
ASV74|Cyanobacteria|unknown|unknown.spec.	0.919633568056702	0.0486888106312409	1.57212378488599e-12	0.0060894146298155	0.0255882066806691
ASV75|Bacteroidota|Muribaculaceae|unknown.spec.	0.567373637494686	0.303638063089926	0.0944333833519667	0.034315279899226	0.000239636164194901
ASV76|Firmicutes|Lachnospiraceae|unknown.spec.	0.807742971281165	0.186844248165294	0	0.0052708142103412	0.000141966343199982
ASV77|Firmicutes|Lachnospiraceae|unknown.spec.	0.597786901415628	0.390576549856143	9.71839772802407e-14	0.0023051758608954	0.00933137286723597
ASV78|Firmicutes|Lachnospiraceae|unknown.spec.	0.662956089305922	0.227650666594669	0.077078720735559	0.0130185327383843	0.0192959906254648
ASV79|Firmicutes|Lachnospiraceae|Lachnospiraceae NK4A136 group.spec.	0.912518647248514	0.0431176457784263	0.0208395657324575	0.0217186660844988	0.0018054751561031
ASV80|Firmicutes|Lachnospiraceae|Lachnospiraceae NK4A136 group.bacterium	0.966494835994272	0	0	7.60606434031533e-05	0.0334291033623251
ASV81|Bacteroidota|Prevotellaceae|Prevotellaceae UCG-001.spec.	0.665323394112725	0.269543575861299	0.00126437284877533	0.0629391793871006	0.000929477790099966
ASV82|Bacteroidota|Tannerellaceae|Parabacteroides.distasonis	0.371053501500717	0.505539146104338	0.119850977515568	0.00124637830672106	0.00230999657265525
ASV83|Firmicutes|Lactobacillaceae|Ligilactobacillus.spec.	0.46707966922863	0.428870526469671	0.0836557921252946	0.00803359696350284	0.0123604152129022
ASV84|Firmicutes|unknown|unknown.spec.	0.994216386037537	0	0	0.00431934844330299	0.00146426551915978
ASV85|Firmicutes|Lachnospiraceae|Lachnospiraceae NK4A136 group.spec.	0.764749710336315	0.206312889038612	0.014829961373094	0.00336085955318497	0.0107465796987934
ASV86|Bacteroidota|Muribaculaceae|Muribaculum.spec.	0.727667375612527	0.117686665918065	0.0923810844962419	0.0621422229114658	0.000122651061700602
ASV87|Proteobacteria|Sutterellaceae|Parasutterella.spec.	0.70150859106498	0.273974746359244	0.0016954685913223	0.0126916968597968	0.0101294971246566
ASV88|Firmicutes|Lachnospiraceae|[Eubacterium] xylanophilum group.spec.	0.774688407489786	0.197063421313722	0	0.00451069894442103	0.0237374722520708
ASV89|Firmicutes|Lachnospiraceae|Lachnospiraceae NK4A136 group.bacterium	0.995655257630699	0	2.53886278821824e-17	0.00113368487447116	0.00321105749482985
ASV90|Firmicutes|Oscillospiraceae|Colidextribacter.spec.	0.804507855543162	0.110995124005499	0	0.0116623338547445	0.072834686596594
ASV91|Bacteroidota|Muribaculaceae|unknown.spec.	0.513564906737522	0.397339369504912	0.0497220512983429	0.029722423305305	0.00965124915391812
ASV92|Firmicutes|Lachnospiraceae|Lachnospiraceae NK4A136 group.spec.	0.829639720698011	0.12455475201487	0.00124525384483828	0.0109045231534442	0.0336557502888366
ASV93|Desulfobacterota|Desulfovibrionaceae|Desulfovibrio.spec.	0.902433968413358	0	0.0121338502008521	0.0830133266119578	0.00241885477383223
ASV94|Firmicutes|Lachnospiraceae|unknown.spec.	0.920726121763223	0.0677896045761624	0.00563026585544767	0.00579400390778355	6.00038973829905e-05
ASV95|Firmicutes|Lactobacillaceae|HT002.spec.	0.532910033884882	0.406986947254349	6.84825811579676e-16	6.38206288226633e-05	0.0600391982319458
ASV96|Firmicutes|Lachnospiraceae|Lachnospiraceae NK4A136 group.spec.	0.90840424186019	0.0694269087671937	1.58095741904792e-13	0.00350416060996504	0.0186646887624936
ASV97|Bacteroidota|Muribaculaceae|unknown.spec.	0.38824721917257	0.439478277179079	0.126422625272968	0.0427874218200516	0.00306445655533127
ASV98|Firmicutes|Lactobacillaceae|Lactobacillus.johnsonii	0.652120090469084	0.271003117160664	0.039340871099817	0.0375288348706265	7.08639980884213e-06
ASV99|Firmicutes|Oscillospiraceae|Oscillibacter.spec.	0.795182895067753	0.194444086818696	0	0.00599226136531724	0.00438075674823379
ASV100|Firmicutes|Lachnospiraceae|Lachnoclostridium.spec.	0.90937655869635	0.0111196690558474	0.0353317360992338	0.0138803199641113	0.030291716184458
ASV101|Proteobacteria|Sutterellaceae|Parasutterella.spec.	0.8424893397823	0.111428921940924	0.00110514620865508	0.0316582165020287	0.0133183755660917
ASV102|Bacteroidota|Bacteroidaceae|Bacteroides.acidifaciens	0.829993968193856	0.0996241457342161	0.0475658356103582	0.0215573764236561	0.00125867403791329
ASV103|Bacteroidota|Muribaculaceae|Muribaculum.spec.	0.915411743360401	0.0301356098087205	0	0.00632214555524052	0.0481305012756381
ASV104|Firmicutes|Oscillospiraceae|unknown.spec.	0.923749878107915	0.0193428875090685	9.43354763912462e-13	0.0374984525273926	0.0194087818546807
ASV105|Firmicutes|Clostridiaceae|Candidatus Arthromitus.spec.	0.761911753729828	0.151548860881545	0.0531213549827849	0.000360684434758072	0.0330573459710838
ASV106|Firmicutes|Lachnospiraceae|unknown.spec.	0.859679783948717	0.138421765579493	0	0.00175023799852797	0.000148212473261402
ASV107|Firmicutes|Ruminococcaceae|unknown.spec.	0.847026969279193	0.100645069499374	1.12503238902648e-10	0.0104561091374647	0.0418718519714648
ASV108|Firmicutes|Oscillospiraceae|unknown.spec.	0.939781572571558	2.37007293528267e-16	0.00114441297359583	0.0405402333529763	0.0185337811018691
ASV109|Firmicutes|Lactobacillaceae|HT002.spec.	0.404650944918044	0.568414553695227	0	0.0181981732450446	0.00873632814168383
ASV110|Firmicutes|Oscillospiraceae|unknown.spec.	0.752291682556997	0.228840217930478	1.25747568143256e-12	0.000552321351507937	0.0183157781597601
ASV111|Firmicutes|Lactobacillaceae|Ligilactobacillus.spec.	0.650522012862228	0.338968272022266	3.21739372193319e-14	0.0104689410009586	4.0774114515279e-05
ASV112|Bacteroidota|Muribaculaceae|unknown.spec.	0.876826646266806	0.11820436614801	4.87563799680733e-19	0.000195013227595545	0.00477397435758775
ASV113|Bacteroidota|Muribaculaceae|unknown.spec.	0.71477979400579	0.14888294613267	0.0647549298050522	0.0714543261694374	0.000128003887050074
ASV114|Firmicutes|Lachnospiraceae|unknown.spec.	0.934307631865581	0.056068967047743	4.17595413238039e-13	0.0051918283956039	0.00443157269065484
ASV115|Firmicutes|Oscillospiraceae|unknown.spec.	0.91099308079899	0.0746155851552574	0	0.0121085287656941	0.00228280528005869
ASV116|Firmicutes|Lachnospiraceae|unknown.spec.	0.980959386224608	0.0129566528167646	7.14738802145672e-14	0.00592032635793663	0.00016363460061891
ASV117|Actinobacteriota|Eggerthellaceae|Enterorhabdus.spec.	0.515719085456165	0.450964358545162	0.0300879842663302	0.00316618583491083	6.23858974317145e-05
ASV118|Bacteroidota|Muribaculaceae|unknown.spec.	0.833416610509771	0.165477082381142	1.415708235144e-11	0.000947293104169102	0.00015901399076022
ASV119|Firmicutes|Lactobacillaceae|HT002.spec.	0.415636193444424	0.56502067876299	3.00329007850827e-16	0.0123115088002199	0.00703161899236674
ASV120|Firmicutes|Lachnospiraceae|Lachnospiraceae NK4A136 group.spec.	0.973823156111797	0	0	0.00370036739891755	0.0224764764892858
ASV121|Firmicutes|[Eubacterium] coprostanoligenes group|unknown.spec.	0.928400756020284	0.0135336791096839	0.020316417676093	0.017970792604689	0.0197783545892498
ASV122|Bacteroidota|Muribaculaceae|unknown.spec.	0.657253039092663	0.256536257340976	0.0415674771245377	0.030506452952469	0.0141367734893539
ASV123|Firmicutes|Lactobacillaceae|HT002.spec.	0.489883453067231	0.491400350324592	0.0182810694860134	3.28375838032268e-05	0.000402289538360906
ASV124|Bacteroidota|Bacteroidaceae|Bacteroides.caecimuris	0.700293847710883	0.293218005006141	5.14316433559743e-22	0.000661560894529728	0.00582658638844601
ASV125|Firmicutes|Lachnospiraceae|unknown.spec.	0.841031057164926	0.119951374485051	1.92570082634776e-11	0.0279121361709361	0.0111054321598292
ASV126|Firmicutes|Ruminococcaceae|Ruminococcus.spec.	0.755539762380123	0.0935554495543966	0.120396515207492	0.00719183480815372	0.0233164380498351
ASV127|Firmicutes|Lachnospiraceae|[Eubacterium] xylanophilum group.spec.	0.919147254238671	0.0607628594429657	1.03173226236192e-10	0.000252290945535978	0.0198375952696544
ASV128|Firmicutes|Lachnospiraceae|Lachnospiraceae NK4A136 group.spec.	0.902746981021517	0.0936957031177948	0	0.0034354758508951	0.000121840009793015
ASV129|Firmicutes|Lachnospiraceae|Lachnospiraceae UCG-006.spec.	0.844608896543641	0.125087499590577	2.55473437530794e-13	0.00553948306252669	0.0247641208029998
ASV130|Bacteroidota|Muribaculaceae|unknown.spec.	0.508173005586288	0.461005710934406	0.0270574344219574	0.00177861014682402	0.00198523891052487
ASV131|Firmicutes|Lachnospiraceae|unknown.spec.	0.81833336071408	0.172373026381153	0.00781098128963599	0.000973917427577907	0.000508714187554153
ASV132|Firmicutes|Oscillospiraceae|Oscillibacter.spec.	0.681149384794649	0.254859535316413	0.00590616744103815	0.000155535952103348	0.0579293764957967
ASV133|Firmicutes|Lachnospiraceae|Lachnospiraceae NK4A136 group.spec.	0.838477884112947	0.0894144492654297	0.0371689290375875	0.00113485225856666	0.0338038853254697
ASV134|Firmicutes|Lachnospiraceae|unknown.spec.	0.863283311848772	0.124113311456225	0	0.00927277624125958	0.00333060045374354
ASV135|Firmicutes|Lachnospiraceae|Lachnospiraceae NK4A136 group.spec.	0.801953672719442	0.0327926385678105	0	0.0528403320814393	0.112413356631308
ASV136|Firmicutes|Lachnospiraceae|A2.spec.	0.868269489823157	0.00272320202980739	0.111961143651886	0.00457561841230031	0.0124705460828494
ASV137|Firmicutes|unknown|unknown.spec.	0.79824872900303	0.183825298762291	0	0.00470607307020843	0.013219899164471
ASV138|Firmicutes|Lachnospiraceae|ASF356.spec.	0.906675639661569	0.0673350963144679	2.34761313784532e-13	0.0147194133706097	0.0112698506531185
ASV139|Firmicutes|Peptococcaceae|unknown.spec.	0.779890092261206	0.163507905686887	0	0.0200655434018429	0.0365364586500642
ASV140|Firmicutes|Peptostreptococcaceae|Romboutsia.ilealis	0.860431761093369	0	0.0812559991858868	0.0175654595447282	0.0407467801760163
ASV141|Firmicutes|Lachnospiraceae|Lachnoclostridium.spec.	0.908294325645556	0.0470613267926301	0.00336840328954767	0.0324679463735043	0.0088079978987616
ASV142|Firmicutes|Lachnospiraceae|unknown.spec.	0.671061693308477	0.265838091261764	0.0162098423422435	0.0372514032471499	0.00963896984036625
ASV143|Bacteroidota|Rikenellaceae|Alistipes.spec.	0.696170551829436	0.209674312720205	0.0781720362649171	0.00243575253872871	0.0135473466467131
ASV144|Bacteroidota|Muribaculaceae|Muribaculum.spec.	0.919482861208668	0.0321738297744922	0	0.000980210945221152	0.0473630980716184
ASV145|Bacteroidota|Muribaculaceae|unknown.spec.	0.632164271884625	0.203700962081335	0.0847325073223757	0.0762777006191285	0.00312455809253602
ASV146|Firmicutes|Lachnospiraceae|unknown.spec.	0.722948082113054	0.143450675373264	0.111918059458897	0.0117283829744127	0.0099548000803725
ASV147|Firmicutes|Peptostreptococcaceae|Romboutsia.ilealis	0.879922657454052	3.87956481458977e-16	0.0869441908758885	0.000549934372273494	0.0325832172977859
ASV148|Firmicutes|Anaerovoracaceae|[Eubacterium] nodatum group.spec.	0.636524097802001	0.333245648754994	0.00368547044901676	0.024643439479227	0.00190134351476147
ASV149|Bacteroidota|Muribaculaceae|unknown.spec.	0.911933474742539	0	0.00601083884629394	0.0415036114743691	0.0405520749367978
ASV150|Bacteroidota|Muribaculaceae|unknown.spec.	0.901433784410206	3.38859757560108e-12	0.0537301865099374	0.00271135430360216	0.042124674772866
ASV151|Firmicutes|Lachnospiraceae|Lachnoclostridium.spec.	0.85024512941052	0.132096058107465	3.79512683941308e-16	0.00434374396713852	0.0133150685148761
ASV152|Firmicutes|Lachnospiraceae|Roseburia.spec.	0.869380029654372	0.102548168383977	2.59242121426364e-13	0.0264009681994617	0.00167083376193061
ASV153|Firmicutes|Ruminococcaceae|unknown.spec.	0.831942515861589	0.144843050683981	0.00514653167267906	0.00737179398553667	0.0106961077962137
ASV154|Firmicutes|Ruminococcaceae|unknown.spec.	0.88457359241959	0.0455883660702417	0	0.0442607749059685	0.0255772666041992
ASV155|Firmicutes|Lachnospiraceae|Roseburia.spec.	0.756889134065122	0.234860174183337	5.53535744800477e-17	0.00686427455680628	0.00138641719473444
ASV156|Bacteroidota|Muribaculaceae|unknown.spec.	0.467952850572578	0.474628561716326	0.0493033630906333	0.0056624434475379	0.00245278117292469
ASV157|Bacteroidota|Muribaculaceae|unknown.spec.	0.940968852083952	0	9.08919861514065e-16	0.0408030653139407	0.018228082602106
ASV158|Bacteroidota|Muribaculaceae|unknown.spec.	0.946721314463578	0.0496453819592848	0	0.000245374433223176	0.00338792914391415
ASV159|Firmicutes|Lachnospiraceae|Lachnospiraceae NK4A136 group.spec.	0.897378687099698	0.0645492031380358	0.0223740855201375	0.00131511467561031	0.0143829095665189
ASV160|Bacteroidota|Muribaculaceae|unknown.spec.	0.598682388392636	0.343850386803529	0.0489100508760382	0.000764779219821132	0.00779239470797518
ASV161|Firmicutes|Oscillospiraceae|Intestinimonas.spec.	0.774524145283992	0.219787217356373	2.1085866033685e-14	1.01087081084031e-05	0.00567852865150572
ASV162|Firmicutes|unknown|unknown.spec.	0.987184539712118	0.00481515369037125	2.27436352927204e-13	0.00621525259816687	0.00178505399911669
ASV163|Firmicutes|Lachnospiraceae|Lachnospiraceae NK4A136 group.spec.	0.453841951091516	0.469293919929414	0.071804261934187	2.87232633012484e-05	0.00503114378158261
ASV164|Firmicutes|Lachnospiraceae|Lachnospiraceae NK4A136 group.spec.	0.961549676266199	0	0	0.038308186054537	0.000142137679264352
ASV165|Firmicutes|Oscillospiraceae|Intestinimonas.spec.	0.869625046221235	0.0109418604109256	0.0204574949124326	0.0230324722088365	0.07594312624657
ASV166|Firmicutes|Oscillospiraceae|Oscillibacter.spec.	0.915860224351008	0.0508175811543258	0.0281152442469662	0.000120661584185714	0.00508628866351449
ASV167|Firmicutes|Lachnospiraceae|unknown.spec.	0.916732921293771	0.0423353699021621	3.3539564304065e-20	0.0403966557572177	0.000535053046849163
ASV168|Firmicutes|Lachnospiraceae|unknown.spec.	0.798695060200856	0.172331189713919	0	0.000114713349533196	0.0288590367356919
ASV169|Firmicutes|Ruminococcaceae|Negativibacillus.spec.	0.921579881732141	0.0400783997375667	0.0133527316778397	0.00328876000255226	0.0217002268499002
ASV170|Firmicutes|Oscillospiraceae|Colidextribacter.spec.	0.993500174514539	3.07127962394298e-17	0.000989802022115989	0.00281421708202809	0.0026958063813173
ASV171|Firmicutes|Lachnospiraceae|unknown.spec.	0.729524707109326	0.247507272970603	0	0.00219909316414482	0.0207689267559265
ASV172|Firmicutes|Oscillospiraceae|Colidextribacter.spec.	0.994043235244247	0	0	0.00372368634165988	0.00223307841409315
ASV174|Bacteroidota|Muribaculaceae|unknown.spec.	0.51195624782827	0.422884691168727	0.0546299703105165	0.00164144569107798	0.00888764500140802
ASV175|Firmicutes|Lachnospiraceae|unknown.spec.	0.693728821123066	0.202551419862074	0.0612379703268537	0.0402457969649674	0.00223599172303869
ASV176|Firmicutes|Lachnospiraceae|Lachnospiraceae NK4A136 group.bacterium	0.970272810640963	0	0.00298861102306241	0.00690286164045691	0.0198357166955177
ASV177|Proteobacteria|Sutterellaceae|Parasutterella.spec.	0.65229640325743	0.20985594398814	0.121385242912444	0.00737057270710721	0.00909183713487858
ASV178|Firmicutes|Lachnospiraceae|Lachnospiraceae NK4A136 group.bacterium	0.645813649492235	0.185489440918202	0.0784841521055374	0.0844879063207228	0.00572485116330343
ASV179|Firmicutes|Ruminococcaceae|unknown.spec.	0.859551402644346	0.128346725431814	4.08034409750809e-10	0.0113332780334792	0.000768593482326872
ASV180|Firmicutes|Lachnospiraceae|Lachnoclostridium.spec.	0.959213646028749	0.0148497714262587	9.12437984626958e-15	0.0256799342105068	0.0002566483344765
ASV181|Firmicutes|unknown|unknown.spec.	0.849372253864173	0.112575157048475	5.46985118499578e-12	0.0286999770830583	0.00935261199882306
ASV182|Firmicutes|Butyricicoccaceae|UCG-009.spec.	0.991690404450871	0	0	0.00063890323151724	0.00767069231761162
ASV183|Firmicutes|Oscillospiraceae|Oscillibacter.spec.	0.643891152984823	0.309195698389576	0.0167109586523362	0.0301957864531146	6.40352015027564e-06
ASV184|Firmicutes|Lachnospiraceae|Lachnospiraceae UCG-001.spec.	0.919551312677287	9.56439638212493e-18	0.0161799721594422	0.0439527529842949	0.020315962178976
ASV185|Bacteroidota|Muribaculaceae|unknown.spec.	0.815512551131658	0.0502542521926497	0	0.0786936632199848	0.055539533455708
ASV186|Bacteroidota|Muribaculaceae|unknown.spec.	0.801969623131944	0.0580349599962258	0.0485975346848154	0.0725318243874248	0.0188660577995903
