"feature"	"metadata"	"value"	"coef"	"stderr"	"pval"	"name"	"qval"	"N"	"N.not.zero"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"tax_name"	"dif_abundant"	"label"	"group"
"ASV205"	"timepoint"	"w6"	0.648211898746653	0.174014232692089	0.000873794935684312	"timepointw6"	0.00425975031146102	45	37	"Bacteria"	"Firmicutes"	"Clostridia"	"Oscillospirales"	"Ruminococcaceae"	"Incertae Sedis"	"ASV205 | Ruminococcaceae | Incertae Sedis"	"stable"	NA	"KO"
"ASV73"	"timepoint"	"w6"	1.14791584865226	0.309791758882163	0.000920225580619236	"timepointw6"	0.00435015729020002	45	21	"Bacteria"	"Deferribacterota"	"Deferribacteres"	"Deferribacterales"	"Deferribacteraceae"	"Mucispirillum"	"ASV73 | Deferribacteraceae | Mucispirillum"	"up"	"Mucispirillum"	"KO"
"ASV362"	"timepoint"	"w6"	-1.08314695770062	0.305135256286597	0.000965700238800439	"timepointw6"	0.00443085991920201	45	2	"Bacteria"	"Firmicutes"	"Clostridia"	"Peptostreptococcales-Tissierellales"	"Anaerovoracaceae"	"Family XIII AD3011 group"	"ASV362 | Anaerovoracaceae | Family XIII AD3011 group"	"down"	"Family XIII AD3011 group"	"KO"
"ASV87"	"timepoint"	"w6"	-1.04510802367614	0.28748171985033	0.00110661010895652	"timepointw6"	0.00479734501673863	45	43	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Sutterellaceae"	"Parasutterella"	"ASV87 | Sutterellaceae | Parasutterella"	"down"	"Parasutterella"	"KO"
"ASV262"	"timepoint"	"w6"	-1.2837653037061	0.355158275731871	0.0011685840425389	"timepointw6"	0.00479734501673863	45	5	"Bacteria"	"Firmicutes"	"Clostridia"	"Lachnospirales"	"Lachnospiraceae"	"Tyzzerella"	"ASV262 | Lachnospiraceae | Tyzzerella"	"down"	"Tyzzerella"	"KO"
"ASV414"	"timepoint"	"w3"	0.905894694730337	0.258633732473669	0.00110742378590004	"timepointw3"	0.00479734501673863	45	0	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Streptococcus"	"ASV414 | Streptococcaceae | Streptococcus"	"stable"	NA	"KO"
"ASV36"	"timepoint"	"w6"	1.07143649779561	0.303011616569825	0.00143554861112013	"timepointw6"	0.00574219444448051	45	44	"Bacteria"	"Firmicutes"	"Clostridia"	"Lachnospirales"	"Lachnospiraceae"	"Roseburia"	"ASV36 | Lachnospiraceae | Roseburia"	"up"	"Roseburia"	"KO"
"ASV88"	"timepoint"	"w6"	-1.72614216340842	0.490030027554748	0.00148670963201751	"timepointw6"	0.00579816756486828	45	34	"Bacteria"	"Firmicutes"	"Clostridia"	"Lachnospirales"	"Lachnospiraceae"	"[Eubacterium] xylanophilum group"	"ASV88 | Lachnospiraceae | [Eubacterium] xylanophilum group"	"down"	"[Eubacterium] xylanophilum group"	"KO"
"ASV15"	"timepoint"	"w3"	1.20956802931149	0.370683470580546	0.00290128772879399	"timepointw3"	0.0100577974598192	45	41	"Bacteria"	"Firmicutes"	"Clostridia"	"Lachnospirales"	"Lachnospiraceae"	"Lachnospiraceae UCG-001"	"ASV15 | Lachnospiraceae | Lachnospiraceae UCG-001"	"up"	"Lachnospiraceae UCG-001"	"KO"
"ASV240"	"timepoint"	"w3"	-1.23817276211235	0.397751320794499	0.00332879597583407	"timepointw3"	0.0112889602658721	45	7	"Bacteria"	"Desulfobacterota"	"Desulfovibrionia"	"Desulfovibrionales"	"Desulfovibrionaceae"	"Bilophila"	"ASV240 | Desulfovibrionaceae | Bilophila"	"down"	"Bilophila"	"KO"
"ASV226"	"timepoint"	"w6"	-1.39582919795766	0.439920244739813	0.00364635099743116	"timepointw6"	0.0118506407416513	45	7	"Bacteria"	"Firmicutes"	"Clostridia"	"Oscillospirales"	"Ruminococcaceae"	"[Eubacterium] siraeum group"	"ASV226 | Ruminococcaceae | [Eubacterium] siraeum group"	"down"	"[Eubacterium] siraeum group"	"KO"
"ASV419"	"timepoint"	"w6"	1.26067711124396	0.408599105349912	0.003589936780774	"timepointw6"	0.0118506407416513	45	3	"Bacteria"	"Firmicutes"	"Clostridia"	"Peptostreptococcales-Tissierellales"	"Anaerovoracaceae"	"Family XIII UCG-001"	"ASV419 | Anaerovoracaceae | Family XIII UCG-001"	"up"	"Family XIII UCG-001"	"KO"
"ASV90"	"timepoint"	"w3"	-0.426142342134383	0.136127775043654	0.00405769141966298	"timepointw3"	0.0129183645197434	45	45	"Bacteria"	"Firmicutes"	"Clostridia"	"Oscillospirales"	"Oscillospiraceae"	"Colidextribacter"	"ASV90 | Oscillospiraceae | Colidextribacter"	"stable"	NA	"KO"
"ASV2"	"timepoint"	"w6"	0.677596086088447	0.223833917981966	0.00420520627544153	"timepointw6"	0.0131202435793776	45	45	"Bacteria"	"Firmicutes"	"Clostridia"	"Lachnospirales"	"Lachnospiraceae"	"A2"	"ASV2 | Lachnospiraceae | A2"	"stable"	NA	"KO"
"ASV33"	"timepoint"	"w3"	-1.15045447171009	0.37523452870811	0.00476850554660094	"timepointw3"	0.0143055166398028	45	41	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Rikenellaceae"	"Rikenellaceae RC9 gut group"	"ASV33 | Rikenellaceae | Rikenellaceae RC9 gut group"	"down"	"Rikenellaceae RC9 gut group"	"KO"
"ASV161"	"timepoint"	"w6"	0.533967903568811	0.174074395777202	0.00475060199742265	"timepointw6"	0.0143055166398028	45	41	"Bacteria"	"Firmicutes"	"Clostridia"	"Oscillospirales"	"Oscillospiraceae"	"Intestinimonas"	"ASV161 | Oscillospiraceae | Intestinimonas"	"stable"	NA	"KO"
"ASV86"	"timepoint"	"w3"	-0.78934578470847	0.272788956361744	0.00601424810520883	"timepointw3"	0.0177023151775958	45	44	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Muribaculaceae"	"Muribaculum"	"ASV86 | Muribaculaceae | Muribaculum"	"stable"	NA	"KO"
"ASV493"	"timepoint"	"w3"	0.549123902659213	0.196615691500098	0.00783327887347861	"timepointw3"	0.0218212768618333	45	0	"Bacteria"	"Firmicutes"	"Clostridia"	"Peptostreptococcales-Tissierellales"	"Anaerovoracaceae"	"[Eubacterium] brachy group"	"ASV493 | Anaerovoracaceae | [Eubacterium] brachy group"	"stable"	NA	"KO"
"ASV99"	"timepoint"	"w6"	0.537426772176224	0.19402830930999	0.00831564696545462	"timepointw6"	0.0226863025693905	45	45	"Bacteria"	"Firmicutes"	"Clostridia"	"Oscillospirales"	"Oscillospiraceae"	"Oscillibacter"	"ASV99 | Oscillospiraceae | Oscillibacter"	"stable"	NA	"KO"
"ASV105"	"timepoint"	"w6"	1.5728870209327	0.55501732427142	0.00843465095528622	"timepointw6"	0.0226863025693905	45	11	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiaceae"	"Candidatus Arthromitus"	"ASV105 | Clostridiaceae | Candidatus Arthromitus"	"up"	"Candidatus Arthromitus"	"KO"
"ASV275"	"timepoint"	"w3"	-0.993325616432079	0.351943524562643	0.00867343156333238	"timepointw3"	0.0229331410827094	45	2	"Bacteria"	"Patescibacteria"	"Saccharimonadia"	"Saccharimonadales"	"Saccharimonadaceae"	"Candidatus Saccharimonas"	"ASV275 | Saccharimonadaceae | Candidatus Saccharimonas"	"stable"	NA	"KO"
"ASV129"	"timepoint"	"w3"	0.806060742057986	0.298143432382952	0.0115295487322894	"timepointw3"	0.029485403315363	45	28	"Bacteria"	"Firmicutes"	"Clostridia"	"Lachnospirales"	"Lachnospiraceae"	"Lachnospiraceae UCG-006"	"ASV129 | Lachnospiraceae | Lachnospiraceae UCG-006"	"stable"	NA	"KO"
"ASV188"	"timepoint"	"w3"	1.21658948088099	0.454133357223517	0.0122239667813442	"timepointw3"	0.0307570777078982	45	13	"Bacteria"	"Actinobacteriota"	"Coriobacteriia"	"Coriobacteriales"	"Atopobiaceae"	"Coriobacteriaceae UCG-002"	"ASV188 | Atopobiaceae | Coriobacteriaceae UCG-002"	"up"	"Coriobacteriaceae UCG-002"	"KO"
"ASV82"	"timepoint"	"w6"	-0.598838897283599	0.234555758723473	0.0143995938548301	"timepointw6"	0.0356561371643412	45	33	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Tannerellaceae"	"Parabacteroides"	"ASV82 | Tannerellaceae | Parabacteroides"	"stable"	NA	"KO"
"ASV576"	"timepoint"	"w6"	0.7944682833702	0.307544137818477	0.0153017204566323	"timepointw6"	0.0372979436130412	45	2	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Escherichia-Shigella"	"ASV576 | Enterobacteriaceae | Escherichia-Shigella"	"stable"	NA	"KO"
"ASV240"	"timepoint"	"w6"	0.924339936680903	0.397751320794499	0.0250415263007794	"timepointw6"	0.0591890621654786	45	7	"Bacteria"	"Desulfobacterota"	"Desulfovibrionia"	"Desulfovibrionales"	"Desulfovibrionaceae"	"Bilophila"	"ASV240 | Desulfovibrionaceae | Bilophila"	"stable"	NA	"KO"
"ASV28"	"timepoint"	"w3"	-1.53486833072686	0.658793269387353	0.0272507054269193	"timepointw3"	0.0634494036805881	45	31	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	"Alloprevotella"	"ASV28 | Prevotellaceae | Alloprevotella"	"stable"	NA	"KO"
"ASV33"	"timepoint"	"w6"	-0.856527595269782	0.37523452870811	0.0302477147224684	"timepointw6"	0.0683861376334068	45	41	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Rikenellaceae"	"Rikenellaceae RC9 gut group"	"ASV33 | Rikenellaceae | Rikenellaceae RC9 gut group"	"stable"	NA	"KO"
"ASV1"	"timepoint"	"w6"	0.335328970442368	0.152817408340296	0.0337962470195593	"timepointw6"	0.0753173505007321	45	45	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Rikenellaceae"	"Alistipes"	"ASV1 | Rikenellaceae | Alistipes"	"stable"	NA	"KO"
"ASV87"	"timepoint"	"w3"	-0.637354943572739	0.28748171985033	0.0349133175875644	"timepointw3"	0.0767109513191556	45	43	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Sutterellaceae"	"Parasutterella"	"ASV87 | Sutterellaceae | Parasutterella"	"stable"	NA	"KO"
"ASV348"	"timepoint"	"w3"	0.613343344815641	0.279178817866086	0.0364647381247109	"timepointw3"	0.0779246458555466	45	0	"Bacteria"	"Firmicutes"	"Clostridia"	"Oscillospirales"	"Oscillospiraceae"	"UCG-005"	"ASV348 | Oscillospiraceae | UCG-005"	"stable"	NA	"KO"
"ASV129"	"timepoint"	"w6"	0.639562695498384	0.298143432382952	0.0407584409745667	"timepointw6"	0.0847775572270986	45	28	"Bacteria"	"Firmicutes"	"Clostridia"	"Lachnospirales"	"Lachnospiraceae"	"Lachnospiraceae UCG-006"	"ASV129 | Lachnospiraceae | Lachnospiraceae UCG-006"	"stable"	NA	"KO"
"ASV99"	"timepoint"	"w3"	-0.395081849263245	0.19402830930999	0.0480677366503498	"timepointw3"	0.0986653541770338	45	45	"Bacteria"	"Firmicutes"	"Clostridia"	"Oscillospirales"	"Oscillospiraceae"	"Oscillibacter"	"ASV99 | Oscillospiraceae | Oscillibacter"	"stable"	NA	"KO"
"ASV226"	"timepoint"	"w3"	-0.900244720577466	0.439920244739813	0.050211871409959	"timepointw3"	0.101727947272125	45	7	"Bacteria"	"Firmicutes"	"Clostridia"	"Oscillospirales"	"Ruminococcaceae"	"[Eubacterium] siraeum group"	"ASV226 | Ruminococcaceae | [Eubacterium] siraeum group"	"stable"	NA	"KO"
"ASV2"	"timepoint"	"w3"	0.449100827345023	0.223833917981966	0.05128054340191	"timepointw3"	0.10256108680382	45	45	"Bacteria"	"Firmicutes"	"Clostridia"	"Lachnospirales"	"Lachnospiraceae"	"A2"	"ASV2 | Lachnospiraceae | A2"	"stable"	NA	"KO"
"ASV126"	"timepoint"	"w3"	-0.822857080521339	0.437205236668005	0.0702564884054472	"timepointw3"	0.138734331534807	45	27	"Bacteria"	"Firmicutes"	"Clostridia"	"Oscillospirales"	"Ruminococcaceae"	"Ruminococcus"	"ASV126 | Ruminococcaceae | Ruminococcus"	"stable"	NA	"KO"
"ASV105"	"timepoint"	"w3"	1.03584424846039	0.55501732427142	0.0725018805002517	"timepointw3"	0.139633251333818	45	11	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiaceae"	"Candidatus Arthromitus"	"ASV105 | Clostridiaceae | Candidatus Arthromitus"	"stable"	NA	"KO"
"ASV234"	"timepoint"	"w3"	-0.51623653598299	0.276369119428654	0.0722717220962643	"timepointw3"	0.139633251333818	45	12	"Bacteria"	"Firmicutes"	"Clostridia"	"Christensenellales"	"Christensenellaceae"	"Christensenellaceae R-7 group"	"ASV234 | Christensenellaceae | Christensenellaceae R-7 group"	"stable"	NA	"KO"
"ASV100"	"timepoint"	"w3"	0.337391952125822	0.189458801635285	0.082175651021682	"timepointw3"	0.154450621197378	45	45	"Bacteria"	"Firmicutes"	"Clostridia"	"Lachnospirales"	"Lachnospiraceae"	"Lachnoclostridium"	"ASV100 | Lachnospiraceae | Lachnoclostridium"	"stable"	NA	"KO"
"ASV67"	"timepoint"	"w3"	-0.346463465968668	0.19645282374294	0.0887111996451844	"timepointw3"	0.16415318396969	45	42	"Bacteria"	"Firmicutes"	"Clostridia"	"Oscillospirales"	"Ruminococcaceae"	"Anaerotruncus"	"ASV67 | Ruminococcaceae | Anaerotruncus"	"stable"	NA	"KO"
"ASV117"	"timepoint"	"w6"	0.353527407462582	0.203347267341248	0.0894424399834851	"timepointw6"	0.16415318396969	45	29	"Bacteria"	"Actinobacteriota"	"Coriobacteriia"	"Coriobacteriales"	"Eggerthellaceae"	"Enterorhabdus"	"ASV117 | Eggerthellaceae | Enterorhabdus"	"stable"	NA	"KO"
"ASV238"	"timepoint"	"w3"	-0.506528313272396	0.312553557851233	0.1125856237329	"timepointw3"	0.201877670141751	45	2	"Bacteria"	"Firmicutes"	"Clostridia"	"Lachnospirales"	"Lachnospiraceae"	"Tuzzerella"	"ASV238 | Lachnospiraceae | Tuzzerella"	"stable"	NA	"KO"
"ASV369"	"timepoint"	"w6"	-0.526824619552889	0.328329347922213	0.11608462291732	"timepointw6"	0.205786376989794	45	0	"Bacteria"	"Firmicutes"	"Clostridia"	"Peptostreptococcales-Tissierellales"	"Anaerovoracaceae"	"Anaerovorax"	"ASV369 | Anaerovoracaceae | Anaerovorax"	"stable"	NA	"KO"
"ASV90"	"timepoint"	"w6"	0.219551512381762	0.136127775043654	0.117996339947696	"timepointw6"	0.206825045301579	45	45	"Bacteria"	"Firmicutes"	"Clostridia"	"Oscillospirales"	"Oscillospiraceae"	"Colidextribacter"	"ASV90 | Oscillospiraceae | Colidextribacter"	"stable"	NA	"KO"
"ASV190"	"timepoint"	"w6"	-0.954772012672149	0.596519994429891	0.120696197267213	"timepointw6"	0.209206741929835	45	11	"Bacteria"	"Firmicutes"	"Bacilli"	"Erysipelotrichales"	"Erysipelotrichaceae"	"Faecalibaculum"	"ASV190 | Erysipelotrichaceae | Faecalibaculum"	"stable"	NA	"KO"
"ASV169"	"timepoint"	"w6"	0.361517174331175	0.229996862789902	0.12349271063517	"timepointw6"	0.211644562358639	45	15	"Bacteria"	"Firmicutes"	"Clostridia"	"Oscillospirales"	"Ruminococcaceae"	"Negativibacillus"	"ASV169 | Ruminococcaceae | Negativibacillus"	"stable"	NA	"KO"
"ASV576"	"timepoint"	"w3"	-0.486622429974188	0.307544137818477	0.124816023955095	"timepointw3"	0.211644562358639	45	2	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Escherichia-Shigella"	"ASV576 | Enterobacteriaceae | Escherichia-Shigella"	"stable"	NA	"KO"
"ASV126"	"timepoint"	"w6"	-0.682702667448122	0.437205236668005	0.12963508750901	"timepointw6"	0.217452404853823	45	27	"Bacteria"	"Firmicutes"	"Clostridia"	"Oscillospirales"	"Ruminococcaceae"	"Ruminococcus"	"ASV126 | Ruminococcaceae | Ruminococcus"	"stable"	NA	"KO"
"ASV449"	"timepoint"	"w6"	0.37300249815445	0.246286248918404	0.141105043573965	"timepointw6"	0.234174327633388	45	0	"Bacteria"	"Firmicutes"	"Clostridia"	"Peptococcales"	"Peptococcaceae"	"Peptococcus"	"ASV449 | Peptococcaceae | Peptococcus"	"stable"	NA	"KO"
"ASV18"	"timepoint"	"w3"	-0.377547322429037	0.251259146970478	0.144132260190944	"timepointw3"	0.236680343050393	45	45	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Marinifilaceae"	"Odoribacter"	"ASV18 | Marinifilaceae | Odoribacter"	"stable"	NA	"KO"
"ASV169"	"timepoint"	"w3"	-0.340741817655533	0.229996862789902	0.145935837627139	"timepointw3"	0.237145736144101	45	15	"Bacteria"	"Firmicutes"	"Clostridia"	"Oscillospirales"	"Ruminococcaceae"	"Negativibacillus"	"ASV169 | Ruminococcaceae | Negativibacillus"	"stable"	NA	"KO"
"ASV73"	"timepoint"	"w3"	-0.45886165278921	0.309791758882163	0.149721561517798	"timepointw3"	0.239308772360212	45	21	"Bacteria"	"Deferribacterota"	"Deferribacteres"	"Deferribacterales"	"Deferribacteraceae"	"Mucispirillum"	"ASV73 | Deferribacteraceae | Mucispirillum"	"stable"	NA	"KO"
"ASV147"	"timepoint"	"w3"	1.30861843043696	0.884870313904823	0.150334998021159	"timepointw3"	0.239308772360212	45	16	"Bacteria"	"Firmicutes"	"Clostridia"	"Peptostreptococcales-Tissierellales"	"Peptostreptococcaceae"	"Romboutsia"	"ASV147 | Peptostreptococcaceae | Romboutsia"	"stable"	NA	"KO"
"ASV182"	"timepoint"	"w6"	-0.464667762943672	0.319363576724755	0.156794892052998	"timepointw6"	0.247070738992603	45	14	"Bacteria"	"Firmicutes"	"Clostridia"	"Oscillospirales"	"Butyricicoccaceae"	"UCG-009"	"ASV182 | Butyricicoccaceae | UCG-009"	"stable"	NA	"KO"
"ASV28"	"timepoint"	"w6"	0.88584175567789	0.658793269387353	0.189532915579413	"timepointw6"	0.289873870886162	45	31	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	"Alloprevotella"	"ASV28 | Prevotellaceae | Alloprevotella"	"stable"	NA	"KO"
"ASV205"	"timepoint"	"w3"	0.234547623052364	0.174014232692089	0.188506763769422	"timepointw3"	0.289873870886162	45	37	"Bacteria"	"Firmicutes"	"Clostridia"	"Oscillospirales"	"Ruminococcaceae"	"Incertae Sedis"	"ASV205 | Ruminococcaceae | Incertae Sedis"	"stable"	NA	"KO"
"ASV4"	"timepoint"	"w6"	-0.37635928078021	0.289910063397428	0.204812850085561	"timepointw6"	0.307219275128342	45	44	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	"ASV4 | Lactobacillaceae | Lactobacillus"	"stable"	NA	"KO"
"ASV498"	"timepoint"	"w6"	0.317359381965539	0.245605068690402	0.206867329127891	"timepointw6"	0.307345746132866	45	0	"Bacteria"	"Firmicutes"	"Clostridia"	"Oscillospirales"	"Oscillospiraceae"	"NK4A214 group"	"ASV498 | Oscillospiraceae | NK4A214 group"	"stable"	NA	"KO"
