varMean	Parameter	level	time	parameter_clean_name
0.0406546486321672	lipocalin2_pg_ml_scaled	MCyc	BL	Lipocalin (pg/ml)
0.0306841624221286	number_of_pups_scaled	MCyc	BL	Number of pups
0.0227024005962824	genotype	MCyc	BL	Maternal genotype
0.828777519075879	Residuals	EC	w3	Residuals
0.0580695483981607	number_of_pups_scaled	EC	w3	Number of pups
0.0460204163064454	genotype	EC	w3	Maternal genotype
0.0353324100695601	NA	EC	w3	Maternal weight (g)
0.0318001061499556	lipocalin2_pg_ml_scaled	EC	w3	Lipocalin (pg/ml)
0.839409917065773	Residuals	GO	w3	Residuals
0.0693380744754703	number_of_pups_scaled	GO	w3	Number of pups
0.0370047728413177	NA	GO	w3	Maternal weight (g)
0.0296947751116061	genotype	GO	w3	Maternal genotype
0.0245524605058313	lipocalin2_pg_ml_scaled	GO	w3	Lipocalin (pg/ml)
0.85809112749622	Residuals	KO	w3	Residuals
0.0488937938418299	number_of_pups_scaled	KO	w3	Number of pups
0.0368974383416003	NA	KO	w3	Maternal weight (g)
0.0305400565985771	genotype	KO	w3	Maternal genotype
0.0255775837217728	lipocalin2_pg_ml_scaled	KO	w3	Lipocalin (pg/ml)
0.832698806099109	Residuals	RXN	w3	Residuals
0.0596323143993325	number_of_pups_scaled	RXN	w3	Number of pups
0.0406527016208139	genotype	RXN	w3	Maternal genotype
0.0356159333907587	NA	RXN	w3	Maternal weight (g)
0.0314002444899873	lipocalin2_pg_ml_scaled	RXN	w3	Lipocalin (pg/ml)
0.84822053375562	Residuals	MCyc	w3	Residuals
0.0524946367389848	number_of_pups_scaled	MCyc	w3	Number of pups
0.0352189159012424	lipocalin2_pg_ml_scaled	MCyc	w3	Lipocalin (pg/ml)
0.0336278787716851	genotype	MCyc	w3	Maternal genotype
0.0304380348324687	NA	MCyc	w3	Maternal weight (g)
0.834631886387049	Residuals	EC	w6	Residuals
0.0607256118333476	NA	EC	w6	Maternal weight (g)
0.0470196848620973	number_of_pups_scaled	EC	w6	Number of pups
0.0410603094196723	lipocalin2_pg_ml_scaled	EC	w6	Lipocalin (pg/ml)
0.016562507497836	genotype	EC	w6	Maternal genotype
0.829360563823396	Residuals	GO	w6	Residuals
0.0633562415298144	lipocalin2_pg_ml_scaled	GO	w6	Lipocalin (pg/ml)
0.0519619515145216	number_of_pups_scaled	GO	w6	Number of pups
0.0317801084143071	NA	GO	w6	Maternal weight (g)
0.0235411347179613	genotype	GO	w6	Maternal genotype
0.84114356162018	Residuals	KO	w6	Residuals
0.053373002492992	number_of_pups_scaled	KO	w6	Number of pups
0.0393238622953898	lipocalin2_pg_ml_scaled	KO	w6	Lipocalin (pg/ml)
0.0363897834392512	NA	KO	w6	Maternal weight (g)
0.0297697901521879	genotype	KO	w6	Maternal genotype
0.835511385229038	Residuals	RXN	w6	Residuals
0.0633763227735082	NA	RXN	w6	Maternal weight (g)
0.0442521466962091	number_of_pups_scaled	RXN	w6	Number of pups
0.0342443863005793	lipocalin2_pg_ml_scaled	RXN	w6	Lipocalin (pg/ml)
0.022615759000665	genotype	RXN	w6	Maternal genotype
0.832653712292079	Residuals	MCyc	w6	Residuals
0.0611146860771117	NA	MCyc	w6	Maternal weight (g)
0.0569418314878954	number_of_pups_scaled	MCyc	w6	Number of pups
0.0343889617882685	lipocalin2_pg_ml_scaled	MCyc	w6	Lipocalin (pg/ml)
0.0149008083546459	genotype	MCyc	w6	Maternal genotype
