Residuals	number_of_pups_scaled	lipocalin2_pg_ml_scaled	weight_grams_scaled	genotype
K00175|2-oxoglutarate|2-oxoacid ferredoxin oxidoreductase subunit beta [EC.1.2.7.3 1.2.7.11]	0.833996185679812	0.0614696701667	0.0580035021291433	0.035134191256851	0.0113964507674937
K00177|2-oxoglutarate ferredoxin oxidoreductase subunit gamma [EC.1.2.7.3]	0.742877931935693	0.110045703316003	0.0879203464490629	0.000203437637532356	0.058952580661709
K00179|indolepyruvate ferredoxin oxidoreductase, alpha subunit	0.91724879924391	0.0126434231191106	0.0513323417642926	0.0187754358726863	0
K00198|carbon-monoxide dehydrogenase catalytic subunit [EC.1.2.7.4]	0.837769937718135	0.0769217177625871	0.00728308534553908	0.0780252591737392	0
K00215|4-hydroxy-tetrahydrodipicolinate reductase [EC.1.17.1.8]	0.938715180924148	0.0518272728730299	0.00901494525917278	0.000442600943649528	0
K00226|dihydroorotate dehydrogenase (fumarate) [EC.1.3.98.1]	0.875312940962833	0.00487092893302815	0.0198478918211256	0.0115163892074611	0.0884518490755521
K00239|succinate dehydrogenase | fumarate reductase, flavoprotein subunit [EC.1.3.5.1 1.3.5.4]	0.781040044388845	0.184558759011231	0.0320921795859082	0.00230901701401523	0
K00241|succinate dehydrogenase | fumarate reductase, cytochrome b subunit	0.607849226333791	0.0318039435123141	0.0100153451184141	0.20401599289778	0.146315492137701
K00243|hypothetical protein	0.930819672812051	0.0149006721325936	0.00101398909107918	0.053265665964276	0
K00246|fumarate reductase subunit C	0.841970854195402	0.0292834472923065	0.00326899710681948	0.125476701405472	0
K00248|butyryl-CoA dehydrogenase [EC.1.3.8.1]	0.814449297011742	0.129347527648088	0.0299557492547408	0.0262474260854288	0
K00257| [EC.1.3.99.-]	0.825631417527379	0.150547999866568	0.0231004259694839	0.00072015663656909	0
K00259|alanine dehydrogenase [EC.1.4.1.1]	0.78825333996336	0.18057797842372	0.013771088707246	0.0173975929056739	0
K00262|glutamate dehydrogenase (NADP+) [EC.1.4.1.4]	0.716412906222987	0.196950216106131	0.055189277120362	0.0314476005505197	0
K00266|glutamate synthase (NADPH|NADH) small chain [EC.1.4.1.13 1.4.1.14]	0.825746827764585	0.142429554442697	0.0155599662475133	0.0162636515452055	0
K00278|L-aspartate oxidase [EC.1.4.3.16]	0.988408329041249	0.000423839343953371	3.38835286136837e-06	0.0111644432619359	0
K00281|glycine dehydrogenase [EC.1.4.4.2]	0.779561455478472	0.183456464887146	0.022675582090556	0.0143064975438259	0
K00284|glutamate synthase (ferredoxin) [EC.1.4.7.1]	0.870918437877956	0.0334237151626222	0.0410074056623955	0.0546504412970261	0
K00286|pyrroline-5-carboxylate reductase [EC.1.5.1.2]	0.854156505790088	0.0599315478466684	0.0206026433929446	0.0653093029702986	0
K00287|dihydrofolate reductase [EC.1.5.1.3]	0.853358781240042	0.0136909232851199	0.0928893815319638	0.00781241458043579	0.0322484993624385
K00294|1-pyrroline-5-carboxylate dehydrogenase [EC.1.2.1.88]	0.953659973330047	0.0363234525065203	0.00243630262476537	0.00758027153866767	0
K00297|methylenetetrahydrofolate reductase (NADPH) [EC.1.5.1.20]	0.81942148820415	0.106162613461935	0.038014338925948	0.0266049210640708	0.00979663834389623
K00330|NADH-quinone oxidoreductase subunit A [EC.1.6.5.3]	0.888854485344927	0.0428893772311387	0.0237143707578725	0.0445417666660614	0
K00331|NADH-quinone oxidoreductase subunit B [EC.1.6.5.3]	0.975179310546902	0.00430649990687397	2.05310825820589e-05	0.0204936584636417	0
K00332|NADH-quinone oxidoreductase subunit C [EC.1.6.5.3]	0.91533755444397	0.0321204063528013	0.000336376518239981	0.0522056626849882	0
K00333|NADH-quinone oxidoreductase subunit D [EC.1.6.5.3]	0.835812115137776	0.110766735144652	0.0120884070651603	0.0413327426524116	0
K00334|NADH-quinone oxidoreductase subunit E [EC.1.6.5.3]	0.872666630137583	0.0841894110282998	0.0271459604727498	0.0159979983613676	0
K00336|NADH-quinone oxidoreductase subunit G [EC.1.6.5.3]	0.888870628743057	0.0911428744419224	0.00803841517724645	0.0119480816377745	0
K00337|NADH-quinone oxidoreductase subunit H [EC.1.6.5.3]	0.958665920452915	0.000890363948854408	0.0182112144669223	0.0222325011313085	0
K00338|NADH-quinone oxidoreductase subunit I [EC.1.6.5.3]	0.903169952668602	0.03917031274187	0.00108960680158903	0.0565701277879387	0
K00339|NADH-quinone oxidoreductase subunit J [EC.1.6.5.3]	0.894682873768356	0.0390703935965501	0.0188452042164225	0.0474015284186713	0
K00340|NADH-quinone oxidoreductase subunit K [EC.1.6.5.3]	0.846940274930902	0.0572853567529657	0.0206739600359844	0.0751004082801479	0
K00341|NADH-quinone oxidoreductase subunit L [EC.1.6.5.3]	0.869756178253927	0.0348112409078476	0.0229642606098151	0.0724683202284105	0
K00342|NADH-quinone oxidoreductase subunit M [EC.1.6.5.3]	0.858526447353204	0.0617650780413135	0.000505481224519458	0.0792029933809626	0
K00343|NADH-quinone oxidoreductase subunit N [EC.1.6.5.3]	0.866486936582363	0.0772621480778877	0.000764137488151816	0.055486777851598	0
K00346|Na+-transporting NADH:ubiquinone oxidoreductase subunit A	0.896042306320144	0.013375524651493	1.36969041636089e-06	0.0905807993379462	5.8515605249308e-16
K00347|Na+-transporting NADH:ubiquinone oxidoreductase subunit B	0.731547786523291	0.19154019097144	0.0691158347069735	0.00779618779829528	0
K00348|Na+-transporting NADH:ubiquinone oxidoreductase subunit C	0.912675758279312	0.0703149471617797	3.39693332441904e-05	0.0169753252256641	0
K00350|Na+-transporting NADH:ubiquinone oxidoreductase subunit E	0.870770131501346	0.011042796053171	0.00449230812787946	0.103628501494959	0.010066262822644
K00351|Na+-transporting NADH:ubiquinone oxidoreductase subunit F	0.74325000459259	0.24872658131056	0.00782808409156021	0.000195330005289711	0
K00364|GMP reductase [EC.1.7.1.7]	0.971299200894306	0.0149588544504805	0.00261275905040599	0.0111291856048071	0
K00373|nitrate reductase delta subunit	0.936990613774677	0.0385867180986309	0.00185924607050849	0.00145117473698718	0.0211122473191964
K00382|dihydrolipoamide dehydrogenase [EC.1.8.1.4]	0.728651317585551	0.152244588498491	0.0354539092774869	0.07465450709849	0.00899567753998178
K00383|glutathione reductase (NADPH) [EC.1.8.1.7]	0.835864941342151	0.0980259827543765	5.26899636816193e-05	0.0176012244472118	0.0484551614925791
K00384|thioredoxin reductase (NADPH) [EC.1.8.1.9]	0.750037379827719	0.00374002732106015	0.100487173612165	0.0189210736754059	0.12681434556365
K00425|cytochrome d ubiquinol oxidase subunit I [EC.1.10.3.14]	0.927824267220958	0.0186389052780833	0.000970053692613999	0.0212561009634138	0.0313106728449306
K00426|cytochrome d ubiquinol oxidase subunit II [EC.1.10.3.14]	0.906289979375905	7.26071894732928e-05	0.00193768003711111	0.0916997333975107	0
K00428|cytochrome c peroxidase	0.862488323260125	0.0989794232782282	0.00152510829319328	0.0370071451684536	0
K00525|ribonucleoside-diphosphate reductase alpha chain [EC.1.17.4.1]	0.71594834616107	0.224345391694987	0.0344604499458931	0.0252458121980503	0
K00527|ribonucleoside-triphosphate reductase [EC.1.17.4.2]	0.887079408837504	0.000142301126223274	0.0542152312595561	0.0585630587767168	0
K00528|ferredoxin--NADP+ reductase	0.666001268512433	0.108085711577266	0.118154513916347	0.107758505993954	0
K00548|5-methyltetrahydrofolate--homocysteine methyltransferase [EC.2.1.1.13]	0.803126920608252	0.0714425272291869	0.0435718630426034	0.0609252413215687	0.0209334477983885
K00549|5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase [EC.2.1.1.14]	0.886406911305896	0.0603611008826898	0.0106515714268265	0.0425804163845874	0
K00554|tRNA (guanine-N1-)-methyltransferase	0.83811275938275	0.00329544076196493	0.00857836359224858	0.0292282795664153	0.120785156696621
K00556|tRNA (guanosine-2-O-)-methyltransferase	0.949471159489801	0.00297516685519624	5.22529420652305e-06	0.0475484483607962	0
K00557|tRNA (uracil-5-)-methyltransferase	0.895567602210936	0.0199045420769787	0.000252455368692888	0.0842754003433924	0
K00558|DNA (cytosine-5)-methyltransferase 1 [EC.2.1.1.37]	0.953562999208376	0.0437757033508103	0.0014358288720991	0.00122546856871485	0
K00560|thymidylate synthase [EC.2.1.1.45]	0.860584364262114	0.00410793688831892	0.0752895670686499	0.0238470370200923	0.0361710947608249
K00564|ribosomal RNA small subunit methyltransferase C	0.927347012813577	0.0243645390532125	0.00859655697265227	0.00284789570652797	0.0368439954540306
K00566|tRNA-specific 2-thiouridylase [EC.2.8.1.-]	0.915825335823355	0.0286358685665908	0.021432100472467	0.000159028377734376	0.0339476667598526
K00567|methylated-DNA-[protein]-cysteine S-methyltransferase	0.808577738169088	0.184332290532144	0.000123805388013534	0.0069661659107546	0
K00571|site-specific DNA-methyltransferase (adenine-specific)	0.889910887653579	0.0746563214070969	2.57259621553556e-06	0.0354302183431084	0
K00574|cyclopropane-fatty-acyl-phospholipid synthase	0.947365186961241	0.0427094314972064	0.00254000830281243	0.00738537323873955	1.01634621939909e-15
K00575|chemotaxis protein methyltransferase CheR [EC.2.1.1.80]	0.883738759265014	0.0792113681199561	7.19807876836429e-05	0.0369778918273459	0
K00600|glycine hydroxymethyltransferase [EC.2.1.2.1]	0.916456392688339	0.0753676683478983	0.00792148885326807	0.000254450110495038	0
K00602|phosphoribosylaminoimidazolecarboxamide formyltransferase | IMP cyclohydrolase [EC.2.1.2.3 3.5.4.10]	0.785492794304109	0.159258237556769	0.0462494049547155	0.00899956318440622	0
K00603|glutamate formiminotransferase [EC.2.1.2.5]	0.836567065922356	0.122223953449754	0.0119908564184342	0.0292181242094551	0
K00604|methionyl-tRNA formyltransferase [EC.2.1.2.9]	0.95988131330443	0.0110290488326524	0.0252079608786216	0.00388167698429614	0
K00605|aminomethyltransferase [EC.2.1.2.10]	0.855523954779819	0.00608781283924428	0.0577464231336851	0.0806418092472518	0
K00606|3-methyl-2-oxobutanoate hydroxymethyltransferase [EC.2.1.2.11]	0.876437895082757	0.045796128181014	0.060659713302297	0.0171062634339317	0
K00609|aspartate carbamoyltransferase catalytic subunit [EC.2.1.3.2]	0.887775315180993	0.108347937255464	0.00273775450354954	0.00113899305999346	0
K00611|ornithine carbamoyltransferase [EC.2.1.3.3]	0.817187976101766	0.00127785427704138	0.0130162672145542	0.00744499986155261	0.161072902545086
K00615|transketolase [EC.2.2.1.1]	0.841423344213688	0.130891085759957	0.0183326313704454	0.00935293865591019	0
K00616|transaldolase [EC.2.2.1.2]	0.738206693684166	0.0379880086781124	0.213455561652697	0.0103497359850243	0
K00620|glutamate N-acetyltransferase | amino-acid N-acetyltransferase [EC.2.3.1.35 2.3.1.1]	0.86170495748334	0.0699073100115541	0.00581111307700796	0.0625766194280979	0
K00625|phosphate acetyltransferase [EC.2.3.1.8]	0.877042654600507	0.0891772475805941	8.70075717253937e-05	0.033693090247173	0
K00634|phosphate butyryltransferase [EC.2.3.1.19]	0.8403065754058	0.105517863784697	0.0502290093068154	0.00394655150268838	0
K00640|serine O-acetyltransferase [EC.2.3.1.30]	0.876230606611013	0.0718257033167539	0.00138980774154574	0.0505538823306877	0
K00645|[acyl-carrier-protein] S-malonyltransferase [EC.2.3.1.39]	0.85130496829522	0.0755469785781786	0.0584455614961333	0.0147024916304677	0
K00648|3-oxoacyl-[acyl-carrier-protein] synthase III [EC.2.3.1.180]	0.904937208322866	0.0948338056968369	3.22468687933719e-06	0.000225761293417446	0
K00651|homoserine O-succinyltransferase [EC.2.3.1.46]	0.968733664520535	0.0188512599075255	0.00779200651769751	0.00462306905424167	0
K00652|8-amino-7-oxononanoate synthase [EC.2.3.1.47]	0.964424665139679	0.00407239241954862	0.000400544259190325	0.0311023981815822	0
K00655|1-acyl-sn-glycerol-3-phosphate acyltransferase [EC.2.3.1.51]	0.862394507014061	0.0753394634608359	0.012570890679963	0.00200934702156665	0.0476857918235732
K00662|aminoglycoside N3-acetyltransferase	0.8722996315989	0.000341668970212648	0.00443056676851345	0.00942039458264927	0.113507738079725
K00674|2,3,4,5-tetrahydropyridine-2-carboxylate N-succinyltransferase [EC.2.3.1.117]	0.93842573824082	0.0385264092346411	0.000845557173315354	0.0111171872978457	0.011085108053378
K00677|UDP-N-acetylglucosamine acyltransferase [EC.2.3.1.129]	0.846482654719085	0.00924328007493965	0.0279480686481907	0.0690373279712998	0.0472886685864847
K00685|arginine-tRNA-protein transferase	0.887242371369727	0.0423145451151303	0.0147395261749391	0.0557035573402038	0
K00688|starch phosphorylase [EC.2.4.1.1]	0.791932546103432	0.0199419736215094	0.178745696268986	0.00937978400607261	0
K00691|maltose phosphorylase [EC.2.4.1.8]	0.82185674718151	0.00182201760885222	0.0187817325649339	0.0867236284050015	0.0708158742397023
K00700|1,4-alpha-glucan branching enzyme [EC.2.4.1.18]	0.828915357372627	0.0239514514569014	0.0360239198628153	0.111109271307656	0
K00703|starch synthase [EC.2.4.1.21]	0.758830123466945	0.227881543389513	7.00300094055236e-05	0.0132183031341364	0
K00748|lipid-A-disaccharide synthase [EC.2.4.1.182]	0.916945943118004	0.029876759572231	0.0138563021409612	0.0393209951688041	0
K00757|uridine phosphorylase [EC.2.4.2.3]	0.700183961577712	0.00307469627426785	0.000164138952884412	0.211522882058831	0.0850543211363048
K00759|adenine phosphoribosyltransferase [EC.2.4.2.7]	0.834512824183804	0.0934531450167078	0.0108984053471376	0.026194664122253	0.0349409613300976
K00760|hypoxanthine phosphoribosyltransferase [EC.2.4.2.8]	0.724804818106351	0.0535414553293554	0.0630731817737834	0.0351132959342305	0.123467248856279
K00761|uracil phosphoribosyltransferase [EC.2.4.2.9]	0.924940189953617	0.00118321938735056	9.9644739558728e-05	0.0676907120459584	0.0060862338735153
K00762|orotate phosphoribosyltransferase [EC.2.4.2.10]	0.794977416479116	0.0590308978738781	0.0143773068836986	0.0187747516734591	0.112839627089849
K00763|nicotinate phosphoribosyltransferase [EC.6.3.4.21]	0.735925733999565	0.114309260865928	0.00595591025899267	0.000505673021292088	0.143303421854222
K00764|amidophosphoribosyltransferase [EC.2.4.2.14]	0.938929536625622	0.0585456733227954	0.00131266130323161	0.00121212874835126	0
K00765|ATP phosphoribosyltransferase [EC.2.4.2.17]	0.658572364826987	0.194484935749618	0.032680323581335	0.0367590840831236	0.0775032917589366
K00766|anthranilate phosphoribosyltransferase [EC.2.4.2.18]	0.864768960168389	0.0202758537302709	0.0370584892018734	0.0778966968994667	0
K00767|nicotinate-nucleotide pyrophosphorylase (carboxylating) [EC.2.4.2.19]	0.880934972655636	0.102384378171735	0.000690145940651875	0.0159905032319771	0
K00768|nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase [EC.2.4.2.21]	0.851853470979346	0.044469615844049	0.102188107233223	0.00148880594338267	0
K00773|queuine tRNA-ribosyltransferase	0.982146155342662	0.00570502971794956	0.00159898862953635	0.0105498263098523	0
K00782|hypothetical protein	0.924281990934169	0.0363305287390614	0.0110540866468268	0.0283333936799429	0
K00783|hypothetical protein	0.899912453717609	0.0446794784582754	0.0553793188258734	2.87489982424659e-05	0
K00784|ribonuclease Z [EC.3.1.26.11]	0.907710848855002	0.00953217195572741	0.0827568625761853	1.16613084955578e-07	0
K00788|thiamine-phosphate pyrophosphorylase [EC.2.5.1.3]	0.938253317266401	0.0426115693678162	0.000930116060875512	0.0182049973049067	0
K00789|S-adenosylmethionine synthetase [EC.2.5.1.6]	0.91642818589588	0.0140495681292493	0.01412080886383	0.0195884533964736	0.0358129837145676
K00790|UDP-N-acetylglucosamine 1-carboxyvinyltransferase [EC.2.5.1.7]	0.891236143424846	0.0718676906275819	0.00882957384659306	0.000890571031294116	0.0271760210696847
K00791|tRNA dimethylallyltransferase [EC.2.5.1.75]	0.93333719817215	0.0122546541954973	0.0516703401548372	0.00273780747751571	0
K00793|riboflavin synthase [EC.2.5.1.9]	0.908392791862332	0.0591369939538774	0.0100534184003436	0.0224167957834468	0
K00794|6,7-dimethyl-8-ribityllumazine synthase [EC.2.5.1.78]	0.801360350197095	0.160006704150754	0.0335700366420547	0.00506290901009614	0
K00795|farnesyl diphosphate synthase [EC.2.5.1.1 2.5.1.10]	0.894113308941949	0.0459353489270602	0.0350605246806828	0.0248908174503083	0
K00798|cob(I)alamin adenosyltransferase [EC.2.5.1.17]	0.735560815209356	0.00914427168297076	0.0213924463117831	0.170318775884705	0.0635836909111855
K00800|3-phosphoshikimate 1-carboxyvinyltransferase [EC.2.5.1.19]	0.916724622474428	0.0736380820812196	0.00010573417184096	0.00953156127251125	0
K00805|heptaprenyl diphosphate synthase [EC.2.5.1.30]	0.886768936609832	0.00101020046408109	0.0784532196574035	0.033767643268683	0
K00806|undecaprenyl diphosphate synthase [EC.2.5.1.31]	0.956135701480179	0.033277380155243	0.000296169124692163	0.0102907492398857	0
K00812|aspartate aminotransferase [EC.2.6.1.1]	0.857505047213819	0.107769385994813	0.00210708510743592	0.0326184816839315	0
K00817|histidinol-phosphate aminotransferase [EC.2.6.1.9]	0.87206580733799	0.0755650983116878	4.12398138018842e-05	0.0523278545365203	0
K00820|glucosamine--fructose-6-phosphate aminotransferase (isomerizing) [EC.2.6.1.16]	0.956850323905637	0.0420227646254186	0.000314695916980831	0.000812215551963844	2.85909183278019e-18
K00826|branched-chain amino acid aminotransferase [EC.2.6.1.42]	0.852251448798934	0.0984842432470726	0.0400825260052649	0.00918178194872801	0
K00831|phosphoserine aminotransferase [EC.2.6.1.52]	0.900531209812884	0.0617992596376797	0.00195122901177241	0.0357183015376639	0
K00833|adenosylmethionine---8-amino-7-oxononanoate aminotransferase [EC.2.6.1.62]	0.995948159408936	0.000588265289292643	5.42878335469795e-05	0.00340928746822463	0
K00845|glucokinase [EC.2.7.1.2]	0.701853518105435	0.0285849903658168	0.157048243023314	0.112513248505434	0
K00848|rhamnulokinase [EC.2.7.1.5]	0.672155183789366	0.0559515814825974	0.16467561227006	0.107217622457977	0
K00849|galactokinase [EC.2.7.1.6]	0.927977844622645	0.00369712578752235	0.0515615500358963	0.0167634795539366	0
K00850|6-phosphofructokinase 1 [EC.2.7.1.11]	0.856476532081086	0.00950342446863755	0.104420258062296	0.0295997853879807	0
K00853|L-ribulokinase [EC.2.7.1.16]	0.865967961621297	0.000173110664054671	0.101875543534019	0.021465607390546	0.010517776790084
K00854|xylulokinase [EC.2.7.1.17]	0.925806877445939	0.0264756406803712	0.0427227468682428	0.00499473500544663	0
K00857|thymidine kinase [EC.2.7.1.21]	0.702192124660602	0.0118945711895809	0.0940580307815124	0.0347629305564129	0.157092342811892
K00858|NAD+ kinase [EC.2.7.1.23]	0.806534655205504	0.0910245466865769	0.0241993948313434	0.000411002021927279	0.0778304012546487
K00859|dephospho-CoA kinase [EC.2.7.1.24]	0.83260041416358	0.150724337589576	0.0073676672357832	0.00930758101106071	0
K00860|adenylylsulfate kinase [EC.2.7.1.25]	0.988367608709824	0.00436355377255853	0.00598619929015692	0.00128263822746007	0
K00864|glycerol kinase [EC.2.7.1.30]	0.817951360871375	0.0949204515544446	0.059652186105554	0.0274760014686269	0
K00865|glycerate 2-kinase [EC.2.7.1.165]	0.777869540518151	0.124378407659256	0.0150047272277925	0.0827473245948001	0
K00867|type I pantothenate kinase [EC.2.7.1.33]	0.925203731086887	0.0242981515768858	0.00362249019056597	0.0206065319170352	0.0262690952286263
K00868|pyridoxine kinase [EC.2.7.1.35]	0.851231586576109	0.011355602950046	0.0305301545176104	0.0108558687401338	0.0960267872161013
K00869|mevalonate kinase [EC.2.7.1.36]	0.820519570381736	0.0609314202838308	0.00836393142276327	0.00538838967298119	0.104796688238689
K00872|homoserine kinase [EC.2.7.1.39]	0.807774942411203	0.173009373651664	0.0114879418654055	0.00772774207172778	0
K00873|pyruvate kinase [EC.2.7.1.40]	0.666589507909885	0.045785942526758	0.165954884953172	0.0172408154429146	0.10442884916727
K00874|2-dehydro-3-deoxygluconokinase [EC.2.7.1.45]	0.517228324603972	0.00938241357213603	0.0837361433787589	0.389653118445133	0
K00876|uridine kinase [EC.2.7.1.48]	0.923209523735019	0.00654881150612841	0.00125654327499958	0.0689851214838528	0
K00878|hydroxyethylthiazole kinase [EC.2.7.1.50]	0.913952128850884	0.0114383856314047	0.000773602856350934	0.0210550792807104	0.0527808033806503
K00882|1-phosphofructokinase [EC.2.7.1.56]	0.796955527666309	0.0388931660953742	0.0473268221081539	0.0178538697625505	0.0989706143676121
K00891|shikimate kinase [EC.2.7.1.71]	0.895878990360983	0.0795011376464564	0.00968424945699781	0.0149356225355624	0
K00897|aminoglycoside 3-phosphotransferase	0.85934468049239	0.0168326518011928	0.00635838992409084	0.0187105589507193	0.0987537188316069
K00901|diacylglycerol kinase (ATP) [EC.2.7.1.107]	0.69082469052711	0.0366373912923739	0.169151968258954	0.00552299917352574	0.0978629507480369
K00912|tetraacyldisaccharide 4-kinase [EC.2.7.1.130]	0.869322266743197	0.0734797775275723	0.0057983057929385	0.00225825325888652	0.0491413966774058
K00919|4-diphosphocytidyl-2-C-methyl-D-erythritol kinase [EC.2.7.1.148]	0.783920302702097	0.0768717063398597	0.0347724477269104	0.0595837700055226	0.0448517732256102
K00925|acetate kinase [EC.2.7.2.1]	0.923662146459786	0.0318070946991829	0.042437781192282	0.00209297764874956	0
K00926|carbamate kinase [EC.2.7.2.2]	0.773768282106688	0.210596976765122	0.0151180651413384	0.000516675986852063	0
K00927|phosphoglycerate kinase [EC.2.7.2.3]	0.875503826012192	0.078493247532837	0.0180354526550009	0.00750615200860276	0.020461321791367
K00928|aspartate kinase [EC.2.7.2.4]	0.828117106800076	0.00125758005903019	0.0716649870133914	0.000736220933179852	0.0982241051943226
K00929|butyrate kinase [EC.2.7.2.7]	0.910981757286118	0.00105108218375487	0.0142853128167973	0.0736818477133295	0
