Residuals	lipocalin2_pg_ml_scaled	number_of_pups_scaled	weight_grams_scaled	genotype
GO:0000967|[BP] rRNA 5-end processing	0.707799725380356	0.00180312971777415	0.0202319360215681	0.0727677062427041	0.197397502637597
GO:0000986|[MF] bacterial-type RNA polymerase core promoter proximal region sequence-specific DNA binding	0.864517451886938	0.0864098262653422	0.00222024424899167	0.0468524775987279	0
GO:0001123|[BP] transcription initiation from bacterial-type RNA polymerase promoter	0.829538218917142	0.0388227852740545	0.0746261875824654	0.0570128082263384	0
GO:0001407|[BP] glycerophosphodiester transport	0.826244747740052	0.126468916039406	0.0205681010616427	0.0267182351588988	0
GO:0001514|[BP] selenocysteine incorporation	0.895740987420883	0.000354470971396422	0.0653157087016724	0.0385888329060483	0
GO:0001522|[BP] pseudouridine synthesis	0.770108253174936	0.0538822820359235	0.0937590872955877	0.0159488265795165	0.0663015509140363
GO:0001530|[MF] lipopolysaccharide binding	0.866289334792568	0.0363044328411456	0.080809264332931	0.0165969680333553	0
GO:0001666|[BP] response to hypoxia	0.943185370878681	0.015074618529289	0.04151246534042	0.000227545251609729	0
GO:0001680|[BP] tRNA 3-terminal CCA addition	0.851819646575217	0.00230344849768726	0.144031343355742	0.00184556157135323	0
GO:0001682|[BP] tRNA 5-leader removal	0.843167305536757	0.0598018982890539	0.00323395495331561	0.0911289478713542	0.00266789334951895
GO:0001701|[BP] in utero embryonic development	0.937545625776612	0.0266982853607749	0.0353834125605594	0.000372676302054136	0
GO:0001726|[CC] ruffle	0.95850441764716	0.0256650792350192	4.22909355216619e-05	0.015788212182299	0
GO:0002098|[BP] tRNA wobble uridine modification	0.867230788715584	0.0917547935797663	0.0137212107805718	0.000253475887569298	0.0270397310365087
GO:0002100|[BP] tRNA wobble adenosine to inosine editing	0.779726733422848	0.118111798582273	0.0343540372879188	0.0678074307069608	0
GO:0002161|[MF] aminoacyl-tRNA editing activity	0.782709295509626	0.0559518504104299	0.0215902052176578	0.0192580565450311	0.120490592317255
GO:0002181|[BP] cytoplasmic translation	0.967534844078207	0.00324604505333643	0.00350476354699202	0.0257143473214648	0
GO:0002935|[MF] tRNA (adenine-C2-)-methyltransferase activity	0.900262515286211	0.0237850788988882	0.0203543249805798	0.0218607630989857	0.0337373177353355
GO:0002949|[BP] tRNA threonylcarbamoyladenosine modification	0.765036871725557	0.0981377046710084	0.0584483328162819	0.0508002389545139	0.0275768518326393
GO:0003676|[MF] nucleic acid binding	0.69678473999046	0.172750479435453	0.123970792303312	0.00649398827077393	0
GO:0003677|[MF] DNA binding	0.86437595954989	0.103523144451672	0.0305699129636508	0.00153098303478815	0
GO:0003678|[MF] DNA helicase activity	0.867957950266004	0.000161756636003541	0.0402187831634547	0.00313465656762809	0.0885268533669101
GO:0003682|[MF] chromatin binding	0.869466901256087	0.0779622080513264	0.0524209765758406	0.000149914116745892	0
GO:0003684|[MF] damaged DNA binding	0.857848582914377	0.0714970334990944	0.0411997737092123	0.00840764699313841	0.0210469628841776
GO:0003688|[MF] DNA replication origin binding	0.753816203839791	0.00876994149835258	0.0426966464328968	0.010507643556652	0.184209564672308
GO:0003690|[MF] double-stranded DNA binding	0.837183661985366	0.0770429971156462	0.00629168378188298	0.0223683801121202	0.0571132770049843
GO:0003697|[MF] single-stranded DNA binding	0.878529734757443	0.102346098637786	0.0166870467868183	4.87304695035481e-05	0.00238838934844897
GO:0003700|[MF] transcription factor activity, sequence-specific DNA binding	0.839631655651815	0.11583929327014	0.0444724872079619	5.65638700823391e-05	0
GO:0003712|[MF] transcription cofactor activity	0.924684914725075	0.0099230193590131	0.00024740108324547	0.065144664832666	0
GO:0003713|[MF] transcription coactivator activity	0.95784326206105	0.00401476959604113	0.0306581527366955	0.00748381560621295	0
GO:0003723|[MF] RNA binding	0.804733294366663	0.0622010189832847	0.068812914263361	0.00560648195121277	0.058646290435479
GO:0003724|[MF] RNA helicase activity	0.895373395808435	0.0528859223036383	0.0355302445228283	0.0162104373650986	0
GO:0003725|[MF] double-stranded RNA binding	0.697085566970799	0.219097300955496	0.0743774459516113	0.00943968612209333	0
GO:0003727|[MF] single-stranded RNA binding	0.839125945716187	0.0374520981964359	0.00601213552586522	0.117409820561512	0
GO:0003729|[MF] mRNA binding	0.897750450440091	0.059276564662304	0.0358226234364887	0.00715036146111593	0
GO:0003735|[MF] structural constituent of ribosome	0.851523864200144	0.00464817609096907	0.0201444071070513	5.87163681875274e-05	0.123624836233648
GO:0003743|[MF] translation initiation factor activity	0.724701438773488	0.000111577716229696	0.0487314513312448	0.0284254302056382	0.198030101973399
GO:0003746|[MF] translation elongation factor activity	0.696501451528839	0.106366716260306	0.146397034415166	0.0507347977956889	0
GO:0003747|[MF] translation release factor activity	0.716045652002054	0.0304152217449171	0.167372709802355	0.0861664164506745	0
GO:0003755|[MF] peptidyl-prolyl cis-trans isomerase activity	0.718579320529592	0.0864388102839915	0.114487665330231	0.0166569070743693	0.0638372967818162
GO:0003774|[MF] motor activity	0.760747786810497	0.15734742680255	0.0597180171014632	0.0221867692854898	0
GO:0003796|[MF] lysozyme activity	0.941431211944567	0.00147620326587896	0.010218432810761	0.0468741519787931	0
GO:0003824|[MF] catalytic activity	0.803647031127844	0.12896237084418	0.06280042308471	0.00459017494326588	0
GO:0003830|[MF] beta-1,4-mannosylglycoprotein 4-beta-N-acetylglucosaminyltransferase activity	0.819258907477301	0.0188455350662309	0.00139502691009252	0.160500530546376	0
GO:0003839|[MF] gamma-glutamylcyclotransferase activity	0.907556746664726	0.0163255784766236	0.0385060270907813	0.0376116477678692	0
GO:0003840|[MF] gamma-glutamyltransferase activity	0.984903593037646	0.0111986378959312	0.000366180506353358	0.00353158856006939	0
GO:0003841|[MF] 1-acylglycerol-3-phosphate O-acyltransferase activity	0.809970281717176	0.178999499039456	0.00440384663348936	0.000924601715852065	0.00570177089402605
GO:0003842|[MF] 1-pyrroline-5-carboxylate dehydrogenase activity	0.882350211650637	0.0151442699047529	0.044643932068924	0.0578615863756862	0
GO:0003844|[MF] 1,4-alpha-glucan branching enzyme activity	0.849213825328304	0.00824380024391321	0.00106869812389867	0.0192673078119449	0.122206368491939
GO:0003847|[MF] 1-alkyl-2-acetylglycerophosphocholine esterase activity	0.799663815575951	0.0603899872111886	0.134960586438135	0.00498561077472529	0
GO:0003848|[MF] 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase activity	0.683945915872985	0.125486199012177	0.180535661539208	0.01003222357563	0
GO:0003849|[MF] 3-deoxy-7-phosphoheptulonate synthase activity	0.802153350539156	0.010127669699172	0.0131229323344425	0.0469624976190656	0.127633549808163
GO:0003852|[MF] 2-isopropylmalate synthase activity	0.811982375546406	0.113164928787446	0.0325947047294929	0.0422579909366552	0
GO:0003855|[MF] 3-dehydroquinate dehydratase activity	0.70782374821814	0.182654606448583	0.0630618263056849	0.00348198950267011	0.0429778295249223
GO:0003856|[MF] 3-dehydroquinate synthase activity	0.777934822100418	0.155937113656905	0.0605608049154924	0.00556725932718507	0
GO:0003857|[MF] 3-hydroxyacyl-CoA dehydrogenase activity	0.886107750472784	0.082727274809705	0.00105709794746764	0.0301078767700435	0
GO:0003861|[MF] 3-isopropylmalate dehydratase activity	0.786548082663878	0.142467996043408	0.0337709398476021	0.0372129814451118	0
GO:0003862|[MF] 3-isopropylmalate dehydrogenase activity	0.774721024905795	0.099830888988832	0.0430416571659579	0.0824064289394148	0
GO:0003863|[MF] 3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring) activity	0.88100590043711	0.0657127139889641	0.042861714023703	0.0104196715502231	0
GO:0003864|[MF] 3-methyl-2-oxobutanoate hydroxymethyltransferase activity	0.68426313919109	0.00400500215481465	0.0763970112786208	0.235334847375474	0
GO:0003865|[MF] 3-oxo-5-alpha-steroid 4-dehydrogenase activity	0.805248151074574	0.120982116100816	0.00463838410825316	0.0691313487163571	0
GO:0003866|[MF] 3-phosphoshikimate 1-carboxyvinyltransferase activity	0.71718652870473	0.208531521455955	0.0742783387477228	3.61109159213312e-06	0
GO:0003871|[MF] 5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase activity	0.88932748034761	0.00915742091770349	0.0727299579731834	0.0287851407615027	0
GO:0003872|[MF] 6-phosphofructokinase activity	0.937183477235376	0.0152724672008605	0.0475368023862888	7.25317747482491e-06	0
GO:0003879|[MF] ATP phosphoribosyltransferase activity	0.721952128445677	0.163267876446232	0.0532263435606352	0.0615536515474553	0
GO:0003883|[MF] CTP synthase activity	0.755441796395618	0.041772891852674	0.133174069726654	0.0378638966333502	0.0317473453917039
GO:0003886|[MF] DNA (cytosine-5-)-methyltransferase activity	0.620451548869244	0.17852078327358	0.184913531951952	0.0161141359052234	0
GO:0003887|[MF] DNA-directed DNA polymerase activity	0.863901486332831	0.0978966838591034	0.037131362926555	0.00107046688151088	0
GO:0003896|[MF] DNA primase activity	0.929387508659732	0.0505592638604966	0.00323051986371975	0.00343194461202859	0.0133907630040227
GO:0003899|[MF] DNA-directed RNA polymerase activity	0.764520472403052	0.0170703030672584	0.000104963217785323	0.0504572034197667	0.167847057892138
GO:0003905|[MF] alkylbase DNA N-glycosylase activity	0.819282607338978	0.148519800275205	0.0279911577149661	0.0042064346708508	0
GO:0003906|[MF] DNA-(apurinic or apyrimidinic site) lyase activity	0.734022107603945	0.0247899082541651	0.145595022182043	6.73709041784875e-05	0.0955255910556677
GO:0003908|[MF] methylated-DNA-[protein]-cysteine S-methyltransferase activity	0.821560805895077	0.0787623031765719	0.00617666775949217	0.00302981059714812	0.0904704125717113
GO:0003910|[MF] DNA ligase (ATP) activity	0.700312307414334	0.128130001412374	0.073778509210038	0.0977791819632543	0
GO:0003911|[MF] DNA ligase (NAD+) activity	0.681990278215741	0.00175285337560516	0.0186462917261958	0.0315212058169385	0.266089370865519
GO:0003916|[MF] DNA topoisomerase activity	0.980846510451807	2.67948767634095e-07	0.019044475463252	0.000108746136173567	0
GO:0003917|[MF] DNA topoisomerase type I activity	0.849074800202954	0.0442560180142165	0.0313827598922481	0.0752864218905818	0
GO:0003918|[MF] DNA topoisomerase type II (ATP-hydrolyzing) activity	0.899921081074061	0.00871175560206949	0.00911636372249769	0.0226254880882617	0.0596253115131102
GO:0003919|[MF] FMN adenylyltransferase activity	0.879541810958274	0.0910755263982776	0.0293244350295129	5.82276139351619e-05	0
GO:0003920|[MF] GMP reductase activity	0.969528580908997	7.60285511671296e-06	0.0116367360837923	0.0188270801520942	0
GO:0003922|[MF] GMP synthase (glutamine-hydrolyzing) activity	0.979366952675172	0.00496708892034782	0.00730786896648337	0.00835808943799661	0
GO:0003924|[MF] GTPase activity	0.797877662006149	0.0315138912673182	0.00536793443957079	0.0718785237285609	0.0933619885584009
GO:0003934|[MF] GTP cyclohydrolase I activity	0.791551951349598	0.0405745134120531	0.122653964779013	0.0452195704593358	0
GO:0003935|[MF] GTP cyclohydrolase II activity	0.786801120750159	0.037623746900425	0.145445830065174	0.0301293022842428	0
GO:0003937|[MF] IMP cyclohydrolase activity	0.817987742041507	0.0778293610270999	0.0785697906098728	0.0256131063215202	0
GO:0003938|[MF] IMP dehydrogenase activity	0.9208492656121	0.0118464132072474	0.0535767731474356	0.0137275480332167	0
GO:0003941|[MF] L-serine ammonia-lyase activity	0.802073785423601	0.0475536776521762	0.131103611649782	0.0192689252744404	0
GO:0003942|[MF] N-acetyl-gamma-glutamyl-phosphate reductase activity	0.784711493904151	0.0251861326054831	0.109951951737595	0.080150421752771	0
GO:0003949|[MF] 1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase activity	0.547801763433444	0.319580376201749	0.13186752989976	0.000750330465045964	0
GO:0003950|[MF] NAD+ ADP-ribosyltransferase activity	0.746364063330926	0.14479851899265	0.104434562219601	0.00440285545682362	0
GO:0003951|[MF] NAD+ kinase activity	0.719586099170949	0.00253286091876266	0.0015028616778145	0.00721951354482573	0.269158664687648
GO:0003952|[MF] NAD+ synthase (glutamine-hydrolyzing) activity	0.752414577043884	0.0401094002121568	0.00566784597242685	0.014266457521764	0.187541719249768
GO:0003954|[MF] NADH dehydrogenase activity	0.978669472480648	0.00367185270059319	0.00576233184753075	0.011896342971228	0
GO:0003961|[MF] O-acetylhomoserine aminocarboxypropyltransferase activity	0.544261667059711	0.30090605624187	0.13041905863773	0.0244132180606899	0
GO:0003962|[MF] cystathionine gamma-synthase activity	0.91628694740777	0.00193474854263266	0.0122567081680565	0.0695215958815405	0
GO:0003964|[MF] RNA-directed DNA polymerase activity	0.829904250556137	0.087087487005583	0.0814322491974412	0.00157601324083872	0
GO:0003968|[MF] RNA-directed RNA polymerase activity	0.772334688067783	0.048050275471813	0.0391592973744747	0.140455739085929	0
GO:0003977|[MF] UDP-N-acetylglucosamine diphosphorylase activity	0.850049822840606	0.0674029189959051	0.00847627509532676	0.037084092002509	0.0369868910656531
GO:0003978|[MF] UDP-glucose 4-epimerase activity	0.91527354181213	0.0272914494685491	0.0145196080680344	0.0429154006512862	0
GO:0003979|[MF] UDP-glucose 6-dehydrogenase activity	0.836901242941749	0.0350784969554121	0.116143720800568	0.0118765393022705	0
GO:0003983|[MF] UTP:glucose-1-phosphate uridylyltransferase activity	0.77446889994116	0.1082839300359	0.107300293752757	0.00994687627018346	0
GO:0003984|[MF] acetolactate synthase activity	0.790117222368819	0.141218839225316	0.0683749031832244	0.000289035222640441	0
GO:0003985|[MF] acetyl-CoA C-acetyltransferase activity	0.865304129536797	0.124111834272805	0.00207742017610376	0.00850661601429428	0
GO:0003989|[MF] acetyl-CoA carboxylase activity	0.814193258245937	0.117822082688284	0.0634419118484914	0.000421585963062949	0.00412116125422486
GO:0003991|[MF] acetylglutamate kinase activity	0.792484764894379	0.100188178218524	0.102971259789222	0.00435579709787531	0
GO:0003992|[MF] N2-acetyl-L-ornithine:2-oxoglutarate 5-aminotransferase activity	0.788592820573702	0.0888584115116922	0.0773715114049281	0.0451772565096775	0
GO:0003993|[MF] acid phosphatase activity	0.885000715001031	0.048955380691622	0.0446390020599686	0.0214049022473787	0
GO:0003994|[MF] aconitate hydratase activity	0.852038343985205	0.0597045060047291	0.0276497042666924	0.060607445743374	0
GO:0003995|[MF] acyl-CoA dehydrogenase activity	0.858386532143204	0.0218970902095764	0.032133588809913	0.0875827888373062	0
GO:0003998|[MF] acylphosphatase activity	0.861794238092257	0.131322857506826	0.00329122166552816	0.00359168273538889	0
GO:0003999|[MF] adenine phosphoribosyltransferase activity	0.819668846328375	0.0517947883164853	0.0796808493246134	0.0488555160305262	0
GO:0004003|[MF] ATP-dependent DNA helicase activity	0.762410730854424	0.103959598082927	0.0475952793168529	0.00245732943688905	0.0835770623089067
GO:0004004|[MF] ATP-dependent RNA helicase activity	0.718491006969773	0.144021413786989	0.126995562876057	0.0104920163671805	0
GO:0004008|[MF] copper-exporting ATPase activity	0.943094421129745	0.0184124646973642	0.0129721478030187	0.0255209663698717	0
GO:0004013|[MF] adenosylhomocysteinase activity	0.869228723866149	0.00384623571444202	0.0123442687280253	0.0733590080751655	0.0412217636162183
GO:0004014|[MF] adenosylmethionine decarboxylase activity	0.904373417252209	0.015962374446562	0.012613134984858	0.057102691923113	0.0099483813932578
GO:0004015|[MF] adenosylmethionine-8-amino-7-oxononanoate transaminase activity	0.924259132005874	0.0163334737864335	0.0528094486243398	0.00659794558335278	0
GO:0004017|[MF] adenylate kinase activity	0.834666079986658	0.0279961827089463	0.0107360417261182	0.000195118692908012	0.126406576885369
GO:0004018|[MF] N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming) activity	0.754468281107587	0.0274096450899142	0.217914556170796	0.00020751763170229	0
GO:0004019|[MF] adenylosuccinate synthase activity	0.85043958916273	0.00459837798561614	0.0249531105037896	0.0283253136789968	0.0916836086688677
GO:0004020|[MF] adenylylsulfate kinase activity	0.979594766878955	0.000605853031142929	0.00186697626481686	0.00221264801093577	0.0157197558141492
GO:0004022|[MF] alcohol dehydrogenase (NAD) activity	0.919602251389501	0.0138459098082861	0.000936940317958294	0.0656148984842541	0
GO:0004026|[MF] alcohol O-acetyltransferase activity	0.906294266873537	0.0885146777901814	0.00419349523116083	0.000997560105120449	0
GO:0004030|[MF] aldehyde dehydrogenase [NAD(P)+] activity	0.782271011942776	0.155389982625143	0.0623257675025822	1.32379294983268e-05	0
GO:0004032|[MF] alditol:NADP+ 1-oxidoreductase activity	0.954556373500436	0.0144338671612547	0.0162571569026399	0.0147526024356691	0
GO:0004034|[MF] aldose 1-epimerase activity	0.713645282459066	0.0016292487540596	0.0484126540207675	0.17029396673894	0.0660188480271675
GO:0004038|[MF] allantoinase activity	0.920254679381254	0.00246520561326079	0.0506913268365158	0.0265887881689697	0
GO:0004040|[MF] amidase activity	0.877164257789235	0.0920163341203788	0.0276633617791726	0.00315604631121364	0
GO:0004042|[MF] acetyl-CoA:L-glutamate N-acetyltransferase activity	0.767313871012775	0.188863242928175	0.0389806470506637	0.00484223900838655	0
GO:0004044|[MF] amidophosphoribosyltransferase activity	0.817118578078397	0.0804847840368578	0.0587387848030163	0.00973849956085275	0.0339193535208761
GO:0004045|[MF] aminoacyl-tRNA hydrolase activity	0.800327742125457	0.000107099439294193	0.00976118639210318	0.112767965240084	0.077036006803061
GO:0004046|[MF] aminoacylase activity	0.87913775398928	0.108630798451556	0.00636181967136273	0.00586962788780127	1.6778847158735e-20
GO:0004047|[MF] aminomethyltransferase activity	0.750714287219635	0.0748100786780375	0.0480051187479225	0.126470515354405	0
GO:0004048|[MF] anthranilate phosphoribosyltransferase activity	0.845826310989609	0.00211713981542717	0.021508080126255	0.130548469068709	0
GO:0004049|[MF] anthranilate synthase activity	0.981905040562291	0.0014412045424	0.0166273255799243	2.6429315384853e-05	0
GO:0004053|[MF] arginase activity	0.523514313607578	0.341407967936363	0.0139716519140336	0.00658579513808704	0.114520271403939
GO:0004055|[MF] argininosuccinate synthase activity	0.815104038751483	0.131314501565494	0.0375358440845641	0.016045615598459	0
GO:0004056|[MF] argininosuccinate lyase activity	0.706414498757933	0.182508067645828	0.0966769897689661	0.0144004438272727	0
GO:0004057|[MF] arginyltransferase activity	0.887242371369727	0.0147395261749391	0.0423145451151303	0.0557035573402038	0
GO:0004061|[MF] arylformamidase activity	0.760782096861333	0.000707673524003394	0.0894812463554954	0.0860621867615625	0.0629667964976054
GO:0004065|[MF] arylsulfatase activity	0.831213462238735	0.000676645109151669	0.167720919512792	0.000388973139321531	0
GO:0004066|[MF] asparagine synthase (glutamine-hydrolyzing) activity	0.918882097739577	0.0546500052772906	0.0121422104264577	0.0143256865566745	0
GO:0004067|[MF] asparaginase activity	0.761896692048126	0.0012800631732747	0.104476122624311	0.132347122154288	1.49328010678771e-17
GO:0004068|[MF] aspartate 1-decarboxylase activity	0.718183910678274	0.0254303700526995	0.0733523323882239	0.183033386880803	0
GO:0004069|[MF] L-aspartate:2-oxoglutarate aminotransferase activity	0.879329002311641	0.077983075476976	0.0329248081311635	0.00976311408021955	0
GO:0004070|[MF] aspartate carbamoyltransferase activity	0.948273649314541	0.0303838381351154	0.0208068351538766	0.000535677396466687	9.09054432446913e-17
GO:0004071|[MF] aspartate-ammonia ligase activity	0.857476570526234	0.0698678089290252	0.000134167961365024	0.066324615335842	0.00619683724753383
GO:0004072|[MF] aspartate kinase activity	0.713059626978147	0.00341129062578845	0.182723338641772	0.00898860365801509	0.0918171400962774
GO:0004073|[MF] aspartate-semialdehyde dehydrogenase activity	0.796940441185246	0.000462296986092039	0.0517436171719344	0.150853644656727	0
GO:0004075|[MF] biotin carboxylase activity	0.793223244721345	0.0981179256689907	0.108509579355563	0.000149250254101435	0
GO:0004076|[MF] biotin synthase activity	0.754781636569453	0.160234207732208	0.0724460259114223	0.0125381297869166	0
GO:0004077|[MF] biotin-[acetyl-CoA-carboxylase] ligase activity	0.728765644512424	0.223225638610011	0.0479127498893322	9.59669882325056e-05	0
GO:0004084|[MF] branched-chain-amino-acid transaminase activity	0.862408141810126	0.0965471063811925	0.0227942135905293	0.0182505382181527	0
GO:0004085|[MF] butyryl-CoA dehydrogenase activity	0.827277490782833	0.0229261495565742	0.149057370553076	0.000738989107516774	0
GO:0004088|[MF] carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity	0.774469232915286	0.0365450733379351	0.165959428198242	0.00242843567386066	0.0205978298746764
GO:0004089|[MF] carbonate dehydratase activity	0.919205313817138	0.000218631743297574	0.0781468857670004	0.00242916867256412	0
GO:0004096|[MF] catalase activity	0.828418366268346	0.0227746430401476	0.147129691254019	0.00167729943748707	0
GO:0004106|[MF] chorismate mutase activity	0.731308087327386	0.234508932772548	0.0267485241769088	0.00743445572315803	0
GO:0004107|[MF] chorismate synthase activity	0.629151329550366	0.135009525332633	0.0984632543089119	0.0201915735233377	0.117184317284752
GO:0004109|[MF] coproporphyrinogen oxidase activity	0.848796218509425	0.104695499694763	0.00882400173398476	0.0376842800618269	0
GO:0004113|[MF] 2,3-cyclic-nucleotide 3-phosphodiesterase activity	0.874267351207801	0.0967384008245293	0.0284208068496402	0.000573441118029249	0
GO:0004115|[MF] 3,5-cyclic-AMP phosphodiesterase activity	0.824583179687729	0.000908864671003163	0.00921752488357778	0.16529043075769	0
GO:0004124|[MF] cysteine synthase activity	0.853944046201906	0.115625177241164	0.0163810916252447	0.0140496849316857	0
GO:0004125|[MF] L-seryl-tRNASec selenium transferase activity	0.888207300151646	0.00454503955819287	0.067906768674138	0.0373726066471076	0.00196828496891595
GO:0004126|[MF] cytidine deaminase activity	0.890787552376363	0.067923093001443	0.0220873776558664	0.0192019769663273	0
GO:0004127|[MF] cytidylate kinase activity	0.843246086221437	0.0269020181632923	0.062227749002317	0.022791482978604	0.0448326636343495
GO:0004129|[MF] cytochrome-c oxidase activity	0.745064983050101	0.127396859650975	0.115497424330961	0.0120407329679624	0
GO:0004130|[MF] cytochrome-c peroxidase activity	0.862488323260125	0.00152510829319328	0.0989794232782282	0.0370071451684536	0
GO:0004132|[MF] dCMP deaminase activity	0.784345201631484	0.0215780811101177	0.00864058580228356	0.166556197904025	0.01887993355209
GO:0004133|[MF] glycogen debranching enzyme activity	0.896470195736546	0.0703592558876677	0.00377920629427605	0.0293913420815105	0
