Residuals	number_of_pups_scaled	genotype	weight_grams_scaled	lipocalin2_pg_ml_scaled
1.1.1.292-RXN|(expasy) 1,5-anhydro-D-fructose reductase (1,5-anhydro-D-mannitol-forming) [1.1.1.292]	0.698147771875162	0.199926665242521	0.0346819526723587	0.0329949160076555	0.0342486942023024
1.1.1.39-RXN|(expasy) Malate dehydrogenase (oxaloacetate-decarboxylating) [1.1.1.38]	0.912879762561892	0.0627841934780514	0	0.00120803678977625	0.0231280071702806
1.1.99.28-RXN|(expasy) Glucose-fructose oxidoreductase [1.1.99.28]	0.801406901934683	0.0401613191595691	0.1365999163085	0.000348358273435675	0.021483504323812
1.12.1.3-RXN|(expasy) Hydrogen dehydrogenase (NADP(+)) [1.12.1.3]	0.546605730162262	0.0258196316785353	0.237581370451709	0.0142977629032266	0.175695504804267
1.15.1.2-RXN|(expasy) Superoxide reductase [1.15.1.2]	0.402366091679049	0.0241323987639914	0.357784191216529	0.0150843866880923	0.200632931652338
1.17.4.2-RXN|(expasy) Ribonucleoside-triphosphate reductase (thioredoxin) [1.17.4.2]	0.899352686068056	0.0046670298133126	0	4.42439879982487e-06	0.0959758597198315
1.18.1.2-RXN|(expasy) Ferredoxin--NADP(+) reductase [1.18.1.2]	0.855792703973852	0.116468717037785	0.00961193899217451	0.0050820305377359	0.0130446094584519
1.2.1.27-RXN|(expasy) Methylmalonate-semialdehyde dehydrogenase (CoA acylating) [1.2.1.27]	0.822241963973316	0.019990552091751	0.118690099957991	0.00649300553751576	0.0325843784394264
1.2.1.66-RXN|(expasy) S-(hydroxymethyl)mycothiol dehydrogenase [1.1.1.306]	0.968162865923085	0.0176852510927329	0	0.0141495654997388	2.31748444316762e-06
1.2.3.3-RXN|(expasy) Pyruvate oxidase [1.2.3.3]	0.846954375647124	0.0784806545775024	0	0.0615822737507204	0.0129826960246531
1.2.4.4-RXN|(expasy) 3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring) [1.2.4.4]	0.912825437731697	0.0294451877829374	0	0.0329649491432097	0.0247644253421556
1.2.7.4-RXN|(expasy) Anaerobic carbon-monoxide dehydrogenase [1.2.7.4]	0.862772403655504	0.00899282754001283	0.105013870985965	0.0193375869277742	0.00388331089074417
1.2.7.5-RXN|(expasy) Aldehyde ferredoxin oxidoreductase [1.2.7.5]	0.884306955264992	0.037912017971703	0	0.032817183614656	0.0449638431486495
1.2.7.7-RXN|(expasy) 3-methyl-2-oxobutanoate dehydrogenase (ferredoxin) [1.2.7.7]	0.776175686274362	0.145225317418656	0	0.0783308758718297	0.000268120435152007
1.2.7.8-RXN|(expasy) Indolepyruvate ferredoxin oxidoreductase [1.2.7.8]	0.943874538010715	0.041203471661916	0	0.00937054201529654	0.00555144831207247
1.2.99.7-RXN|(expasy) Aldehyde dehydrogenase (FAD-independent) [1.2.99.7]	0.957049118576477	0.0332692995988217	0	5.64486466934982e-05	0.00962513317800808
1.21.4.1-RXN|(expasy) D-proline reductase [1.21.4.1]	0.908883086964191	0.0031510825181269	0	0.0744512781773038	0.0135145523403781
1.21.4.3-RXN|(expasy) Sarcosine reductase [1.21.4.3]	0.971690638777053	0.02429713907924	0	0.00315877066997925	0.000853451473727693
1.21.4.4-RXN|(expasy) Betaine reductase [1.21.4.4]	0.951038753395774	0.0486920861661822	0	3.26987462583566e-05	0.000236461691785887
1.3.1.2-RXN|(expasy) Dihydropyrimidine dehydrogenase (NADP(+)) [1.3.1.2]	0.905151134188921	0.0805975876095284	0	0.0115376011968299	0.00271367700472054
1.3.1.54-RXN|(expasy) Precorrin-6A reductase [1.3.1.54]	0.880408549277772	0.0915023156818449	0	0.0063638411697856	0.021725293870598
1.3.99.15-RXN|(expasy) Benzoyl-CoA reductase [1.3.7.8]	0.969477338491916	0.000620634070236263	0	0.0298996873043521	2.34013349583334e-06
1.4.1.11-RXN|(expasy) L-erythro-3,5-diaminohexanoate dehydrogenase [1.4.1.11]	0.954318895932774	0.0232504068142026	0	0.0078223871426495	0.0146083101103735
1.4.1.21-RXN|(expasy) Aspartate dehydrogenase [1.4.1.21]	0.988121178273427	0.00667255365565709	0	0.00517911779795248	2.71502729631917e-05
1.4.3.19-RXN|(expasy) AMBIGUOUS [1.4.3.19; 1.4.3.3]	0.442527147497639	0.0773715089288751	0.214331499555403	0.00493170920523457	0.260838134812848
1.5.1.20-RXN|(expasy) Methylenetetrahydrofolate reductase (NAD(P)H) [1.5.1.20]	0.6582248527186	0.0293037914915981	0.289608184924686	0.00847343759307377	0.0143897332720426
1.5.1.7-RXN|(expasy) Saccharopine dehydrogenase (NAD(+), L-lysine-forming) [1.5.1.7]	0.850838960998641	0.106506210946664	0	0.0261778598864865	0.0164769681682085
1.6.4.4-RXN|(expasy) Protein-disulfide reductase [1.8.1.8]	0.890702432399486	0.0547933575770666	0	0.044991142053998	0.00951306796944939
1.7.2.2-RXN|(expasy) Nitrite reductase (cytochrome; ammonia-forming) [1.7.2.2]	0.93693246251604	0.0183030225037079	0	0.0232957744611783	0.0214687405190738
1.7.2.3-RXN|(expasy) Trimethylamine-N-oxide reductase [1.7.2.3]	0.84810522473927	0.113881913544786	0	0.0011090846819679	0.0369037770339764
1.8.1.4-RXN|(expasy) Dihydrolipoyl dehydrogenase [1.8.1.4]	0.885742187874554	0.0223277141908805	0	0.0918038274670155	0.000126270467549819
1.8.4.12-RXN|(expasy) Peptide-methionine (R)-S-oxide reductase [1.8.4.12]	0.866363405099196	0.0696229649180084	0.0489109516002799	0.0108901385975756	0.00421253978494033
1.8.4.14-RXN|(expasy) L-methionine (R)-S-oxide reductase [1.8.4.14]	0.61583507681443	0.0113554458217192	0	0.241287168294896	0.131522309068955
1.8.4.8-RXN|(expasy) Phosphoadenylyl-sulfate reductase (thioredoxin) [1.8.4.8]	0.904645521557756	0.0242345693518011	0	0.0468591253688617	0.0242607837215808
1.8.98.1-RXN|(expasy) Dihydromethanophenazine:CoB--CoM heterodisulfide reductase [1.8.98.1]	0.747188742385178	0.207860889076504	0	0.0137187326507921	0.031231635887526
13-PROPANEDIOL-DEHYDROGENASE-RXN|(expasy) 1,3-propanediol dehydrogenase [1.1.1.202]	0.919553545615145	0.0708216806549442	0	0.00462849035029195	0.00499628337961888
1PFRUCTPHOSN-RXN|(expasy) 1-phosphofructokinase [2.7.1.56]	0.907198208784865	0.0579273444971933	0	0.0302247619634684	0.00464968475447284
1TRANSKETO-RXN|(expasy) Transketolase [2.2.1.1]	0.748636656767212	0.178368947795167	0	0.00682630447994343	0.0661680909576775
2-AMINOADIPATE-AMINOTRANSFERASE-RXN|(expasy) 2-aminoadipate transaminase [2.6.1.39]	0.988099613555895	0.00269393979367652	0	0.00412692808743101	0.00507951856299734
2-DEHYDROPANTOATE-REDUCT-RXN|(expasy) 2-dehydropantoate 2-reductase [1.1.1.169]	0.85339528542086	0.0872892412865975	0	0.0319568467147219	0.0273586265778202
2-ISOPROPYLMALATESYN-RXN|(expasy) 2-isopropylmalate synthase [2.3.3.13]	0.875047918136298	0.06280963819768	0	0.0202291964279346	0.0419132472380874
2-METHYLCITRATE-DEHYDRATASE-RXN|(expasy) 2-methylcitrate dehydratase [4.2.1.79]	0.824684005813105	0.054884812107186	0.103887348778423	0.00297612172084482	0.0135677115804409
2-METHYLCITRATE-SYNTHASE-RXN|(expasy) 2-methylcitrate synthase [2.3.3.5]	0.870504502601479	0.0569400000554066	0	0.00505532720357727	0.0675001701395367
2-NITROPROPANE-DIOXYGENASE-RXN|(expasy) Nitronate monooxygenase [1.13.12.16]	0.416932379145359	0.00278311217794873	0.35494869572487	0.0446523269369733	0.180683486014848
2-OCTAPRENYL-METHOXY-BENZOQ-METH-RXN|(expasy) 2-methoxy-6-polyprenyl-1,4-benzoquinol methylase [2.1.1.201]	0.571156503216242	0.0548216735999892	0.226323065968041	0.00152242535730804	0.14617633185842
2-OXOBUTYRATE-SYNTHASE-RXN|(expasy) 3-methyl-2-oxobutanoate dehydrogenase (ferredoxin) [1.2.7.7]	0.776175686274362	0.145225317418656	0	0.0783308758718297	0.000268120435152007
2-OXOGLUTARATE-SYNTHASE-RXN|(expasy) 2-oxoglutarate synthase [1.2.7.3]	0.942833372888868	0.0325151854243086	0.0154313686959727	0.00526094945858342	0.00395912353226733
2.1.1.130-RXN|(expasy) Precorrin-2 C(20)-methyltransferase [2.1.1.130]	0.767813230917281	0.109705610939359	0	0.0067692326910291	0.115711925452331
2.1.1.131-RXN|(expasy) Precorrin-3B C(17)-methyltransferase [2.1.1.131]	0.977898537339381	0.0056383970010346	0	1.91834678860489e-05	0.0164438821916984
2.1.1.133-RXN|(expasy) Precorrin-4 C(11)-methyltransferase [2.1.1.133]	0.747634243249703	0.00394474280019877	0.205494509081412	0.036486142248789	0.00644036261989749
2.1.1.34-RXN|(expasy) tRNA (guanosine(18)-2-O)-methyltransferase [2.1.1.34]	0.974433763040683	0.00784571926984155	0	0.0139118005021729	0.00380871718730292
2.1.1.63-RXN|(expasy) Methylated-DNA--[protein]-cysteine S-methyltransferase [2.1.1.63]	0.728785687076274	0.241497683425292	0	0.0167869067025228	0.0129297227959114
2.1.1.64-RXN|(expasy) 3-demethylubiquinol 3-O-methyltransferase [2.1.1.64]	0.40488206910958	0.0286739221692654	0.349002084251987	0.00792446774980867	0.209517456719358
2.1.1.72-RXN|(expasy) Site-specific DNA-methyltransferase (adenine-specific) [2.1.1.72]	0.658745913968076	0.164408598972364	0.0505439571717108	0.00860718467810754	0.117694345209742
2.1.1.74-RXN|(expasy) (NAD(P)H-oxidizing) [2.1.1.74]	0.813770293496438	0.119063905885845	0.0521486996033459	0.00332806109615393	0.0116890399182173
2.1.1.77-RXN|(expasy) Protein-L-isoaspartate(D-aspartate) O-methyltransferase [2.1.1.77]	0.974468886264873	0.00693139978459241	0	0.00274713763968681	0.015852576310848
2.1.1.79-RXN|(expasy) Cyclopropane-fatty-acyl-phospholipid synthase [2.1.1.79]	0.91669463663699	0.0728319776121961	0	0.00226432546749314	0.00820906028332057
2.1.3.1-RXN|(expasy) Methylmalonyl-CoA carboxytransferase [2.1.3.1]	0.959693771324304	0.0234670178955955	0	0.0142447263448468	0.00259448443525412
2.1.3.9-RXN|(expasy) N-acetylornithine carbamoyltransferase [2.1.3.9]	0.783048930086332	0.122547229019593	0	0.0733369383420856	0.0210669025519903
2.3.1.128-RXN|(expasy) [Ribosomal protein S18]-alanine N-acetyltransferase [2.3.1.266]	0.935510010071785	0.00226197319175968	0	0.0539662385445419	0.00826177819191383
2.3.1.157-RXN|(expasy) Glucosamine-1-phosphate N-acetyltransferase [2.3.1.157]	0.867750730960882	0.0763848628873125	0.0311711685569691	0.00941421548969199	0.0152790221051447
2.3.1.179-RXN|(expasy) Beta-ketoacyl-[acyl-carrier-protein] synthase II [2.3.1.179]	0.559487541297711	0.362955648694048	0	0.057907150275725	0.0196496597325157
2.3.1.180-RXN|(expasy) Beta-ketoacyl-[acyl-carrier-protein] synthase III [2.3.1.180]	0.85804679757114	0.0436948921268382	0	0.0978362786168936	0.000422031685128365
2.3.1.89-RXN|(expasy) Tetrahydrodipicolinate N-acetyltransferase [2.3.1.89]	0.878904474419963	0.0989720944817005	0	0.0192833917715644	0.00284003932677158
2.4.1.109-RXN|(expasy) Dolichyl-phosphate-mannose--protein mannosyltransferase [2.4.1.109]	0.894793339821223	0.0443504820262553	0.0384980894439677	0.000545674371150088	0.021812414337404
2.4.1.129-RXN|(expasy) Peptidoglycan glycosyltransferase [2.4.1.129]	0.982429464253085	0.000803616026692786	0	0.00826421973030034	0.00850269998992147
2.4.1.211-RXN|(expasy) 1,3-beta-galactosyl-N-acetylhexosamine phosphorylase [2.4.1.211]	0.812816669167402	0.0333775284094533	0.137815690785929	0.00309005308379379	0.0129000585534218
2.4.1.212-RXN|(expasy) Hyaluronan synthase [2.4.1.212]	0.675439564187237	0.202190224420238	0	0.0655669828157909	0.0568032285767344
2.4.1.230-RXN|(expasy) Kojibiose phosphorylase [2.4.1.230]	0.940596487787315	0.00199910214870276	0	0.051364931519174	0.00603947854480877
2.4.1.54-RXN|(expasy) Undecaprenyl-phosphate mannosyltransferase [2.4.1.54]	0.995203892567411	0.00295374630939811	0	3.65290377414126e-09	0.00184235747028677
2.4.1.83-RXN|(expasy) Dolichyl-phosphate beta-D-mannosyltransferase [2.4.1.83]	0.774888524133104	0.00615336624949682	0	0.142091579238356	0.0768665303790426
2.5.1.19-RXN|(expasy) 3-phosphoshikimate 1-carboxyvinyltransferase [2.5.1.19]	0.615956649034707	0.153751148368776	0	0.180719077385499	0.0495731252110177
2.5.1.64-RXN|(expasy) synthase [2.2.1.9]	0.8078598689071	0.0599913511475288	0	0.131325199954746	0.000823579990624412
2.6.1.33-RXN|(expasy) dTDP-4-amino-4,6-dideoxy-D-glucose transaminase [2.6.1.33]	0.6739029244499	0.237695596752176	0.00873192790124914	0.0161171046073478	0.0635524462893261
2.6.1.37-RXN|(metacyc) phosphonoacetaldehyde transaminase [2.6.1.37]	0.925500476311588	0.0553467521665849	0	0.0165727633041085	0.00258000821771883
2.7.1.121-RXN|(expasy) Phosphoenolpyruvate--glycerone phosphotransferase [2.7.1.121]	0.979286314520472	0.00543802376513532	0	0.0105749178046343	0.00470074390975798
2.7.1.148-RXN|(expasy) 4-(cytidine 5-diphospho)-2-C-methyl-D-erythritol kinase [2.7.1.148]	0.899289506178469	0.00207942023311782	0	0.079689510479496	0.0189415631089174
2.7.1.156-RXN|(expasy) Adenosylcobinamide kinase [2.7.1.156]	0.794567057490056	0.00909349321391956	0.180800382559325	0.00786008402087215	0.00767898271582723
2.7.1.90-RXN|(expasy) Diphosphate--fructose-6-phosphate 1-phosphotransferase [2.7.1.90]	0.841610378149326	0.127816717323154	0	0.00380379459138938	0.0267691099361306
2.7.10.1-RXN|(expasy) AMBIGUOUS [2.7.10.1; 2.7.10.2; 2.7.12.1]	0.999094460181447	1.018907822056e-05	0	0.000745708849743815	0.000149641890588694
2.7.13.3-RXN|(expasy) Histidine kinase [2.7.13.3]	0.830327065344639	0.0756556261739248	0.0385558079583605	0.0468683886415827	0.00859311188149291
2.7.3.9-RXN|(expasy) Phosphoenolpyruvate--protein phosphotransferase [2.7.3.9]	0.76640603220838	0.133767636924635	0	0.0607767392361384	0.0390495916308469
2.7.7.13-RXN|(expasy) Mannose-1-phosphate guanylyltransferase [2.7.7.13]	0.924638622935975	0.0354149442497262	0	0.0190811701348553	0.0208652626794435
2.7.7.33-RXN|(expasy) Glucose-1-phosphate cytidylyltransferase [2.7.7.33]	0.989344465134187	0.00137577197204967	0	0.00126220675866707	0.00801755613509652
2.7.7.39-RXN|(expasy) Glycerol-3-phosphate cytidylyltransferase [2.7.7.39]	0.923448289745474	0.0711755928835027	0	9.90609379413501e-05	0.00527705643308238
2.7.7.40-RXN|(expasy) D-ribitol-5-phosphate cytidylyltransferase [2.7.7.40]	0.602354107492677	0.056282525775567	0.33723727513308	0.00389988998663271	0.000226201612042945
2.7.7.60-RXN|(expasy) 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase [2.7.7.60]	0.792067889168851	0.0973853256764881	0	0.10410807113349	0.00643871402117057
2.7.7.8-RXN|(expasy) Polyribonucleotide nucleotidyltransferase [2.7.7.8]	0.724039727353172	0.192907383466694	0	0.0793581307816063	0.00369475839852849
2.7.8.25-RXN|(expasy) Triphosphoribosyl-dephospho-CoA synthase [2.4.2.52]	0.879079321476207	0.0881927071822927	0	0.0083970071407738	0.0243309642007264
2.7.8.6-RXN|(expasy) Undecaprenyl-phosphate galactose phosphotransferase [2.7.8.6]	0.98573038374641	0.00305419311225895	0	0.00029953753535284	0.0109158856059783
2.7.9.3-RXN|(expasy) Selenide, water dikinase [2.7.9.3]	0.847173850892223	0.00513808768644962	0	0.0980766036789198	0.0496114577424076
2.8.1.6-RXN|(expasy) Biotin synthase [2.8.1.6]	0.551472245043773	0.075075280466521	0	0.270684596392638	0.102767878097068
2.8.3.10-RXN|(expasy) Citrate CoA-transferase [2.8.3.10]	0.911995556297078	0.0859346497926004	0	7.07222708415941e-05	0.00199907163947969
2.8.3.9-RXN|(expasy) Butyrate--acetoacetate CoA-transferase [2.8.3.9]	0.971809472346959	0.0125327391188637	0	0.00760368411630087	0.00805410441787634
2.9.1.1-RXN|(expasy) L-seryl-tRNA(Sec) selenium transferase [2.9.1.1]	0.871032611906344	0.00163400967447061	0	0.0452094560188161	0.0821239224003698
23-DIMETHYLMALATE-LYASE-RXN|(expasy) 2,3-dimethylmalate lyase [4.1.3.32]	0.83219441682914	0.149431033546293	0	0.0183618053836888	1.27442408788148e-05
2PGADEHYDRAT-RXN|(expasy) Phosphopyruvate hydratase [4.2.1.11]	0.87536108329496	0.000314512492478187	0.0987867052839504	0.00170970741471918	0.0238279915138919
2TRANSKETO-RXN|(expasy) Transketolase [2.2.1.1]	0.748636656767212	0.178368947795167	0	0.00682630447994343	0.0661680909576775
3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-RXN|(expasy) 3-methyl-2-oxobutanoate hydroxymethyltransferase [2.1.2.11]	0.733634807418344	0.148311662796721	0	0.105873317371169	0.0121802124137656
3-DEHYDRO-L-GULONATE-2-DEHYDROGENASE-RXN|(expasy) 3-dehydro-L-gulonate 2-dehydrogenase [1.1.1.130]	0.601445637784685	0.113582703353152	0.246618360054652	0.0334991581036298	0.00485414070388086
3-DEHYDROQUINATE-DEHYDRATASE-RXN|(expasy) 3-dehydroquinate dehydratase [4.2.1.10]	0.849091607252596	0.058651084325901	0	0.0880892672709522	0.0041680411505512
3-DEHYDROQUINATE-SYNTHASE-RXN|(expasy) 3-dehydroquinate synthase [4.2.3.4]	0.880878541278446	0.048374063293062	0	0.0474466424165956	0.0233007530118959
3-HYDROXBUTYRYL-COA-DEHYDRATASE-RXN|(expasy) 3-hydroxybutyryl-CoA dehydratase [4.2.1.55]	0.904988571188349	0.00112223563279175	0	0.0250311925517555	0.0688580006271042
3-HYDROXYBUTYRYL-COA-DEHYDROGENASE-RXN|(expasy) 3-hydroxybutyryl-CoA dehydrogenase [1.1.1.157]	0.757878887589061	0.180475623554443	0	0.047072303377687	0.0145731854788083
3-HYDROXYDECANOYL-ACP-DEHYDR-RXN|(expasy) 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [4.2.1.59]	0.791010467132105	0.0620081222469056	0	0.146117594812628	0.000863815808361001
3-HYDROXYISOBUTYRATE-DEHYDROGENASE-RXN|(expasy) 3-hydroxyisobutyrate dehydrogenase [1.1.1.31]	0.857241967885213	0.00130208075372633	0	0.0997968037786557	0.0416591475824045
3-OXOACYL-ACP-REDUCT-RXN|(expasy) 3-oxoacyl-[acyl-carrier-protein] reductase [1.1.1.100]	0.95400046789693	0.0458444842903026	0	0.000120117665539292	3.49301472275384e-05
3-OXOACYL-ACP-SYNTH-BASE-RXN|(expasy) AMBIGUOUS [2.3.1.179; 2.3.1.41]	0.559487541297711	0.362955648694048	0	0.057907150275725	0.0196496597325157
3-OXOADIPATE-ENOL-LACTONASE-RXN|(expasy) 3-oxoadipate enol-lactonase [3.1.1.24]	0.985682485748276	0.000409423511384383	0	0.0135978604908642	0.000310230249475976
3.1.1.47-RXN|(expasy) 1-alkyl-2-acetylglycerophosphocholine esterase [3.1.1.47]	0.779357124659053	0.0031035593474748	0	0.14732102940671	0.0702182865867625
3.1.1.64-RXN|(metacyc) all-trans-retinyl-palmitate hydrolase [3.1.1.1]	0.903015185263754	0.0754793869547184	0	0.0063917722709482	0.0151136555105797
3.1.1.72-RXN|(expasy) Acetylxylan esterase [3.1.1.72]	0.812402508611085	0.139722310895592	0	0.0167963019410085	0.0310788785523147
3.1.11.2-RXN|(expasy) Exodeoxyribonuclease III [3.1.11.2]	0.831465324104246	0.127661947592167	0	0.0349755636433827	0.00589716466020406
3.1.11.6-RXN|(expasy) Exodeoxyribonuclease VII [3.1.11.6]	0.955843001976139	0.0317224304331998	0	8.03952464000902e-05	0.012354172344261
3.1.13.1-RXN|(expasy) Exoribonuclease II [3.1.13.1]	0.945224248535652	0.0522076733898517	0	0.00142476612659686	0.00114331194789974
3.1.13.5-RXN|(expasy) Ribonuclease D [3.1.13.5]	0.885609313993964	0.0308521482884008	0	0.0783915641292783	0.00514697358835713
3.1.21.2-RXN|(expasy) Deoxyribonuclease IV [3.1.21.2]	0.801063476858385	0.0510465468147034	0	0.147462509974391	0.000427466352520878
3.1.21.3-RXN|(expasy) Type I site-specific deoxyribonuclease [3.1.21.3]	0.92241474973977	0.052350954515347	0	0.0236509028818169	0.00158339286306628
3.1.21.4-RXN|(expasy) Type II site-specific deoxyribonuclease [3.1.21.4]	0.79537407582524	0.0119124701393892	0	0.100210852736137	0.0925026012992343
3.1.21.5-RXN|(expasy) Type III site-specific deoxyribonuclease [3.1.21.5]	0.728340648678346	0.0178562929891738	0.109202760777419	0.122550509471907	0.0220497880831548
3.1.21.7-RXN|(expasy) Deoxyribonuclease V [3.1.21.7]	0.920115981825742	0.0659852469518578	0	0.00960402030900191	0.0042947509133988
3.1.26.11-RXN|(expasy) Ribonuclease Z [3.1.26.11]	0.883643174796414	0.105334001300714	0	0.000218550279206401	0.0108042736236654
3.1.26.12-RXN|(expasy) Ribonuclease E [3.1.26.12]	0.537766065614112	0.00457819346185264	0.155064221935915	0.0168332539789605	0.28575826500916
3.1.26.3-RXN|(expasy) Ribonuclease III [3.1.26.3]	0.830136824848329	0.119517706053523	0	0.0436800969644003	0.00666537213374818
3.1.26.4-RXN|(expasy) Ribonuclease H [3.1.26.4]	0.929582441941643	0.0516743431883323	0	0.013554305502571	0.00518890936745385
3.1.26.5-RXN|(expasy) Ribonuclease P [3.1.26.5]	0.813097984903717	0.141096106647727	0	1.41058969755311e-06	0.0458044978588592
3.1.26.8-RXN|(expasy) Ribonuclease M5 [3.1.26.8]	0.873037803880575	0.112837442405789	0	0.0117854999694627	0.00233925374417345
3.1.3.16-RXN|(expasy) Protein-serine/threonine phosphatase [3.1.3.16]	0.564002483756607	0.0729778582653808	0.245344836917565	0.0171124845236431	0.100562336536804
3.1.4.1-RXN|(expasy) Phosphodiesterase I [3.1.4.1]	0.936718961823923	0.0507440262945766	0	0.00371891671673163	0.00881809516476839
3.11.1.3-RXN|(expasy) Phosphonopyruvate hydrolase [3.11.1.3]	0.639394113312598	0.00016274799222817	0.255632835640439	0.0146950812151547	0.0901152218395807
3.2.1.1-RXN|(expasy) Alpha-amylase [3.2.1.1]	0.892903198122194	0.0657992081312142	0	0.0320739895660816	0.00922360418051036
3.2.1.10-RXN|(expasy) Oligo-1,6-glucosidase [3.2.1.10]	0.850692650321388	0.112355503536349	0	0.028551994722778	0.00839985141948484
3.2.1.131-RXN|(expasy) Xylan alpha-1,2-glucuronosidase [3.2.1.131]	0.977156038640718	0.0101596887206061	0	0.0108761699019878	0.00180810273668846
3.2.1.135-RXN|(expasy) Neopullulanase [3.2.1.135]	0.850683699879867	0.10474114479266	0	0.0348826634143837	0.00969249191308894
3.2.1.14-RXN|(expasy) Chitinase [3.2.1.14]	0.743097131937079	0.0178560200622258	0.231195325003037	0.00384816825321642	0.00400335474444181
3.2.1.141-RXN|(expasy) 4-alpha-D-((1->4)-alpha-D-glucano)trehalose trehalohydrolase [3.2.1.141]	0.840121261338619	0.0831574794269825	0.0278191516053779	0.0482402429263812	0.000661864702639776
3.2.1.156-RXN|(expasy) Oligosaccharide reducing-end xylanase [3.2.1.156]	0.952153596534713	0.0139474276865394	0	0.0226443013438077	0.01125467443494
3.2.1.165-RXN|(expasy) Exo-1,4-beta-D-glucosaminidase [3.2.1.165]	0.880882106104867	0.0191463162926742	0	0.000248299698927763	0.099723277903531
3.2.1.17-RXN|(expasy) Lysozyme [3.2.1.17]	0.704968424336367	0.0183692691689132	0.176138155517843	0.0601126421562077	0.0404115088206694
3.2.1.18-RXN|(expasy) Exo-alpha-sialidase [3.2.1.18]	0.81707640849543	0.0317346101623728	0.0945869602520152	0.0480663675398397	0.00853565355034179
3.2.1.21-RXN|(expasy) Beta-glucosidase [3.2.1.21]	0.952769783935756	4.91165959253681e-05	0	0.000272478036853451	0.0469086214314651
3.2.1.23-RXN|(expasy) Beta-galactosidase [3.2.1.23]	0.940675480692012	0.0123885965307776	0	0.012608329315331	0.034327593461879
3.2.1.25-RXN|(expasy) Beta-mannosidase [3.2.1.25]	0.960763815692413	0.0216892561260745	0	0.00659499245752347	0.0109519357239893
3.2.1.3-RXN|(expasy) Glucan 1,4-alpha-glucosidase [3.2.1.3]	0.957616230598981	0.000821480244678445	0	0.0211850034765196	0.0203772856798204
3.2.1.37-RXN|(expasy) Xylan 1,4-beta-xylosidase [3.2.1.37]	0.771747803538662	0.134768294757032	0.0676567353680899	0.0165922097099963	0.00923495662622012
3.2.1.40-RXN|(expasy) Alpha-L-rhamnosidase [3.2.1.40]	0.668205411746803	0.00461265828579028	0.318244223792261	0.00694593837331044	0.00199176780183501
3.2.1.49-RXN|(expasy) Alpha-N-acetylgalactosaminidase [3.2.1.49]	0.984556806925594	0.000268473502982991	0	0.0130589638040517	0.00211575576737103
3.2.1.50-RXN|(expasy) Alpha-N-acetylglucosaminidase [3.2.1.50]	0.868947585165985	0.07650735081344	0.0131515911888145	0.0413649477996262	2.85250321338736e-05
3.2.1.52-RXN|(expasy) Beta-N-acetylhexosaminidase [3.2.1.52]	0.672038467966975	0.199748957382892	0	0.0335711405357507	0.0946414341143821
3.2.1.55-RXN|(expasy) Non-reducing end alpha-L-arabinofuranosidase [3.2.1.55]	0.793805331062516	0.187475015394754	0	0.0120300815732694	0.00668957196946096
3.2.1.70-RXN|(expasy) Glucan 1,6-alpha-glucosidase [3.2.1.70]	0.826180095615378	0.143241923883741	0	0.0268082913233101	0.00376968917757128
3.2.1.73-RXN|(expasy) Licheninase [3.2.1.73]	0.793188617041778	0.0905527588028509	0	0.0123153665327862	0.103943257622585
