Residuals	number_of_pups_scaled	lipocalin2_pg_ml_scaled	genotype	weight_grams_scaled
COLANSYN-PWY|colanic acid building blocks biosynthesis	0.937074242144076	0.0617785751234034	0.00114676899832098	0	4.13734199421543e-07
COMPLETE-ARO-PWY|superpathway of aromatic amino acid biosynthesis	0.979238436479157	0.00587102098019863	0.00830280275321557	0.00652375085680433	6.39889306239699e-05
DAPLYSINESYN-PWY|L-lysine biosynthesis I	0.976414382866469	0.0163914757889319	0.00352567816307621	0	0.00366846318152275
DTDPRHAMSYN-PWY|dTDP-&beta;-L-rhamnose biosynthesis	0.890293058885926	0.0178212014505657	0.0918506525968967	0	3.50870666115539e-05
FERMENTATION-PWY|mixed acid fermentation	0.455399307975746	0.0534577168981597	0.0135568112132503	0.409520808489206	0.0680653554236382
FUCCAT-PWY|fucose degradation	0.795041387804623	0.000498006989104057	0.167754703528912	0	0.0367059016773603
GALACT-GLUCUROCAT-PWY|superpathway of hexuronide and hexuronate degradation	0.638145226976473	0.114556682148192	0.00131476044340796	0.189573381983051	0.0564099484488758
GALACTITOLCAT-PWY|galactitol degradation	0.938405445688681	0.0314240508077976	0.00559837988336678	0	0.0245721236201546
GALACTUROCAT-PWY|D-galacturonate degradation I	0.69327660902251	0.0128944736056011	1.14475164927845e-05	0.200984515902424	0.0928329539529721
GLCMANNANAUT-PWY|superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation	0.811547346711922	0.1004921715996	0.00847551639161234	0.0592061712286852	0.0202787940681804
GLUCONEO-PWY|gluconeogenesis I	0.952553644629956	4.27358893830314e-05	0.000394463469263668	0	0.0470091560113979
GLUCUROCAT-PWY|superpathway of &beta;-D-glucuronosides degradation	0.91617880008102	0.0799781330462037	0.00357785711690736	0	0.000265209755868964
GLUDEG-I-PWY|GABA shunt	0.91701921947063	0.066862821197488	0.0081016155699974	0	0.00801634376188498
GLUTORN-PWY|L-ornithine biosynthesis I	0.895455463110476	0.00133766470753172	0.00669089767964623	0.0808647435091653	0.0156512309931808
GLYCOCAT-PWY|glycogen degradation I	0.939843940589222	0.0559364389087607	0.00337243388064016	0	0.000847186621376795
GLYCOGENSYNTH-PWY|glycogen biosynthesis I (from ADP-D-Glucose)	0.924274695320596	0.0378231860630412	0.0214307219293071	0	0.0164713966870553
GLYCOLYSIS-E-D|superpathway of glycolysis and the Entner-Doudoroff pathway	0.701527295723108	0.000750227436349283	0.0211308357691885	0.270651019836363	0.00594062123499144
GLYCOLYSIS|glycolysis I (from glucose 6-phosphate)	0.85361728515189	0.130313222838936	0.00430513349925549	0	0.0117643585099188
GOLPDLCAT-PWY|superpathway of glycerol degradation to 1,3-propanediol	0.958352256363796	0.00278103719716482	0.0238531605020469	0	0.0150135459369922
HEME-BIOSYNTHESIS-II|heme b biosynthesis I (aerobic)	0.731051879098538	5.33089448083767e-05	0.254989981685002	0	0.0139048302716514
HEMESYN2-PWY|heme b biosynthesis II (oxygen-independent)	0.877895898893941	0.0144186301862355	9.07765637722574e-06	0.106969643530475	0.000706749732970855
HEXITOLDEGSUPER-PWY|superpathway of hexitol degradation (bacteria)	0.846526599690341	0.0661642428644481	0.0175465584708717	0	0.0697625989743392
HISDEG-PWY|L-histidine degradation I	0.789010525525355	0.088753639704784	3.2893087032654e-05	0	0.122202941682829
HISTSYN-PWY|L-histidine biosynthesis	0.759133049663766	0.109664265229841	0.00382892203169832	0	0.127373763074695
HOMOSER-METSYN-PWY|L-methionine biosynthesis I	0.933531187632888	0.0123886582776152	0.0530014699020528	0	0.0010786841874441
HSERMETANA-PWY|L-methionine biosynthesis III	0.766700395571516	0.0797362296240585	0.00120981511304656	0	0.152353559691379
ILEUSYN-PWY|L-isoleucine biosynthesis I (from threonine)	0.971965725430852	0.00033460738300465	0.00503891065542823	0	0.0226607565307153
KETOGLUCONMET-PWY|ketogluconate metabolism	0.647982664462224	0.0116538923714449	0.0492073720998728	0.226600479395978	0.0645555916704798
LACTOSECAT-PWY|lactose and galactose degradation I	0.8414857053565	0.133559258991101	0.00298397652700694	0	0.0219710591253924
MET-SAM-PWY|superpathway of S-adenosyl-L-methionine biosynthesis	0.93330374413076	0.0125792198166555	0.0530070439804951	0	0.00110999207208955
METH-ACETATE-PWY|methanogenesis from acetate	0.885473913076458	0.103235695055558	0.00012050704353962	0	0.0111698848244437
METSYN-PWY|superpathway of L-homoserine and L-methionine biosynthesis	0.933326140739245	0.0126192795056727	0.0528680238258341	0	0.00118655592924815
NAGLIPASYN-PWY|lipid IVA biosynthesis (E. coli)	0.83639017469157	0.0612698487392034	0.060451031963586	0.0387114502505572	0.00317749435508334
NONMEVIPP-PWY|methylerythritol phosphate pathway I	0.789898302464235	0.106991661935397	0.00704393774001302	0	0.0960660978603543
NONOXIPENT-PWY|pentose phosphate pathway (non-oxidative branch) I	0.768046674760818	0.11503975393407	0.11425103812761	0	0.00266253317750148
OANTIGEN-PWY|O-antigen building blocks biosynthesis (E. coli)	0.916756531223137	0.0717499206340787	0.0103563006569519	0	0.00113724748583271
P108-PWY|pyruvate fermentation to propanoate I	0.982776426436277	0.00291659337086125	0.0105705872832895	0	0.00373639290957173
P122-PWY|heterolactic fermentation	0.907357229379434	0.0107305989267148	0.0814072331626167	0	0.000504938531234057
P124-PWY|Bifidobacterium shunt	0.953956842550575	0.02046949864551	0.0213633419437617	0	0.00421031686015347
P161-PWY|acetylene degradation (anaerobic)	0.94072305317393	0.0143809896531485	0.0434146660393761	0	0.00148129113354497
P164-PWY|purine nucleobases degradation I (anaerobic)	0.516815484737708	0.0337660975212207	0.339428087609505	0.107877625633966	0.00211270449760021
P185-PWY|formaldehyde assimilation III (dihydroxyacetone cycle)	0.848997780429352	0.0209843587029045	0.0534979234613125	0	0.076519937406431
P23-PWY|reductive TCA cycle I	0.983746992640125	0.000730038652306719	0.0105346155166385	0	0.00498835319093007
P41-PWY|pyruvate fermentation to acetate and (S)-lactate I	0.81420786576367	0.0994580273508261	0.0384131653762029	0.0121477505711028	0.0357731909381976
P42-PWY|incomplete reductive TCA cycle	0.69121657132411	0.0276631789600898	0.11128119184497	0.158538245363994	0.011300812506836
P441-PWY|superpathway of N-acetylneuraminate degradation	0.87919170303361	0.0403155504751895	0.0687719028340186	0	0.0117208436571819
P461-PWY|hexitol fermentation to lactate, formate, ethanol and acetate	0.854909325029955	8.33581473836737e-07	0.0337342632704851	0.0661374822519733	0.0452180958661129
PANTO-PWY|phosphopantothenate biosynthesis I	0.775894687369857	0.107838974103558	0.0100367062664753	0	0.106229632260109
PANTOSYN-PWY|superpathway of coenzyme A biosynthesis I (bacteria)	0.825203725806933	0.0717526875829662	0.00982079156527564	0	0.0932227950448252
PENTOSE-P-PWY|pentose phosphate pathway	0.964790290068853	0.027472499222152	0.00302212103104798	0	0.00471508967794738
PEPTIDOGLYCANSYN-PWY|peptidoglycan biosynthesis I (meso-diaminopimelate containing)	0.937224763255905	0.0351344195447509	0.0234973770002175	0	0.00414344019912626
PHOSLIPSYN-PWY|superpathway of phospholipid biosynthesis I (bacteria)	0.893084293857912	0.00451314594672801	0.0952600755007041	0	0.00714248469465607
POLYAMSYN-PWY|superpathway of polyamine biosynthesis I	0.413728770759031	5.48731134547146e-05	0.00164790561636115	0.457719234802332	0.126849215708821
POLYISOPRENSYN-PWY|polyisoprenoid biosynthesis (E. coli)	0.922506196774294	0.0683884265833047	0.00233367846425125	0	0.00677169817815008
PPGPPMET-PWY|ppGpp metabolism	0.947575501347107	0.0283138784190743	0.00384606303158772	0	0.0202645572022314
PWY-1042|glycolysis IV	0.610262704287928	0.179703791432065	0.0866690666182399	0.123121006991717	0.000243430670050312
PWY-1269|CMP-3-deoxy-D-manno-octulosonate biosynthesis	0.897893337591151	0.0280482090094488	0.0142343960960039	0	0.0598240573033966
PWY-1861|formaldehyde assimilation II (assimilatory RuMP Cycle)	0.734415321797323	0.0480019964250734	0.00292773093997763	0	0.214654950837626
PWY-241|C4 photosynthetic carbon assimilation cycle, NADP-ME type	0.525025385102176	0.225613474121242	0.036484782285381	0.209812266392877	0.00306409209832502
PWY-2941|L-lysine biosynthesis II	0.912590152903105	0.0800954041023683	0.00104411531353988	0	0.0062703276809869
PWY-2942|L-lysine biosynthesis III	0.95987338474274	0.0126678874419675	0.0251935715322942	0	0.0022651562829977
PWY-3001|superpathway of L-isoleucine biosynthesis I	0.629157772291744	0.00143063119801157	0.00702663535315864	0.325139358002752	0.0372456031543339
PWY-3781|aerobic respiration I (cytochrome c)	0.780880826311745	2.08153265990769e-05	0.217916893880784	0	0.00118146448087251
PWY-3841|folate transformations II (plants)	0.98895400892385	9.40438553001765e-07	0.004070953283389	0	0.00697409735420797
PWY-4041|&gamma;-glutamyl cycle	0.941870879239652	0.00841384545461177	0.00553413506905177	0	0.0441811402366847
PWY-4984|urea cycle	0.8467914156747	0.0344342250710662	0.0721458601065538	0	0.0466284991476794
PWY-5005|biotin biosynthesis II	0.923240089671524	0.0393189818385871	0.0115113133931043	0.0172660839393208	0.00866353115746387
PWY-5022|4-aminobutanoate degradation V	0.906724139278337	0.0426077903961848	0.0461611949686997	0	0.00450687535677889
PWY-5030|L-histidine degradation III	0.787231991667148	0.00141234894655161	0.0263135538898474	0.171391829811219	0.0136502756852346
PWY-5097|L-lysine biosynthesis VI	0.901995034446543	0.0352102355701774	0.0611568656569611	0	0.0016378643263182
PWY-5100|pyruvate fermentation to acetate and lactate II	0.81420786576367	0.0994580273508261	0.0384131653762029	0.0121477505711028	0.0357731909381976
PWY-5103|L-isoleucine biosynthesis III	0.948589606536384	0.000818421709129939	0.00175518047795011	0	0.0488367912765358
PWY-5104|L-isoleucine biosynthesis IV	0.659760649215225	0.224037345499044	0.0954244102737219	0	0.0207775950120082
PWY-5121|superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP)	0.93789164054064	0.0574160796910895	0.00194987256469527	0	0.00274240720357491
PWY-5130|2-oxobutanoate degradation I	0.930785748323215	0.0146824958885756	0.00195895770529224	0	0.0525727980829173
PWY-5136|fatty acid &beta;-oxidation II (plant peroxisome)	0.878610237039619	0.121319264430999	5.51421431959373e-05	0	1.535638618559e-05
PWY-5154|L-arginine biosynthesis III (via N-acetyl-L-citrulline)	0.943654848940168	0.0256683661671183	0.0158296661831628	0	0.0148471187095507
PWY-5188|tetrapyrrole biosynthesis I (from glutamate)	0.889353829460286	3.92191395539903e-05	0.0580593218748296	0	0.0525476295253308
PWY-5189|tetrapyrrole biosynthesis II (from glycine)	0.655274643750311	0.0814554606972298	0.000212551082521779	0.260184693381836	0.00287265108810077
PWY-5345|superpathway of L-methionine biosynthesis (by sulfhydrylation)	0.816677719828073	0.00421226808253005	0.0363192751045315	0.133216049900018	0.00957468708484675
PWY-5347|superpathway of L-methionine biosynthesis (transsulfuration)	0.934680755743251	0.0116041558396796	0.0513709812236152	0	0.00234410719345384
PWY-5384|sucrose degradation IV (sucrose phosphorylase)	0.814158846187409	0.128619441049227	0.0283489255858951	0.0270343750569615	0.00183841212050665
PWY-5484|glycolysis II (from fructose 6-phosphate)	0.85816755612361	0.139016366122602	8.56081074205363e-06	0	0.00280751694304576
PWY-5497|purine nucleobases degradation II (anaerobic)	0.965012160827802	0.0102781821927522	7.7692223580663e-05	0	0.0246319647558655
PWY-5505|L-glutamate and L-glutamine biosynthesis	0.890243301501394	0.0080012636622129	0.101550805655365	0	0.000204629181028386
PWY-5659|GDP-mannose biosynthesis	0.931663332145786	0.0608499416174187	0.00747614690332895	0	1.05793334658848e-05
PWY-5667|CDP-diacylglycerol biosynthesis I	0.911350701263505	0.0682342735609739	0.0145974933885071	0	0.0058175317870137
PWY-5676|acetyl-CoA fermentation to butanoate II	0.836296742420147	0.000220549249731011	0.103223809157174	0	0.0602588991729483
PWY-5686|UMP biosynthesis I	0.833452474005014	0.000190918505262394	0.105871353376298	0	0.0604852541134262
PWY-5695|inosine 5-phosphate degradation	0.944293018352778	2.37039236928695e-05	0.000227296654362003	0	0.0554559810691667
PWY-5723|Rubisco shunt	0.620510765315266	0.00240406573131949	0.0866908379574512	0.29029634694241	9.79840535537473e-05
PWY-5747|2-methylcitrate cycle II	0.828199256405865	0.0831929848997229	0.0867296556237132	0	0.00187810307069853
PWY-5910|superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate)	0.908654108979611	0.0785030212591047	0.00402072802746127	0	0.00882214173382327
PWY-5913|partial TCA cycle (obligate autotrophs)	0.988262689114467	0.00897543740445004	0.000355611803271103	0	0.00240626167781174
PWY-5918|superpathway of heme b biosynthesis from glutamate	0.739596676586051	0.0332499390562893	0.178524661048603	0	0.0486287233090574
PWY-5941|glycogen degradation II	0.827452991425181	0.0893400427108263	0.0343771444959605	0	0.0488298213680317
PWY-5973|cis-vaccenate biosynthesis	0.959490902072336	0.000820547937005104	0.00883332643780219	0	0.0308552235528571
PWY-5981|CDP-diacylglycerol biosynthesis III	0.872822082956089	0.1044252136944	0.000127426447527213	0	0.0226252769019842
PWY-6121|5-aminoimidazole ribonucleotide biosynthesis I	0.741316569047054	0.00245109917735901	0.18240797348126	0	0.0738243582943265
PWY-6122|5-aminoimidazole ribonucleotide biosynthesis II	0.86237701231273	0.0115410569549421	0.117784739237804	0	0.00829719149452459
PWY-6123|inosine-5-phosphate biosynthesis I	0.875370394027812	0.0241689338188442	8.34908005939625e-05	0.0187518257345562	0.0816253556181935
PWY-6124|inosine-5-phosphate biosynthesis II	0.862325400256817	0.0203888523135447	0.000135677609919739	0.0362220922966479	0.080927977523071
PWY-6125|superpathway of guanosine nucleotides de novo biosynthesis II	0.81794728207437	0.0810349787459858	0.000574476415878944	0.0146282024025103	0.0858150603612553
PWY-6126|superpathway of adenosine nucleotides de novo biosynthesis II	0.813610362111922	0.0713140001345384	0.000155025599268299	0.0224357408680108	0.0924848712862609
PWY-6143|CMP-pseudaminate biosynthesis	0.893135075460162	0.0801924199370268	0.000150711163716181	0	0.0265217934390953
PWY-6147|6-hydroxymethyl-dihydropterin diphosphate biosynthesis I	0.920457848090197	0.0415529569072607	0.0164587594648979	0	0.0215304355376442
PWY-6151|S-adenosyl-L-methionine salvage I	0.784749035364282	0.118642442330987	0.0940801962636712	0	0.00252832604106044
PWY-6163|chorismate biosynthesis from 3-dehydroquinate	0.748950815710546	0.124974856791434	0.0208488671874513	0	0.105225460310568
PWY-621|sucrose degradation III (sucrose invertase)	0.778700234089565	0.0299423110450702	0.00105885052259841	0.169125392190502	0.0211732121522641
PWY-6270|isoprene biosynthesis I	0.907948057894371	0.0776926593387068	0.0085876529733417	0	0.00577162979358035
PWY-6277|superpathway of 5-aminoimidazole ribonucleotide biosynthesis	0.86237701231273	0.0115410569549421	0.117784739237804	0	0.00829719149452459
PWY-6292|superpathway of L-cysteine biosynthesis (mammalian)	0.902030696347559	0.0675225364883172	0.01055131133032	0	0.0198954558338041
PWY-6293|superpathway of L-cysteine biosynthesis (fungi)	0.939544028097936	0.0574370228238766	0.000540415024155934	0	0.00247853405403099
PWY-6305|superpathway of putrescine biosynthesis	0.970632807397928	0.0119793033923946	0.0173861199922497	0	1.7692174272333e-06
PWY-6317|D-galactose degradation I (Leloir pathway)	0.852907508942592	0.0854796923073197	0.0520070233307055	0	0.00960577541938261
PWY-6353|purine nucleotides degradation II (aerobic)	0.793596132763106	0.124186510381286	0.0815546353041621	0	0.000662721551446022
PWY-6385|peptidoglycan biosynthesis III (mycobacteria)	0.8899908214856	0.0926672447192994	0.0083945819523928	0	0.0089473518427073
PWY-6386|UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)	0.85210973595609	0.119267917125656	0.00906997247888854	0	0.0195523744393659
PWY-6387|UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)	0.931463898500717	0.0482374000570317	0.0202622182081549	0	3.64832340961091e-05
PWY-6507|4-deoxy-L-threo-hex-4-enopyranuronate degradation	0.827513042988238	0.0047220602469594	0.000105490497423431	2.03059108137678e-16	0.167659406267379
PWY-6527|stachyose degradation	0.773458027607903	0.112763241650602	0.0487860424500058	0	0.0649926882914898
PWY-6531|mannitol cycle	0.7177230986774	0.0796029574650412	0.155206382859745	0	0.0474675609978141
PWY-6545|pyrimidine deoxyribonucleotides de novo biosynthesis III	0.954446394612608	0.0292234836635328	0.00341358593295499	0	0.0129165357909041
PWY-6549|L-glutamine biosynthesis III	0.736487682916234	0.019098356173061	0.0608720170873521	0.13975592341449	0.0437860204088627
PWY-6588|pyruvate fermentation to acetone	0.966606822076199	0.0169550713064231	0.00931868111865542	0	0.00711942549872273
PWY-6590|superpathway of Clostridium acetobutylicum acidogenic fermentation	0.885465163059867	0.097806909820139	0.0017144225945986	0	0.0150135045253958
PWY-6595|superpathway of guanosine nucleotides degradation (plants)	0.81299738389766	0.096734868926792	0.0897573428643648	0	0.000510404311183524
PWY-6606|guanosine nucleotides degradation II	0.408322930150746	0.00408448416255626	0.251675614948467	0.323159945628122	0.0127570251101091
PWY-6607|guanosine nucleotides degradation I	0.962559119982169	0.0328144013035953	0.00121306617604797	0	0.00341341253818819
PWY-6608|guanosine nucleotides degradation III	0.448200044743903	0.0250272588290886	0.245738529574383	0.261210099302646	0.01982406754998
PWY-6609|adenine and adenosine salvage III	0.780035243148745	0.0718544420363493	0.133479491463271	0	0.0146308233516341
PWY-6628|superpathway of L-phenylalanine biosynthesis	0.982832731757948	0.00793357316560657	0.00880885421255355	0	0.00042484086389146
PWY-6630|superpathway of L-tyrosine biosynthesis	0.992727993068965	0.00214249737979606	0.00512081661962612	0	8.69293161257775e-06
PWY-6700|queuosine biosynthesis I (de novo)	0.664087330772774	0.268214483716557	0.0143725344835564	0	0.0533256510271125
PWY-6703|preQ0 biosynthesis	0.851953030798877	0.0538899119970413	0.00989657457667168	0	0.0842604826274098
PWY-6731|starch degradation III	0.75147875154972	0.0801489267823069	0.10142605314755	0	0.0669462685204224
PWY-6749|CMP-legionaminate biosynthesis I	0.68770025230306	0.0936242717090821	0.107969211873521	0.103074108142653	0.00763215597168373
PWY-6803|phosphatidylcholine acyl editing	0.904181163042736	0.0602824141707623	0.0179692276573626	0.0146346993121791	0.00293249581695983
PWY-6823|molybdopterin biosynthesis	0.939752573495175	0.0262215067026217	0.0188644248559663	0	0.0151614949462374
PWY-6834|spermidine biosynthesis III	0.913404354994677	0.0322397356646893	0.00698238131984555	0	0.0473735280207881
PWY-6859|all-trans-farnesol biosynthesis	0.925937459325278	0.0637042695371987	0.00280237135172823	0	0.00755589978579474
PWY-6876|isopropanol biosynthesis (engineered)	0.75739663725042	0.00526865032522372	0.0676915285773478	0	0.169643183847008
PWY-6897|thiamine diphosphate salvage II	0.833500993723967	0.163169837768638	0.00260833461203969	0	0.000720833895354937
PWY-6901|superpathway of glucose and xylose degradation	0.960911814996567	0.0373517285973042	0.000393245339966109	0	0.00134321106616292
PWY-6902|chitin degradation II (Vibrio)	0.753740796537798	0.0199592769153169	0.0056248661102041	0.218824976184465	0.0018500842522156
PWY-6906|chitin derivatives degradation	0.981190958926901	0.00383134412680884	0.000400337172134324	0	0.0145773597741556
PWY-6922|L-N&delta;-acetylornithine biosynthesis	0.670924180389983	0.0646161622872745	0.00966562670587948	0.226195217538098	0.0285988130787651
PWY-6936|seleno-amino acid biosynthesis (plants)	0.883228378599309	0.101556987649886	0.00468056863828827	0	0.0105340651125167
PWY-6953|dTDP-3-acetamido-&alpha;-D-fucose biosynthesis	0.842008436475022	0.0548568539508297	0.00610700955509361	0.0641166427983778	0.0329110572206773
PWY-6969|TCA cycle V (2-oxoglutarate synthase)	0.702975765171188	0.175633681357779	0.0042056488168931	0.0961075768550958	0.0210773277990441
PWY-702|L-methionine biosynthesis II	0.967748862375707	0.00984696888023091	0.00309986437059063	0	0.019304304373471
PWY-7111|pyruvate fermentation to isobutanol (engineered)	0.902894479036774	0.0368138355334275	0.039800309765391	0	0.0204913756644071
PWY-7117|C4 photosynthetic carbon assimilation cycle, PEPCK type	0.615928656297546	0.143561831669912	0.0293294752345222	0.209697227190862	0.00148280960715817
PWY-7184|pyrimidine deoxyribonucleotides de novo biosynthesis I	0.953421241860264	0.0307272529249493	0.00561444426288515	0	0.0102370609519018
PWY-7197|pyrimidine deoxyribonucleotide phosphorylation	0.832113391801853	0.0747657801043615	0.0014816892522616	0	0.0916391388415236
PWY-7198|pyrimidine deoxyribonucleotides de novo biosynthesis IV	0.906649639889848	0.0690049126617513	0.0243447664689705	0	6.80979429894934e-07
PWY-7199|pyrimidine deoxyribonucleosides salvage	0.875630313183078	0.0684404986300965	0.00181816185978891	0	0.0541110263270362
PWY-7208|superpathway of pyrimidine nucleobases salvage	0.804789887115573	0.0777859971985213	0.000124211793549105	0.0230829551171155	0.0942169487752414
PWY-7210|pyrimidine deoxyribonucleotides biosynthesis from CTP	0.89087016826857	0.0905730663894818	3.45846897242312e-05	0	0.0185221806522237
PWY-7211|superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis	0.892787545121896	0.0719827890598498	6.2844083547742e-06	0	0.0352233814098998
PWY-7220|adenosine deoxyribonucleotides de novo biosynthesis II	0.82071493887564	0.0918276120148668	0.00148385222815636	0.00495153928243055	0.081022057598906
PWY-7221|guanosine ribonucleotides de novo biosynthesis	0.955127330166004	0.000248171314476975	0.0107037930939607	0	0.0339207054255583
PWY-7222|guanosine deoxyribonucleotides de novo biosynthesis II	0.82071493887564	0.0918276120148668	0.00148385222815636	0.00495153928243055	0.081022057598906
PWY-7228|superpathway of guanosine nucleotides de novo biosynthesis I	0.821108861862906	0.0749174824646676	0.000389438809847955	0.0165503501839752	0.0870338666786035
PWY-7229|superpathway of adenosine nucleotides de novo biosynthesis I	0.8198841002321	0.0556981338581419	3.22779505778534e-06	0.0280257204001637	0.0963888177145368
PWY-7234|inosine-5-phosphate biosynthesis III	0.943101437813073	0.00118278361693697	0.000196234845237657	0	0.0555195437247523
PWY-7237|myo-, chiro- and scyllo-inositol degradation	0.762537493161036	0.138079342792059	0.0746287975865427	0	0.0247543664603616
PWY-7238|sucrose biosynthesis II	0.930157090807135	0.00638936914852022	0.0101352437744204	0.0319510495825069	0.0213672466874173
PWY-7242|D-fructuronate degradation	0.817551526918265	0.00509106356930636	0.000284098847885874	0.0102247125140553	0.166848598150487
PWY-724|superpathway of L-lysine, L-threonine and L-methionine biosynthesis II	0.857399476897787	0.117625731260505	0.0129068892078749	0	0.0120679026338327
PWY-7254|TCA cycle VII (acetate-producers)	0.899517768491185	8.68275781760122e-05	0.00733985972526897	0	0.0930555442053699
PWY-7282|4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis II	0.856236565276632	0.00664681498970626	0.0658426390161607	0	0.0712739807175008
PWY-7315|dTDP-N-acetylthomosamine biosynthesis	0.979886157629876	0.00867827920648354	9.86688835187929e-05	0	0.011336894280122
PWY-7316|dTDP-N-acetylviosamine biosynthesis	0.633683689811261	0.254179830899997	0.0677903657790717	0.0240136063531494	0.0203325071565206
PWY-7323|superpathway of GDP-mannose-derived O-antigen building blocks biosynthesis	0.960471714921435	0.0113497988931913	0.019854322635101	0	0.0083241635502723
PWY-7328|superpathway of UDP-glucose-derived O-antigen building blocks biosynthesis	0.957960598290691	0.0314382098273464	0.00222906765093437	0	0.0083721242310282
PWY-7345|superpathway of anaerobic sucrose degradation	0.673698796945617	0.111723319164704	0.0548521246062496	0.121463128202123	0.0382626310813061
PWY-7356|thiamine diphosphate salvage IV (yeast)	0.851346124758944	0.000274538587445308	0.01064911859069	0.0386022975104901	0.0991279205524309
PWY-7357|thiamine phosphate formation from pyrithiamine and oxythiamine (yeast)	0.773149798597301	0.220231231196442	0.00219854741715195	0	0.00442042278910492
PWY-7371|1,4-dihydroxy-6-naphthoate biosynthesis II	0.874083962728062	0.0622331814945742	1.80162311136926e-06	0.0617283644111258	0.00195268974312631
PWY-7383|anaerobic energy metabolism (invertebrates, cytosol)	0.790590958515182	0.0122953018608904	0.107049107638029	0	0.090064631985899
PWY-7392|taxadiene biosynthesis (engineered)	0.940223986339858	0.0531511589428794	0.00184449479831667	0	0.00478035991894583
PWY-7400|L-arginine biosynthesis IV (archaebacteria)	0.697155996248271	0.19104213026605	0.0314879026032773	0	0.0803139708824017
PWY-7456|&beta;-(1,4)-mannan degradation	0.906492335117927	0.0147238446735383	0.00034278875873153	0.0241891068480382	0.0542519246017649
PWY-7560|methylerythritol phosphate pathway II	0.906170041091034	0.0831220078434822	0.00683673022548341	0	0.00387122084000025
PWY-7663|gondoate biosynthesis (anaerobic)	0.963559899237668	1.62951092834257e-05	0.00997159450572303	0	0.026452211147325
PWY-7688|dTDP-&alpha;-D-ravidosamine and dTDP-4-acetyl-&alpha;-D-ravidosamine biosynthesis	0.742047900764154	0.0118427636743285	0.0443057623870845	0.200960874534818	0.000842698639614603
PWY-7761|NAD salvage pathway II (PNC IV cycle)	0.997339897433078	0.00165044994408087	0.000271789120496522	0	0.000737863502344457
PWY-7790|UMP biosynthesis II	0.833452474005014	0.000190918505262394	0.105871353376298	0	0.0604852541134262
PWY-7791|UMP biosynthesis III	0.833452474005014	0.000190918505262394	0.105871353376298	0	0.0604852541134262
PWY-7851|coenzyme A biosynthesis II (eukaryotic)	0.958872075194783	0.0136394090520998	0.0120617752608003	0	0.015426740492317
