Residuals	number_of_pups_scaled	weight_grams_scaled	genotype	lipocalin2_pg_ml_scaled
GO:0003841|[MF] 1-acylglycerol-3-phosphate O-acyltransferase activity	0.813099583051817	0.0456581265618176	0.0799945109208305	0.0546556387313439	0.0065921407341908
GO:0003842|[MF] 1-pyrroline-5-carboxylate dehydrogenase activity	0.960257859674168	0.00105505206567293	0.023733098490916	0	0.0149539897692433
GO:0003844|[MF] 1,4-alpha-glucan branching enzyme activity	0.728018179540553	0.0556062427960069	0.0197075518070401	0.195335218672563	0.00133280718383716
GO:0003847|[MF] 1-alkyl-2-acetylglycerophosphocholine esterase activity	0.779357124659053	0.0031035593474748	0.14732102940671	0	0.0702182865867625
GO:0003848|[MF] 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase activity	0.813770466771753	0.0132168014703183	0.030918742601555	0.0786380974654679	0.0634558916909056
GO:0003849|[MF] 3-deoxy-7-phosphoheptulonate synthase activity	0.784537114580463	0.0409840942047193	0.0402833273133873	0.132542045552311	0.00165341834911918
GO:0003852|[MF] 2-isopropylmalate synthase activity	0.793025456273858	0.0421864036855361	0.00935998981214706	0.126872133502475	0.0285560167259842
GO:0003855|[MF] 3-dehydroquinate dehydratase activity	0.873997574424574	0.0074158736025521	0.0287135447921021	0.089072797722875	0.000800209457896335
GO:0003856|[MF] 3-dehydroquinate synthase activity	0.925595217333226	0.0152159401867753	0.0581159503339435	0	0.00107289214605505
GO:0003857|[MF] 3-hydroxyacyl-CoA dehydrogenase activity	0.719281839080512	0.00219090981843011	0.012027104720668	0.244355040849122	0.0221451055312687
GO:0003858|[MF] 3-hydroxybutyrate dehydrogenase activity	0.919104596134381	0.00842268930458019	0.00703298036262528	0	0.0654397341984137
GO:0003861|[MF] 3-isopropylmalate dehydratase activity	0.969162033391257	0.00831259476308966	0.022426894223446	0	9.84776222074796e-05
GO:0003862|[MF] 3-isopropylmalate dehydrogenase activity	0.851315591552038	0.00194640035707485	0.0268614429914728	0.112449487916578	0.00742707718283612
GO:0003863|[MF] 3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring) activity	0.8673901467917	0.0712812015351965	0.0566513194325496	0	0.00467733224055404
GO:0003864|[MF] 3-methyl-2-oxobutanoate hydroxymethyltransferase activity	0.69039712702254	0.10611553416048	0.0215761240004796	0.00686044671719429	0.175050768099306
GO:0003865|[MF] 3-oxo-5-alpha-steroid 4-dehydrogenase activity	0.950617627937637	0.00324704338679571	0.0450881597747701	0	0.00104716890079685
GO:0003866|[MF] 3-phosphoshikimate 1-carboxyvinyltransferase activity	0.837826823505144	0.00649361859628202	0.0305815653320484	0.12455449509616	0.000543497470366125
GO:0003871|[MF] 5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase activity	0.870583945187141	0.1000509259849	0.0262001842562337	0	0.00316494457172512
GO:0003872|[MF] 6-phosphofructokinase activity	0.820231721570808	0.0675870920496891	0.0453268331089464	0.0461431003529056	0.0207112529176509
GO:0003879|[MF] ATP phosphoribosyltransferase activity	0.847446662667996	0.00380523190937255	0.0321303543139774	0.0751807239221189	0.0414370271865358
GO:0003883|[MF] CTP synthase activity	0.831129699311445	0.0921767011384217	0.0608143079711394	0	0.0158792915789942
GO:0003886|[MF] DNA (cytosine-5-)-methyltransferase activity	0.964076249167824	0.00156552895389503	0.0144996632819427	0	0.0198585585963384
GO:0003887|[MF] DNA-directed DNA polymerase activity	0.801862254464325	0.117954842922923	0.0438656702587145	0.0336334601025803	0.00268377225145708
GO:0003896|[MF] DNA primase activity	0.858335452539884	0.0357950561472386	0.0315539692767803	0.0733583653983942	0.000957156637702815
GO:0003899|[MF] DNA-directed RNA polymerase activity	0.849718064878368	0.13092832600193	0.0147048715332468	0	0.00464873758645505
GO:0003905|[MF] alkylbase DNA N-glycosylase activity	0.867051572326207	0.110556811757388	0.0191703162970022	0	0.00322129961940277
GO:0003906|[MF] DNA-(apurinic or apyrimidinic site) lyase activity	0.822403274578084	0.060342691944909	0.0277803506900745	0.0825650341187561	0.00690864866817644
GO:0003908|[MF] methylated-DNA-[protein]-cysteine S-methyltransferase activity	0.762345062455942	0.196327034965715	0.0313738713876384	0	0.00995403119070468
GO:0003910|[MF] DNA ligase (ATP) activity	0.940536651714928	0.0117758519876708	0.011516690354894	0	0.0361708059425073
GO:0003911|[MF] DNA ligase (NAD+) activity	0.789671598887436	0.164115963415105	0.0306420055384889	0	0.0155704321589699
GO:0003916|[MF] DNA topoisomerase activity	0.74905619855232	0.091401940724579	0.152844316569587	0	0.00669754415351465
GO:0003917|[MF] DNA topoisomerase type I activity	0.72678143388941	0.013241245219246	0.043899227401148	0.21249027562407	0.00358781786612526
GO:0003918|[MF] DNA topoisomerase type II (ATP-hydrolyzing) activity	0.683807064843134	0.0257479787163578	0.0345537794770646	0.212600403757762	0.0432907732056815
GO:0003919|[MF] FMN adenylyltransferase activity	0.88105410789343	0.0533843524835053	0.0628984771217817	0.00076251403013484	0.00190054847114828
GO:0003920|[MF] GMP reductase activity	0.840088073558517	0.124998487066408	0.0293563470735419	0	0.00555709230153295
GO:0003922|[MF] GMP synthase (glutamine-hydrolyzing) activity	0.971461504141775	0.00715994313150249	0.0209781365340762	0	0.000400416192646179
GO:0003924|[MF] GTPase activity	0.931277952445741	0.0456212347382986	0.0177226925963837	0	0.00537812021957715
GO:0003934|[MF] GTP cyclohydrolase I activity	0.791030225031197	0.00368096899913635	0.0915691151128636	0.0629085884654877	0.0508111023913154
GO:0003935|[MF] GTP cyclohydrolase II activity	0.950883896280862	0.0267806685513008	0.0207305054158848	0	0.00160492975195268
GO:0003937|[MF] IMP cyclohydrolase activity	0.904610061737165	0.0321095641412743	0.0377430515708118	0.0137306821206756	0.0118066404300731
GO:0003938|[MF] IMP dehydrogenase activity	0.584311826506532	0.300485385955816	0.000120706136562857	0.0619791044559931	0.0531029769450963
GO:0003941|[MF] L-serine ammonia-lyase activity	0.768952022901118	0.0890984452763541	0.0774375963842776	0	0.0645119354382505
GO:0003942|[MF] N-acetyl-gamma-glutamyl-phosphate reductase activity	0.771498591543629	0.000264010282944096	0.0596253789952477	0.163913844907197	0.00469817427098229
GO:0003948|[MF] N4-(beta-N-acetylglucosaminyl)-L-asparaginase activity	0.948466087967679	0.0023510058784109	0.0412726010888795	0	0.00791030506503019
GO:0003949|[MF] 1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase activity	0.908079048982235	0.0279624030736927	0.045208182038853	0	0.018750365905219
GO:0003950|[MF] NAD+ ADP-ribosyltransferase activity	0.971759133321725	9.75700975056095e-05	0.00167163694459782	0	0.026471659636172
GO:0003951|[MF] NAD+ kinase activity	0.767652879768269	0.163617580651326	0.0514883554475947	0	0.0172411841328101
GO:0003952|[MF] NAD+ synthase (glutamine-hydrolyzing) activity	0.835861306129501	0.0951410596117674	0.0305263633979091	0.0308966499898729	0.00757462087094918
GO:0003954|[MF] NADH dehydrogenase activity	0.909708101175134	0.0768553130006915	0.00501027162377842	0	0.0084263142003965
GO:0003961|[MF] O-acetylhomoserine aminocarboxypropyltransferase activity	0.934150083371849	0.000919838725477433	0.0331517141359261	0	0.0317783637667474
GO:0003962|[MF] cystathionine gamma-synthase activity	0.85979360906221	0.0395011326304103	0.0119547857720701	0.0830252637944878	0.00572520874082194
GO:0003964|[MF] RNA-directed DNA polymerase activity	0.599838172465118	0.00644710509274901	0.112698603530335	0.279961563460091	0.00105455545170701
GO:0003968|[MF] RNA-directed RNA polymerase activity	0.953958445181546	0.0239616656653532	0.00391204622261694	0.0171815018248319	0.000986341105651661
GO:0003977|[MF] UDP-N-acetylglucosamine diphosphorylase activity	0.890348113751031	0.0871863653937451	0.0127271057254054	0	0.0097384151298188
GO:0003978|[MF] UDP-glucose 4-epimerase activity	0.900195878432914	0.0339455220008972	0.0364185265891835	0	0.0294400729770049
GO:0003979|[MF] UDP-glucose 6-dehydrogenase activity	0.832925934278987	0.121284474702453	0.0101945316628564	0	0.0355950593557044
GO:0003983|[MF] UTP:glucose-1-phosphate uridylyltransferase activity	0.901597892600458	0.00185057548667967	0.067230048109107	0	0.0293214838037552
GO:0003984|[MF] acetolactate synthase activity	0.875592091632132	0.0220079813854436	0.0268203650741255	0.0735210921892759	0.00205846971902336
GO:0003985|[MF] acetyl-CoA C-acetyltransferase activity	0.772745463237226	0.0482870699030527	0.104907346453082	0.0738819557340441	0.000178164672595558
GO:0003989|[MF] acetyl-CoA carboxylase activity	0.738394444943179	0.14837632574004	0.0732334359793464	0	0.0399957933374352
GO:0003991|[MF] acetylglutamate kinase activity	0.865287229438862	0.0299982585296462	0.0265812516616913	0.0773928333593874	0.000740427010413413
GO:0003992|[MF] N2-acetyl-L-ornithine:2-oxoglutarate 5-aminotransferase activity	0.760937090265763	0.000835803031779258	0.0285908136018831	0.205374549719655	0.00426174338091943
GO:0003993|[MF] acid phosphatase activity	0.603651669195576	0.0714968822437699	0.000866923331473841	0.263674771881003	0.0603097533481772
GO:0003994|[MF] aconitate hydratase activity	0.950916033419377	0.0325383485764604	0.00294960243220294	0	0.0135960155719598
GO:0003995|[MF] acyl-CoA dehydrogenase activity	0.829629163788177	0.00100339874163235	0.0486497948946227	0.117934813772854	0.00278282880271438
GO:0003998|[MF] acylphosphatase activity	0.789280224320845	0.134575344756556	0.0590407345553991	0	0.0171036963672
GO:0003999|[MF] adenine phosphoribosyltransferase activity	0.905155909574183	0.0577105626495634	0.0190189808584676	0	0.0181145469177857
GO:0004003|[MF] ATP-dependent DNA helicase activity	0.741586162033007	0.17686315910086	0.035288266927681	0.0289748162948943	0.0172875956435583
GO:0004004|[MF] ATP-dependent RNA helicase activity	0.66276899692321	0.0162723380412534	0.0448267969940353	0.155345731335665	0.120786136705836
GO:0004008|[MF] copper-exporting ATPase activity	0.982240684559883	0.0143753231767941	0.00135432392389262	0	0.00202966833943045
GO:0004013|[MF] adenosylhomocysteinase activity	0.952580967090263	0.0035052749690495	0.0398290753767036	0	0.00408468256398397
GO:0004014|[MF] adenosylmethionine decarboxylase activity	0.831600549746299	0.116834212552721	0.0360377048937329	0	0.0155275328072476
GO:0004015|[MF] adenosylmethionine-8-amino-7-oxononanoate transaminase activity	0.70327188831109	0.164205363650515	0.00394641289137447	0.128335838671555	0.000240496475465505
GO:0004017|[MF] adenylate kinase activity	0.826866548445281	0.13792805229082	0.0265969093557716	0	0.00860848990812677
GO:0004018|[MF] N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming) activity	0.651162707207486	0.233615609758349	0.0359150686931172	0	0.0793066143410483
GO:0004019|[MF] adenylosuccinate synthase activity	0.924747630437353	0.0550228561414505	0.00251285786160926	0	0.0177166555595874
GO:0004020|[MF] adenylylsulfate kinase activity	0.593242216126654	0.207381637259165	0.0361237024193322	0	0.163252444194849
GO:0004022|[MF] alcohol dehydrogenase (NAD) activity	0.850791454452884	0.0155065979211537	0.000119201088727903	0.0886667241169935	0.0449160224202411
GO:0004026|[MF] alcohol O-acetyltransferase activity	0.783242740405771	0.0482347080015056	0.162083213745945	1.99706731620217e-18	0.00643933784677887
GO:0004030|[MF] aldehyde dehydrogenase [NAD(P)+] activity	0.641855302452045	0.0206512122766008	0.00388532645001852	0.281205257334696	0.0524029014866397
GO:0004032|[MF] alditol:NADP+ 1-oxidoreductase activity	0.817197715669754	0.13553695193267	0.0409845769697886	0	0.00628075542778811
GO:0004034|[MF] aldose 1-epimerase activity	0.785979108902139	0.0745116242152436	0.0157366061043525	0.122156662922923	0.00161599785534167
GO:0004038|[MF] allantoinase activity	0.852350323286251	0.0118347156783135	0.000144494523950644	0.114626374926523	0.0210440915849621
GO:0004040|[MF] amidase activity	0.678084652660517	0.19895798622088	0.0998953893423026	0	0.0230619717763001
GO:0004042|[MF] acetyl-CoA:L-glutamate N-acetyltransferase activity	0.884469375598008	0.020713077592846	0.0312572584820529	0.0544351799003167	0.00912510842677624
GO:0004044|[MF] amidophosphoribosyltransferase activity	0.885320595756054	0.0255397560684548	0.0182626178792054	0.0697325587531083	0.00114447154317746
GO:0004045|[MF] aminoacyl-tRNA hydrolase activity	0.890070798555174	0.0860036408413653	0.00372013046899946	0	0.0202054301344611
GO:0004046|[MF] aminoacylase activity	0.882201676567982	0.10094684922979	0.00657106276562429	0	0.0102804114366032
GO:0004047|[MF] aminomethyltransferase activity	0.782824750076807	0.0450660327843159	0.156548393323975	0	0.0155608238149016
GO:0004048|[MF] anthranilate phosphoribosyltransferase activity	0.811628005705832	0.154826663170218	0.0136584207965122	0	0.0198869103274383
GO:0004049|[MF] anthranilate synthase activity	0.912854604774749	0.0763966934648397	0.0107464625778733	0	2.2391825383593e-06
GO:0004053|[MF] arginase activity	0.829101309849212	0.00309573644605236	0.105613864242682	0	0.0621890894620537
GO:0004055|[MF] argininosuccinate synthase activity	0.892167420672029	0.00581912851917301	0.0593358903110232	0	0.0426775604977749
GO:0004056|[MF] argininosuccinate lyase activity	0.698212878932984	0.192549552766556	0.0871439033741255	0	0.0220936649263352
GO:0004057|[MF] arginyltransferase activity	0.83780575061506	0.0858086356465706	0.000254879127447581	0.0684653063110455	0.00766542829987632
GO:0004061|[MF] arylformamidase activity	0.823414658537326	0.0418788735521099	0.132397301509994	0	0.0023091664005707
GO:0004065|[MF] arylsulfatase activity	0.913496727431358	0.0173639589205289	0.0420863421201442	0	0.0270529715279688
GO:0004066|[MF] asparagine synthase (glutamine-hydrolyzing) activity	0.830489790470308	0.0861719831861552	0.0386990638957568	0.0440433211679898	0.000595841279789852
GO:0004067|[MF] asparaginase activity	0.901849399565968	0.0847716638239498	0.000171876748996983	0	0.0132070598610855
GO:0004068|[MF] aspartate 1-decarboxylase activity	0.864332210912176	0.00218011823386479	0.0670085887912807	0	0.0664790820626785
GO:0004069|[MF] L-aspartate:2-oxoglutarate aminotransferase activity	0.910188450011627	0.0200029475823231	7.80202481353922e-05	0.00331162969391906	0.0664189524639958
GO:0004070|[MF] aspartate carbamoyltransferase activity	0.860446172913881	0.0646052276338826	0.0385148865996531	0	0.0364337128525827
GO:0004071|[MF] aspartate-ammonia ligase activity	0.767912231963692	0.158353144978905	0.0591173932302877	0	0.0146172298271151
GO:0004072|[MF] aspartate kinase activity	0.804394600554628	0.103487259527237	0.0750346781518071	0	0.0170834617663282
GO:0004073|[MF] aspartate-semialdehyde dehydrogenase activity	0.646096018430321	0.100028568809649	0.0989027482297847	0.146249556473737	0.00872310805650887
GO:0004075|[MF] biotin carboxylase activity	0.84467845421819	0.0525014640365131	0.0221055365316724	0	0.080714545213625
GO:0004076|[MF] biotin synthase activity	0.815608742210607	0.0301099360822903	0.0577219506271923	0.0890150143928982	0.00754435668701238
GO:0004077|[MF] biotin-[acetyl-CoA-carboxylase] ligase activity	0.789839778764206	0.0372546265840994	0.040963174458529	0.129966340610598	0.00197607958256694
GO:0004084|[MF] branched-chain-amino-acid transaminase activity	0.835755198227332	0.0116782328884961	0.0450958325409533	0.107417887517014	5.28488262046122e-05
GO:0004085|[MF] butyryl-CoA dehydrogenase activity	0.892658145803665	0.0143444932396172	0.0775563479856703	0	0.0154410129710478
GO:0004088|[MF] carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity	0.93750703708687	0.0182992293924452	0.0362611628537362	0	0.00793257066694907
GO:0004089|[MF] carbonate dehydratase activity	0.843807596552036	0.03768653053333	9.91461254684974e-05	0	0.118406726789165
GO:0004096|[MF] catalase activity	0.888004610243756	0.0445381583239368	0.00881804276535765	0	0.0586391886669499
GO:0004106|[MF] chorismate mutase activity	0.888317043400287	0.0294778049425723	0.0305334411501618	0.0498851623548097	0.00178654815216875
GO:0004107|[MF] chorismate synthase activity	0.937400842058918	0.0129744922173289	0.00713098514960206	0.00589983957108755	0.0365938410030634
GO:0004109|[MF] coproporphyrinogen oxidase activity	0.960309583240425	0.0101066406974936	0.0276463613662593	0	0.00193741469582212
GO:0004113|[MF] 2,3-cyclic-nucleotide 3-phosphodiesterase activity	0.738988312578667	0.216341251200346	0.0424716358869738	0	0.00219880033401331
GO:0004115|[MF] 3,5-cyclic-AMP phosphodiesterase activity	0.69650883505945	0.143471478503923	0.100500250891837	0.0132709972999816	0.0462484382448083
GO:0004121|[MF] cystathionine beta-lyase activity	0.872250997929536	0.0160801515651935	0.000160653539611544	0	0.111508196965659
GO:0004124|[MF] cysteine synthase activity	0.888644880589609	0.0143829915718249	0.0403507588931294	0.0415044166470598	0.0151169522983774
GO:0004125|[MF] L-seryl-tRNASec selenium transferase activity	0.868881623591479	0.00719389172365582	0.0556414661749727	0	0.0682830185098928
GO:0004126|[MF] cytidine deaminase activity	0.839987694662471	0.0301791259063446	0.0115907310141146	0.116001126578432	0.00224132183863799
GO:0004127|[MF] cytidylate kinase activity	0.896358466326753	0.0757001231491813	0.0248767184361053	0	0.00306469208796003
GO:0004129|[MF] cytochrome-c oxidase activity	0.641191737796469	0.0191576994733312	5.13866878729848e-05	0	0.339599176042326
GO:0004130|[MF] cytochrome-c peroxidase activity	0.86794187597519	0.00552459781627497	0.000424119681311518	0.124104275057255	0.00200513146996853
GO:0004132|[MF] dCMP deaminase activity	0.970890962175817	0.00776522696905062	0.0117291486579648	0	0.00961466219716785
