Residuals	timepoint	number_of_pups_scaled	lipocalin2_pg_ml_scaled	genotype
K00087|xanthine dehydrogenase molybdenum-binding subunit [EC.1.17.1.4]	0.98149627133599	0	0.000104339704390723	0.018399388959619	0
K00088|IMP dehydrogenase [EC.1.1.1.205]	0.949325390058916	0	0.0499917975222295	0.000682812418854874	0
K00097|4-hydroxythreonine-4-phosphate dehydrogenase [EC.1.1.1.262]	0.453801202060903	0.539788477501886	0.00479628244246603	0.00161403799474595	0
K00099|1-deoxy-D-xylulose-5-phosphate reductoisomerase [EC.1.1.1.267]	0.687360523124306	0.307314053717127	0.00532327089686886	2.15226169839423e-06	0
K00100|butanol dehydrogenase [EC.1.1.1.-]	0.931181913270334	0.0626510480218199	6.07437546290741e-05	0.00610629492588583	2.73310507379736e-11
K00111|glycerol-3-phosphate dehydrogenase [EC.1.1.5.3]	0.906941321770121	0.0579187206579493	0.032082256492843	0.00305770107908695	0
K00116|malate dehydrogenase (quinone) [EC.1.1.5.4]	0.509551630992277	0.480264073491421	0.00898544213879876	0.0011988533775031	0
K00124|formate dehydrogenase iron-sulfur subunit	0.526514370521142	0.457578193379668	0.0143971872952816	0.00151024880390828	1.28293846428372e-16
K00127|formate dehydrogenase subunit gamma	0.534115246414139	0.458857555088896	0.00589768681449058	0.00112951168247429	0
K00133|aspartate-semialdehyde dehydrogenase [EC.1.2.1.11]	0.562107972045749	0.431500575568525	0.00358526528851873	0.00280618709696801	2.39532186310048e-13
K00134|glyceraldehyde 3-phosphate dehydrogenase [EC.1.2.1.12]	0.579721105695238	0.394906913298815	0.00235993265573518	9.22432088848859e-06	0.0230028240293233
K00145|N-acetyl-gamma-glutamyl-phosphate reductase [EC.1.2.1.38]	0.72419182428798	0.194519875897816	0.00556794824611012	0.0757203515680475	4.62228484641506e-14
K00147|glutamate-5-semialdehyde dehydrogenase [EC.1.2.1.41]	0.688695619524422	0.27806432072164	0.0322851389509508	0.000954920802988022	0
K00158|pyruvate oxidase [EC.1.2.3.3]	0.679623781722302	0.284452739744114	0.0357695350524225	0.000153943481161687	0
K00169|pyruvate ferredoxin oxidoreductase alpha subunit [EC.1.2.7.1]	0.941218459385778	0.0491683232602803	0.00150814072892979	0.00810507662501237	0
K00170|pyruvate ferredoxin oxidoreductase beta subunit [EC.1.2.7.1]	0.806264438924835	0.0848817057558562	0.106714808861246	0.00106950770306787	0.00106953875499456
K00171|pyruvate ferredoxin oxidoreductase delta subunit [EC.1.2.7.1]	0.763588375612488	0.230740195834504	0.00149739453548161	0.00417403401752546	1.15189541170707e-15
K00172|pyruvate ferredoxin oxidoreductase gamma subunit [EC.1.2.7.1]	0.61076539766248	0.383926039174001	0.00454616063047174	0.000762402533020994	2.63800200693871e-14
K00174|2-oxoglutarate|2-oxoacid ferredoxin oxidoreductase subunit alpha [EC.1.2.7.3 1.2.7.11]	0.594935243529462	0.397100594170984	0.00471121241256047	0.00325294988699373	0
K00175|2-oxoglutarate|2-oxoacid ferredoxin oxidoreductase subunit beta [EC.1.2.7.3 1.2.7.11]	0.875170429094863	0.114120125886808	0.000598029397566932	0.0101114156207418	1.98135653541094e-14
K00176|2-oxoglutarate ferredoxin oxidoreductase subunit delta [EC.1.2.7.3]	0.950302374205978	0.0495953578171081	8.14093715989036e-05	2.08586053148589e-05	0
K00177|2-oxoglutarate ferredoxin oxidoreductase subunit gamma [EC.1.2.7.3]	0.924773044557819	0.0722115461820132	3.38708498993065e-05	0.00298153840777038	2.49839923055901e-12
K00179|indolepyruvate ferredoxin oxidoreductase, alpha subunit	0.790056585120942	0.20434783570435	0.00556878694404776	2.67922306607372e-05	0
K00184|molybdopterin oxidoreductase, iron-sulfur binding subunit	0.477470062134431	0.511411277848123	0.00765867532033811	0.00345998469710682	9.38662536889717e-16
K00198|carbon-monoxide dehydrogenase catalytic subunit [EC.1.2.7.4]	0.991934202738143	0.00725170399925	0.000613802640821355	0.000200290621094621	6.90886632019042e-13
K00208|enoyl-[acyl-carrier protein] reductase I [EC.1.3.1.9 1.3.1.10]	0.917755662813374	0	0.0220906597472735	0.0601536774393527	0
K00215|4-hydroxy-tetrahydrodipicolinate reductase [EC.1.17.1.8]	0.737089264556388	0.248384248763895	0.0116997037993868	0.00282678287950311	8.27675914675604e-13
K00226|dihydroorotate dehydrogenase (fumarate) [EC.1.3.98.1]	0.703791630655675	0.262077288929008	0.0338013249800721	0.000329755435244569	0
K00239|succinate dehydrogenase | fumarate reductase, flavoprotein subunit [EC.1.3.5.1 1.3.5.4]	0.897844949106777	0.0494243504076317	0.0526020657781771	0.000128634707351117	6.30560476105358e-14
K00241|succinate dehydrogenase | fumarate reductase, cytochrome b subunit	0.929605404295675	0.0135500100873044	0.00769272910827377	0.00402712012874252	0.045124736380004
K00243|hypothetical protein	0.593235490279256	0.404594868976959	0.00190415855645724	0.000265482187327226	0
K00244|fumarate reductase flavoprotein subunit [EC.1.3.5.4]	0.693985082534206	0.276733111239652	0.0292729436445412	8.86258160107066e-06	0
K00246|fumarate reductase subunit C	0.480726032740807	0.510084502641557	0.00436292470125203	0.00482653991638411	0
K00248|butyryl-CoA dehydrogenase [EC.1.3.8.1]	0.878036444294013	0.0831870809593467	0.0387381073704196	3.83673745822138e-05	1.63805193287481e-12
K00257| [EC.1.3.99.-]	0.928270179980576	0.0147997004400507	0.0566888917627735	0.000241227807989997	8.60944953261791e-12
K00259|alanine dehydrogenase [EC.1.4.1.1]	0.937593086539021	0	0.0603663553174921	0.00204055814348685	0
K00262|glutamate dehydrogenase (NADP+) [EC.1.4.1.4]	0.840800706038339	0.100514697482617	0.0560258652751782	0.00265873112863517	7.52304559321251e-11
K00265|glutamate synthase (NADPH|NADH) large chain [EC.1.4.1.13 1.4.1.14]	0.940015174446533	0.0541284581803364	0.00569067627692785	0.000165691096202571	0
K00266|glutamate synthase (NADPH|NADH) small chain [EC.1.4.1.13 1.4.1.14]	0.931818606320154	0.0438250444996871	0.0237991040463425	0.000557245120746907	1.30695810382263e-11
K00278|L-aspartate oxidase [EC.1.4.3.16]	0.529365561181733	0.468617226740873	7.41141516246088e-05	0.00194309792576929	6.86543134195501e-17
K00281|glycine dehydrogenase [EC.1.4.4.2]	0.880862813891603	0.0660824523600677	0.0523299917985855	0.00072474194974338	0
K00283|glycine dehydrogenase subunit 2 [EC.1.4.4.2]	0.984307861690125	0	0.00914504683703083	0.00654709147284389	0
K00284|glutamate synthase (ferredoxin) [EC.1.4.7.1]	0.825814313088506	0.126496989933283	0.00980214800911808	0.02621407180157	0.0116724771675231
K00286|pyrroline-5-carboxylate reductase [EC.1.5.1.2]	0.578554450107017	0.407553752870446	0.00871797188942779	0.00517382513305141	5.77324608334387e-14
K00287|dihydrofolate reductase [EC.1.5.1.3]	0.93811151508185	0.0592191927790331	0.000137110108136332	0.00253218203048085	4.99170076705773e-13
K00290|saccharopine dehydrogenase (NAD+, L-lysine forming) [EC.1.5.1.7]	0.883526697811407	0	0.0548059584055444	1.90467583056367e-06	0.0616654391072183
K00294|1-pyrroline-5-carboxylate dehydrogenase [EC.1.2.1.88]	0.672616824629246	0.317694645644703	0.000386402039809092	0.00930212687555296	8.10689225305468e-10
K00297|methylenetetrahydrofolate reductase (NADPH) [EC.1.5.1.20]	0.937622404605653	0.0218924317201975	0.0404837373390403	1.4263351090014e-06	0
K00330|NADH-quinone oxidoreductase subunit A [EC.1.6.5.3]	0.501729761655672	0.49167588957403	0.00561201236233783	0.000982336407942428	1.80387819550155e-14
K00331|NADH-quinone oxidoreductase subunit B [EC.1.6.5.3]	0.556260884157452	0.443306998339881	2.42333781614369e-08	0.000431995483608377	9.77856803695418e-08
K00332|NADH-quinone oxidoreductase subunit C [EC.1.6.5.3]	0.522983959437785	0.461160245611226	0.0120505998275027	0.0038051951234866	5.90121466217471e-17
K00333|NADH-quinone oxidoreductase subunit D [EC.1.6.5.3]	0.531692324925272	0.454306390669067	0.012637902123733	0.00136338228192871	0
K00334|NADH-quinone oxidoreductase subunit E [EC.1.6.5.3]	0.71734517697089	0.264081083970736	0.0172066853897309	0.00136705366864303	0
K00336|NADH-quinone oxidoreductase subunit G [EC.1.6.5.3]	0.607626712912455	0.382147840625497	0.0101637483983657	6.16980636818333e-05	0
K00337|NADH-quinone oxidoreductase subunit H [EC.1.6.5.3]	0.457901426016342	0.529284246283914	0.00152333722793882	0.00176239612482495	0.00952859434698027
K00338|NADH-quinone oxidoreductase subunit I [EC.1.6.5.3]	0.523319581279258	0.461585663826795	0.0136785634388608	0.00141619145506429	2.18062626585796e-14
K00339|NADH-quinone oxidoreductase subunit J [EC.1.6.5.3]	0.577116851937746	0.413382791914415	0.0073829325760284	0.00211742357181013	0
K00340|NADH-quinone oxidoreductase subunit K [EC.1.6.5.3]	0.631391178115524	0.349982802702228	0.0148483807218773	0.00377763846034512	2.56137858622566e-14
K00341|NADH-quinone oxidoreductase subunit L [EC.1.6.5.3]	0.505264624071585	0.486275317301567	0.00440941040836065	0.00405064821848727	0
K00342|NADH-quinone oxidoreductase subunit M [EC.1.6.5.3]	0.542509319294677	0.441603706658444	0.0134137356596643	0.00247323838666974	5.45179189948825e-13
K00343|NADH-quinone oxidoreductase subunit N [EC.1.6.5.3]	0.538084189383468	0.44938477475426	0.012074102817955	0.000456933044316558	4.98777542095822e-16
K00346|Na+-transporting NADH:ubiquinone oxidoreductase subunit A	0.97497481782742	0.0200159882276764	0.00218799072030996	0.002821203224594	0
K00347|Na+-transporting NADH:ubiquinone oxidoreductase subunit B	0.849054020324606	0.0444023118406213	0.0802585180729383	0.0262851497618342	0
K00348|Na+-transporting NADH:ubiquinone oxidoreductase subunit C	0.96173234665684	0	0.0367291816738418	0.0015384716693179	0
K00350|Na+-transporting NADH:ubiquinone oxidoreductase subunit E	0.949846044175838	0.0441072679399484	2.70796853282868e-05	0.00601960818945489	9.43056588123564e-12
K00351|Na+-transporting NADH:ubiquinone oxidoreductase subunit F	0.879053758613743	0.0396993475268373	0.0802836828848834	0.00096321097447479	6.15164032973068e-14
K00364|GMP reductase [EC.1.7.1.7]	0.600107271233695	0.371965012847058	0.0274213535202369	0.000506362339239434	5.97712441791416e-11
K00373|nitrate reductase delta subunit	0.392629349706429	0.596869694924487	0.0103384974550387	0.000162457914044448	5.05598637062567e-16
K00382|dihydrolipoamide dehydrogenase [EC.1.8.1.4]	0.969831786800543	0	0.0300381347526958	0.000130078446761247	0
K00383|glutathione reductase (NADPH) [EC.1.8.1.7]	0.685066522060677	0.278367390347055	0.0364552763144006	0.000110811277867723	0
K00384|thioredoxin reductase (NADPH) [EC.1.8.1.9]	0.640755312362164	0.341872558208521	0.0173671465375561	4.98289175842297e-06	9.43178367608849e-17
K00390|phosphoadenosine phosphosulfate reductase [EC.1.8.4.8 1.8.4.10]	0.894691471840225	0.0711763012132011	0.0234258838001065	0.0107063431462911	1.76066936848739e-13
K00412|ubiquinol-cytochrome c reductase cytochrome b subunit	0.992494687308933	0	0.00644839138916927	0.00105692130189741	0
K00425|cytochrome d ubiquinol oxidase subunit I [EC.1.10.3.14]	0.665289234054865	0.317105889339406	0.0112157054030959	0.00638917120262879	3.97125260297318e-15
K00426|cytochrome d ubiquinol oxidase subunit II [EC.1.10.3.14]	0.549472460753024	0.449035488462125	0.00020975625957641	0.00128229452189131	3.38237728832804e-12
K00428|cytochrome c peroxidase	0.560145190641285	0.419476668011912	0.0196585911187246	0.000719550227815465	2.62035407738272e-13
K00525|ribonucleoside-diphosphate reductase alpha chain [EC.1.17.4.1]	0.859290155589912	0.072851851049665	0.066239091084304	0.00161890227491255	1.2067713017643e-12
K00527|ribonucleoside-triphosphate reductase [EC.1.17.4.2]	0.916477494227279	0.0827072813165804	0.000752276481247911	6.2947966662718e-05	8.2300284943922e-12
K00528|ferredoxin--NADP+ reductase	0.655898162462209	0.311909963483838	0.00311417105359165	0.0171268053589368	0.0119508976414246
K00548|5-methyltetrahydrofolate--homocysteine methyltransferase [EC.2.1.1.13]	0.926418441666855	0.0212528174642507	0.0356728080355648	0.0166559328333293	5.06473433447839e-16
K00549|5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase [EC.2.1.1.14]	0.513313562379062	0.473685975901076	0.0100489840228606	0.0029514776970009	0
K00554|tRNA (guanine-N1-)-methyltransferase	0.771427014644125	0.212833468518268	0.0115077941678038	0.00423172266980322	0
K00556|tRNA (guanosine-2-O-)-methyltransferase	0.977782898163733	0	0.000795116068814548	0.0214219857674525	0
K00557|tRNA (uracil-5-)-methyltransferase	0.500616137623985	0.496199059984162	0.00310087606653466	8.39263253189422e-05	0
K00558|DNA (cytosine-5)-methyltransferase 1 [EC.2.1.1.37]	0.973965175942366	0	0.0198088184217375	0.00622600563589652	0
K00560|thymidylate synthase [EC.2.1.1.45]	0.651244847327167	0.336560604706345	0.01177438393538	0.000420164031108229	0
K00564|ribosomal RNA small subunit methyltransferase C	0.715068640122561	0.258506963078948	0.0259732126209067	0.000451184177583855	0
K00566|tRNA-specific 2-thiouridylase [EC.2.8.1.-]	0.7269767936638	0.242891787050553	0.0290773657466141	0.00105405353902429	8.59542477317192e-15
K00567|methylated-DNA-[protein]-cysteine S-methyltransferase	0.742955558987341	0.189444319762881	0.0673288829135253	0.000271238336252313	0
K00571|site-specific DNA-methyltransferase (adenine-specific)	0.546996113686673	0.436172291183199	0.0163191419590771	0.000512453148956605	2.20937736435692e-11
K00574|cyclopropane-fatty-acyl-phospholipid synthase	0.394164603194888	0.592481049475231	0.0123772663919817	0.000977080937899593	6.61369327928186e-17
K00575|chemotaxis protein methyltransferase CheR [EC.2.1.1.80]	0.524420990800183	0.457826536511691	0.0166625880898226	0.00108988459830341	0
K00600|glycine hydroxymethyltransferase [EC.2.1.2.1]	0.648698010444137	0.312349466599191	0.0357594110416989	0.00319311191497317	0
K00602|phosphoribosylaminoimidazolecarboxamide formyltransferase | IMP cyclohydrolase [EC.2.1.2.3 3.5.4.10]	0.963454111729503	0.0213916462122262	0.014101917489322	0.00105232430066618	2.68282928639455e-10
K00603|glutamate formiminotransferase [EC.2.1.2.5]	0.890447918721887	0.100653333263561	0.00416919436021448	0.00472955365433736	0
K00604|methionyl-tRNA formyltransferase [EC.2.1.2.9]	0.829260440387932	0.147743506970976	0.0229938141447428	2.238496175932e-06	1.7380703748761e-13
K00605|aminomethyltransferase [EC.2.1.2.10]	0.986624851085159	0	0.000186387308665981	0.0131887616061749	0
K00606|3-methyl-2-oxobutanoate hydroxymethyltransferase [EC.2.1.2.11]	0.64865864479334	0.344620530322311	0.00482931740734205	0.00189150747700631	0
K00609|aspartate carbamoyltransferase catalytic subunit [EC.2.1.3.2]	0.692032766176478	0.268660903440241	0.038445673381021	0.000860657001229915	1.02975265006015e-12
K00610|aspartate carbamoyltransferase regulatory subunit	0.619767353664511	0.287639722564787	0.0440075501190034	0.0336577839737567	0.0149275896779418
K00611|ornithine carbamoyltransferase [EC.2.1.3.3]	0.370209038133884	0.618179597991656	0.0112452388602144	0.000366125014245499	0
K00615|transketolase [EC.2.2.1.1]	0.67610767898218	0.286947797475618	0.02705084599308	0.00989367754912131	2.67724607965006e-16
K00616|transaldolase [EC.2.2.1.2]	0.749604424648386	0.203235650514494	0.000213974444103495	0.00373126715923227	0.0432146832337836
K00620|glutamate N-acetyltransferase | amino-acid N-acetyltransferase [EC.2.3.1.35 2.3.1.1]	0.495901420889316	0.491354125464711	0.0121391247202763	0.000605328925697173	1.18427342384942e-21
K00625|phosphate acetyltransferase [EC.2.3.1.8]	0.634370723063116	0.353544098108618	0.0106618476013741	0.00142333122688755	3.38826250210654e-15
K00626|acetyl-CoA C-acetyltransferase [EC.2.3.1.9]	0.635367121560111	0.322594414653548	0.00257710371856522	0.0130143467559476	0.0264470133118283
K00634|phosphate butyryltransferase [EC.2.3.1.19]	0.953200249561075	0.00368901448535719	0.0267169443130415	0.0163937916390682	1.45840020078489e-12
K00640|serine O-acetyltransferase [EC.2.3.1.30]	0.528529059979043	0.460365292508559	0.0110086190215418	9.70284908566312e-05	0
K00641|homoserine O-acetyltransferase [EC.2.3.1.31]	0.700936420295608	0.103874302925935	0.12646216568577	0.0687271110573967	3.52905385898177e-11
K00645|[acyl-carrier-protein] S-malonyltransferase [EC.2.3.1.39]	0.838326410240208	0.137954771526099	0.0237098706300247	8.94760366813395e-06	0
K00648|3-oxoacyl-[acyl-carrier-protein] synthase III [EC.2.3.1.180]	0.5445040287898	0.441547283294349	0.0125436540238425	0.00140503389186625	1.4266760700181e-13
K00651|homoserine O-succinyltransferase [EC.2.3.1.46]	0.526108373044614	0.469295379371184	0.000850451256218232	0.00374579632728657	6.97143765225007e-13
K00652|8-amino-7-oxononanoate synthase [EC.2.3.1.47]	0.529886548610089	0.46745598068411	0.000216500439704917	0.00244097026609594	0
K00655|1-acyl-sn-glycerol-3-phosphate acyltransferase [EC.2.3.1.51]	0.791571460083692	0.201337788283551	0.00521823416565067	0.00187251745015921	1.69470499100952e-11
K00656|formate C-acetyltransferase [EC.2.3.1.54]	0.908749810482374	0.0789016987082215	0.0122705179580909	7.79727617547555e-05	8.95583587975503e-11
K00661|maltose O-acetyltransferase	0.796351309122405	0.183741188758051	0.0183769995389295	0.00153050258061477	0
K00662|aminoglycoside N3-acetyltransferase	0.687426475839494	0.281480241866591	0.0309180210091883	0.000175261284726729	4.75071428309132e-19
K00674|2,3,4,5-tetrahydropyridine-2-carboxylate N-succinyltransferase [EC.2.3.1.117]	0.625223120615279	0.357432431676515	0.0132909849086449	0.00405346279951316	4.80397854909772e-14
K00677|UDP-N-acetylglucosamine acyltransferase [EC.2.3.1.129]	0.994389366523239	0	0.00150467182245875	0.00410596165430251	0
K00685|arginine-tRNA-protein transferase	0.589151103361106	0.398159056772247	0.0100939160373217	0.0025959238293159	9.1193777830747e-15
K00688|starch phosphorylase [EC.2.4.1.1]	0.651975911836265	0.250119510287937	0.0180613649920656	7.40849762096172e-05	0.0797691279075227
K00691|maltose phosphorylase [EC.2.4.1.8]	0.933368743419682	0.0581195477637268	0.0026561256719541	0.00585558314463678	0
K00700|1,4-alpha-glucan branching enzyme [EC.2.4.1.18]	0.995160886444761	0	0.0028841362959961	0.00195497725924264	0
K00702|cellobiose phosphorylase [EC.2.4.1.20]	0.585938671325922	0	0.00890405979820172	0.405157268875877	0
K00703|starch synthase [EC.2.4.1.21]	0.86708515600723	0.0350162996935617	0.0960028489487042	0.00189569535050387	0
K00705|4-alpha-glucanotransferase [EC.2.4.1.25]	0.938071593949916	7.96130733780363e-19	0.0112212644104532	0.0436626798300467	0.00704446180958402
K00721|dolichol-phosphate mannosyltransferase [EC.2.4.1.83]	0.904030984294466	0.0923615477366578	0.00088037632065878	0.00272709164821727	0
K00748|lipid-A-disaccharide synthase [EC.2.4.1.182]	0.481213012023226	0.511772618809497	0.00473805779550479	0.00227631137177198	0
K00757|uridine phosphorylase [EC.2.4.2.3]	0.911052203963276	0.0724482823637172	0.000338496963588247	0.00201284909558315	0.0141481676138352
K00759|adenine phosphoribosyltransferase [EC.2.4.2.7]	0.584898727435421	0.372903143895667	0.0421064617053116	9.16669636009845e-05	6.98547923233468e-20
K00760|hypoxanthine phosphoribosyltransferase [EC.2.4.2.8]	0.692622252436769	0.279730090047911	0.0273862423330902	0.000261415182147586	8.28368494412207e-14
K00761|uracil phosphoribosyltransferase [EC.2.4.2.9]	0.543131822779871	0.438903599602675	0.0163834045062956	0.00158117311115785	0
K00762|orotate phosphoribosyltransferase [EC.2.4.2.10]	0.67819876893092	0.281823432847126	0.0394103073825287	0.000567490839005056	4.19737514683785e-13
K00763|nicotinate phosphoribosyltransferase [EC.6.3.4.21]	0.60873409375763	0.362140892148386	0.0282889087242227	0.000836105369760704	0
K00764|amidophosphoribosyltransferase [EC.2.4.2.14]	0.761207445138373	0.222595810935955	0.0143630115600154	0.00183373236565683	9.6784220073653e-22
K00765|ATP phosphoribosyltransferase [EC.2.4.2.17]	0.442613135685712	0.516591552376638	0.0382898332686109	9.61902941287081e-05	0.00240928837490963
K00766|anthranilate phosphoribosyltransferase [EC.2.4.2.18]	0.974511887550237	0.0224370745558889	0.000945119332881188	0.00210591856099334	5.66990464926505e-18
K00767|nicotinate-nucleotide pyrophosphorylase (carboxylating) [EC.2.4.2.19]	0.58567353386351	0.402885107010782	0.0107459941158071	0.00069536500990018	0
K00768|nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase [EC.2.4.2.21]	0.70139350025587	0.263194473057036	0.00804419029540726	0.0125374449838035	0.0148303914078826
K00773|queuine tRNA-ribosyltransferase	0.685706980004135	0.283196091234297	0.019332872730149	0.00289569824777947	0.00886835778363929
K00782|hypothetical protein	0.530820334463729	0.458770588063398	0.0058867007677936	0.000102123959701264	0.00442025274537852
K00783|hypothetical protein	0.762351591640396	0.214082448353501	0.0230245562925112	0.000541403713592189	0
K00784|ribonuclease Z [EC.3.1.26.11]	0.47861756866199	0.508763708987276	0.0112380665772716	0.00138065577346256	0
K00788|thiamine-phosphate pyrophosphorylase [EC.2.5.1.3]	0.537433823730951	0.448282545870432	0.0138656338066343	0.000417996591982564	0
K00789|S-adenosylmethionine synthetase [EC.2.5.1.6]	0.57623801317574	0.420785094988483	0.00188454722195967	0.00109234461381795	6.03572920241932e-17
K00790|UDP-N-acetylglucosamine 1-carboxyvinyltransferase [EC.2.5.1.7]	0.703996124724237	0.255630215582226	0.0398533846269238	0.000520275066547314	6.50225758372404e-14
K00791|tRNA dimethylallyltransferase [EC.2.5.1.75]	0.841343235671397	0.135516532580363	0.0225852078478808	0.000555023900358376	2.2033234476165e-16
K00793|riboflavin synthase [EC.2.5.1.9]	0.500684633021395	0.488461174035106	0.0104155657703771	0.000438627173122785	0
K00794|6,7-dimethyl-8-ribityllumazine synthase [EC.2.5.1.78]	0.675554716066402	0.277570372794666	0.0462959389323882	0.00057897220506735	1.47675453615663e-12
K00795|farnesyl diphosphate synthase [EC.2.5.1.1 2.5.1.10]	0.569964207655129	0.41858206157357	0.0073548101727741	0.00409892059714697	1.37940313484882e-12
K00796|dihydropteroate synthase [EC.2.5.1.15]	0.885379856183019	0.0804866719646365	0.0338583908934967	0.000275080958241311	6.06716887016717e-13
K00797|spermidine synthase [EC.2.5.1.16]	0.802098845355077	0.16298944068155	0.00542446050859456	0.00159708597943296	0.0278901674753455
K00798|cob(I)alamin adenosyltransferase [EC.2.5.1.17]	0.985165262580171	0.0136441037465528	0.000931445511440797	0.000259188157450118	4.3854757142886e-12
K00800|3-phosphoshikimate 1-carboxyvinyltransferase [EC.2.5.1.19]	0.679798680305745	0.318526348068567	0.00151863388980192	0.000156337735886207	0
K00805|heptaprenyl diphosphate synthase [EC.2.5.1.30]	0.943472824528023	0.0352985295508552	0.000614039180179652	0.0206146067409425	0
K00806|undecaprenyl diphosphate synthase [EC.2.5.1.31]	0.712673773885332	0.247289628632557	0.0397667409532942	0.000269856528816676	0
K00812|aspartate aminotransferase [EC.2.6.1.1]	0.664264753077798	0.325502135476361	0.0101303089833643	0.000102802462388804	8.74667682579165e-14
K00817|histidinol-phosphate aminotransferase [EC.2.6.1.9]	0.581755697410333	0.408053957842548	0.0101865475865738	3.79716053485577e-06	1.07416818358057e-14
