2023-12-20 21:13:39.640165 INFO::Writing function arguments to log file
2023-12-20 21:13:39.644813 DEBUG::Function arguments
2023-12-20 21:13:39.64811 DEBUG::Output folder: outputs/differential_abundance_species_metaphlan4/lmm_maaslin2/species/alldata
2023-12-20 21:13:39.648291 DEBUG::Min Abundance: 0.000000
2023-12-20 21:13:39.648442 DEBUG::Min Prevalence: 0.200000
2023-12-20 21:13:39.64858 DEBUG::Normalization: NONE
2023-12-20 21:13:39.648716 DEBUG::Transform: NONE
2023-12-20 21:13:39.648848 DEBUG::Analysis method: LM
2023-12-20 21:13:39.648977 DEBUG::Max significance: 0.250000
2023-12-20 21:13:39.649112 DEBUG::Random effects: mouse_id
2023-12-20 21:13:39.649241 DEBUG::Fixed effects: trimester,genotype
2023-12-20 21:13:39.649368 DEBUG::Correction method: BH
2023-12-20 21:13:39.649493 DEBUG::Standardize: TRUE
2023-12-20 21:13:39.649615 DEBUG::Cores: 1
2023-12-20 21:13:39.649732 INFO::Verifying options selected are valid
2023-12-20 21:13:39.690446 INFO::Determining format of input files
2023-12-20 21:13:39.691223 INFO::Input format is data samples as rows and metadata samples as rows
2023-12-20 21:13:39.692435 DEBUG::A total of 72 samples were found in both the data and metadata
2023-12-20 21:13:39.692608 DEBUG::Reordering data/metadata to use same sample ordering
2023-12-20 21:13:41.863822 INFO::Fitting model to feature number 94, s__GGB28959_SGB41668
2023-12-20 21:13:41.88495 INFO::Fitting model to feature number 95, s__GGB28893_SGB41574
2023-12-20 21:13:41.905741 INFO::Fitting model to feature number 96, s__GGB28903_SGB41594
2023-12-20 21:13:41.926338 INFO::Fitting model to feature number 97, s__GGB28330_SGB40904
2023-12-20 21:13:41.947328 INFO::Fitting model to feature number 98, s__GGB28384_SGB40964
2023-12-20 21:13:41.967465 INFO::Fitting model to feature number 99, s__GGB28386_SGB40966
2023-12-20 21:13:41.988669 INFO::Fitting model to feature number 100, s__GGB28393_SGB40973
2023-12-20 21:13:42.008869 INFO::Fitting model to feature number 101, s__GGB28394_SGB40974
2023-12-20 21:13:42.029365 INFO::Fitting model to feature number 102, s__GGB28428_SGB41011
2023-12-20 21:13:42.058093 INFO::Fitting model to feature number 103, s__GGB28431_SGB41014
2023-12-20 21:13:42.078994 INFO::Fitting model to feature number 104, s__GGB28433_SGB41016
2023-12-20 21:13:42.099782 INFO::Fitting model to feature number 105, s__GGB28437_SGB41020
2023-12-20 21:13:42.120389 INFO::Fitting model to feature number 106, s__GGB28779_SGB41432
2023-12-20 21:13:42.140884 INFO::Fitting model to feature number 107, s__GGB28881_SGB41561
2023-12-20 21:13:42.167653 INFO::Fitting model to feature number 108, s__GGB28929_SGB41629
2023-12-20 21:13:42.192089 INFO::Fitting model to feature number 109, s__GGB28934_SGB41635
2023-12-20 21:13:42.211929 INFO::Fitting model to feature number 110, s__GGB28945_SGB41650
2023-12-20 21:13:42.232783 INFO::Fitting model to feature number 111, s__GGB28949_SGB41655
2023-12-20 21:13:42.252951 INFO::Fitting model to feature number 112, s__GGB28980_SGB41692
2023-12-20 21:13:42.272688 INFO::Fitting model to feature number 113, s__GGB28996_SGB41712
2023-12-20 21:13:42.292559 INFO::Fitting model to feature number 114, s__GGB29002_SGB41718
2023-12-20 21:13:42.312167 INFO::Fitting model to feature number 115, s__GGB29003_SGB41719
2023-12-20 21:13:42.332374 INFO::Fitting model to feature number 116, s__GGB29004_SGB41721
2023-12-20 21:13:42.352993 INFO::Fitting model to feature number 117, s__GGB29531_SGB42317
2023-12-20 21:13:42.373456 INFO::Fitting model to feature number 118, s__GGB29546_SGB42338
2023-12-20 21:13:42.394476 INFO::Fitting model to feature number 119, s__GGB30142_SGB43067
2023-12-20 21:13:42.414224 INFO::Fitting model to feature number 120, s__GGB30408_SGB43438
2023-12-20 21:13:42.443182 INFO::Fitting model to feature number 121, s__GGB28402_SGB40984
2023-12-20 21:13:42.463553 INFO::Fitting model to feature number 122, s__GGB28404_SGB40986
2023-12-20 21:13:42.48344 INFO::Fitting model to feature number 123, s__GGB28416_SGB40998
2023-12-20 21:13:42.504066 INFO::Fitting model to feature number 124, s__GGB28422_SGB41005
2023-12-20 21:13:42.523875 INFO::Fitting model to feature number 125, s__Candidatus_Arthromitus_sp_SFB_mouse
2023-12-20 21:13:42.544163 INFO::Fitting model to feature number 126, s__Clostridiaceae_bacterium
2023-12-20 21:13:42.564361 INFO::Fitting model to feature number 127, s__Clostridiaceae_unclassified_SGB41645
2023-12-20 21:13:42.584877 INFO::Fitting model to feature number 128, s__GGB28988_SGB41701
2023-12-20 21:13:42.604787 INFO::Fitting model to feature number 129, s__GGB28989_SGB41702
2023-12-20 21:13:42.625612 INFO::Fitting model to feature number 130, s__GGB30145_SGB43072
2023-12-20 21:13:42.645778 INFO::Fitting model to feature number 131, s__GGB30147_SGB43074
2023-12-20 21:13:42.665605 INFO::Fitting model to feature number 132, s__Emergencia_sp_1XD21_10
2023-12-20 21:13:42.685966 INFO::Fitting model to feature number 133, s__Clostridiales_bacterium
2023-12-20 21:13:42.705536 INFO::Fitting model to feature number 134, s__Acetatifactor_muris
2023-12-20 21:13:42.725555 INFO::Fitting model to feature number 135, s__Dorea_sp_5_2
2023-12-20 21:13:42.746535 INFO::Fitting model to feature number 136, s__GGB25041_SGB36960
2023-12-20 21:13:42.766657 INFO::Fitting model to feature number 137, s__GGB28621_SGB41239
2023-12-20 21:13:42.787391 INFO::Fitting model to feature number 138, s__GGB28763_SGB41411
2023-12-20 21:13:42.847661 INFO::Fitting model to feature number 139, s__GGB28766_SGB41417
2023-12-20 21:13:42.867649 INFO::Fitting model to feature number 140, s__GGB28769_SGB41421
2023-12-20 21:13:42.888997 INFO::Fitting model to feature number 141, s__GGB28772_SGB41425
2023-12-20 21:13:42.910273 INFO::Fitting model to feature number 142, s__GGB28790_SGB41443
2023-12-20 21:13:42.930471 INFO::Fitting model to feature number 143, s__GGB28793_SGB41446
2023-12-20 21:13:42.951519 INFO::Fitting model to feature number 144, s__GGB28798_SGB41451
2023-12-20 21:13:42.9793 INFO::Fitting model to feature number 145, s__GGB28803_SGB41457
2023-12-20 21:13:43.001192 INFO::Fitting model to feature number 146, s__GGB28807_SGB41461
2023-12-20 21:13:43.021261 INFO::Fitting model to feature number 147, s__GGB28836_SGB41496
2023-12-20 21:13:43.04149 INFO::Fitting model to feature number 148, s__GGB28841_SGB41505
2023-12-20 21:13:43.062474 INFO::Fitting model to feature number 149, s__GGB28846_SGB41513
2023-12-20 21:13:43.082647 INFO::Fitting model to feature number 150, s__GGB28849_SGB41516
2023-12-20 21:13:43.103691 INFO::Fitting model to feature number 151, s__GGB28851_SGB41518
2023-12-20 21:13:43.123838 INFO::Fitting model to feature number 152, s__GGB28861_SGB41531
2023-12-20 21:13:43.144595 INFO::Fitting model to feature number 153, s__GGB28868_SGB41542
2023-12-20 21:13:43.164776 INFO::Fitting model to feature number 154, s__GGB28869_SGB41543
2023-12-20 21:13:43.185198 INFO::Fitting model to feature number 155, s__GGB28870_SGB41546
2023-12-20 21:13:43.20755 INFO::Fitting model to feature number 156, s__GGB28870_SGB41549
2023-12-20 21:13:43.242907 INFO::Fitting model to feature number 157, s__GGB28873_SGB41553
2023-12-20 21:13:43.265764 INFO::Fitting model to feature number 158, s__GGB28875_SGB41555
2023-12-20 21:13:43.292671 INFO::Fitting model to feature number 159, s__GGB28879_SGB41559
2023-12-20 21:13:43.323287 INFO::Fitting model to feature number 160, s__GGB28916_SGB41612
2023-12-20 21:13:43.358548 INFO::Fitting model to feature number 161, s__GGB28926_SGB41623
2023-12-20 21:13:43.3885 INFO::Fitting model to feature number 162, s__GGB28927_SGB41625
2023-12-20 21:13:43.426516 INFO::Fitting model to feature number 163, s__GGB28963_SGB41672
2023-12-20 21:13:43.454479 INFO::Fitting model to feature number 164, s__GGB28968_SGB41679
2023-12-20 21:13:43.478014 INFO::Fitting model to feature number 165, s__GGB29005_SGB41723
2023-12-20 21:13:43.503251 INFO::Fitting model to feature number 166, s__GGB29006_SGB41724
2023-12-20 21:13:43.527601 INFO::Fitting model to feature number 167, s__GGB29006_SGB41725
2023-12-20 21:13:43.553702 INFO::Fitting model to feature number 168, s__Lachnospiraceae_bacterium
2023-12-20 21:13:43.574103 INFO::Fitting model to feature number 169, s__Lachnospiraceae_bacterium_28_4
2023-12-20 21:13:43.594327 INFO::Fitting model to feature number 170, s__Lachnospiraceae_bacterium_A2
2023-12-20 21:13:43.615318 INFO::Fitting model to feature number 171, s__Lachnospiraceae_bacterium_A4
2023-12-20 21:13:43.638167 INFO::Fitting model to feature number 172, s__Lachnospiraceae_bacterium_MD308
2023-12-20 21:13:43.664149 INFO::Fitting model to feature number 173, s__Lachnospiraceae_bacterium_MD335
2023-12-20 21:13:43.684379 INFO::Fitting model to feature number 174, s__Lachnospiraceae_bacterium_WCA_9_b2
2023-12-20 21:13:43.713699 INFO::Fitting model to feature number 175, s__Lachnospiraceae_unclassified_SGB41498
2023-12-20 21:13:43.734373 INFO::Fitting model to feature number 176, s__Roseburia_sp_1XD42_69
2023-12-20 21:13:43.754906 INFO::Fitting model to feature number 177, s__Schaedlerella_arabinosiphila
2023-12-20 21:13:43.775842 INFO::Fitting model to feature number 178, s__Oscillibacter_sp_1_3
2023-12-20 21:13:43.796252 INFO::Fitting model to feature number 179, s__Romboutsia_ilealis
2023-12-20 21:13:43.81725 INFO::Fitting model to feature number 180, s__Acutalibacter_muris
2023-12-20 21:13:43.837359 INFO::Fitting model to feature number 181, s__Anaerotruncus_colihominis
2023-12-20 21:13:43.858339 INFO::Fitting model to feature number 182, s__GGB29550_SGB42344
2023-12-20 21:13:43.878435 INFO::Fitting model to feature number 183, s__GGB30091_SGB43003
2023-12-20 21:13:43.899258 INFO::Fitting model to feature number 184, s__GGB30093_SGB43006
2023-12-20 21:13:43.919815 INFO::Fitting model to feature number 185, s__GGB30295_SGB43259
2023-12-20 21:13:43.945862 INFO::Fitting model to feature number 186, s__GGB30297_SGB43261
2023-12-20 21:13:43.967738 INFO::Fitting model to feature number 187, s__GGB30444_SGB43493
2023-12-20 21:13:43.987146 INFO::Fitting model to feature number 188, s__GGB30445_SGB43494
2023-12-20 21:13:44.007604 INFO::Fitting model to feature number 189, s__GGB30448_SGB43502
2023-12-20 21:13:44.028749 INFO::Fitting model to feature number 190, s__GGB30448_SGB43504
2023-12-20 21:13:44.048394 INFO::Fitting model to feature number 191, s__GGB30451_SGB43508
2023-12-20 21:13:44.069295 INFO::Fitting model to feature number 192, s__GGB30454_SGB43514
2023-12-20 21:13:44.098889 INFO::Fitting model to feature number 193, s__GGB30454_SGB43516
2023-12-20 21:13:44.118588 INFO::Fitting model to feature number 194, s__GGB30457_SGB43521
2023-12-20 21:13:44.138989 INFO::Fitting model to feature number 195, s__GGB30457_SGB43523
2023-12-20 21:13:44.160172 INFO::Fitting model to feature number 196, s__GGB30461_SGB43530
2023-12-20 21:13:44.18034 INFO::Fitting model to feature number 197, s__GGB30461_SGB43533
2023-12-20 21:13:44.201302 INFO::Fitting model to feature number 198, s__GGB30461_SGB63209
2023-12-20 21:13:44.221675 INFO::Fitting model to feature number 199, s__GGB30466_SGB43541
2023-12-20 21:13:44.242941 INFO::Fitting model to feature number 200, s__GGB30466_SGB43546
2023-12-20 21:13:44.263339 INFO::Fitting model to feature number 201, s__GGB30473_SGB43557
2023-12-20 21:13:44.284595 INFO::Fitting model to feature number 202, s__GGB30475_SGB63182
2023-12-20 21:13:44.305783 INFO::Fitting model to feature number 203, s__GGB3171_SGB4185
2023-12-20 21:13:44.326335 INFO::Fitting model to feature number 204, s__Neglecta_sp_X4
2023-12-20 21:13:44.347387 INFO::Fitting model to feature number 205, s__Pseudoflavonifractor_sp_60
2023-12-20 21:13:44.367367 INFO::Fitting model to feature number 206, s__Faecalibaculum_rodentium
2023-12-20 21:13:44.388718 INFO::Fitting model to feature number 207, s__GGB31184_SGB44478
2023-12-20 21:13:44.408878 INFO::Fitting model to feature number 208, s__Turicibacter_sp_TS3
2023-12-20 21:13:44.4293 INFO::Fitting model to feature number 209, s__Firmicutes_bacterium_ASF500
2023-12-20 21:13:44.449303 INFO::Fitting model to feature number 210, s__GGB30667_SGB43809
2023-12-20 21:13:44.47974 INFO::Fitting model to feature number 211, s__Parasutterella_excrementihominis
2023-12-20 21:13:44.499958 INFO::Fitting model to feature number 212, s__Turicimonas_muris
2023-12-20 21:13:44.520567 INFO::Fitting model to feature number 213, s__GGB28308_SGB40878
2023-12-20 21:13:44.54075 INFO::Fitting model to feature number 214, s__GGB28310_SGB40880
2023-12-20 21:13:44.561463 INFO::Fitting model to feature number 215, s__GGB28317_SGB40889
2023-12-20 21:13:44.581815 INFO::Fitting model to feature number 216, s__Helicobacter_hepaticus
2023-12-20 21:13:44.620437 INFO::Counting total values for each feature
2023-12-20 21:13:44.63155 INFO::Writing filtered data to file outputs/differential_abundance_species_metaphlan4/lmm_maaslin2/species/alldata/features/filtered_data.tsv
2023-12-20 21:13:44.641229 INFO::Writing filtered, normalized data to file outputs/differential_abundance_species_metaphlan4/lmm_maaslin2/species/alldata/features/filtered_data_norm.tsv
2023-12-20 21:13:44.650217 INFO::Writing filtered, normalized, transformed data to file outputs/differential_abundance_species_metaphlan4/lmm_maaslin2/species/alldata/features/filtered_data_norm_transformed.tsv
2023-12-20 21:13:44.659 WARNING::Deleting existing residuals file: outputs/differential_abundance_species_metaphlan4/lmm_maaslin2/species/alldata/fits/residuals.rds
2023-12-20 21:13:44.659754 INFO::Writing residuals to file outputs/differential_abundance_species_metaphlan4/lmm_maaslin2/species/alldata/fits/residuals.rds
2023-12-20 21:13:44.664181 WARNING::Deleting existing fitted file: outputs/differential_abundance_species_metaphlan4/lmm_maaslin2/species/alldata/fits/fitted.rds
2023-12-20 21:13:44.66514 INFO::Writing fitted values to file outputs/differential_abundance_species_metaphlan4/lmm_maaslin2/species/alldata/fits/fitted.rds
2023-12-20 21:13:44.668863 WARNING::Deleting existing ranef file: outputs/differential_abundance_species_metaphlan4/lmm_maaslin2/species/alldata/fits/ranef.rds
2023-12-20 21:13:44.669633 INFO::Writing extracted random effects to file outputs/differential_abundance_species_metaphlan4/lmm_maaslin2/species/alldata/fits/ranef.rds
2023-12-20 21:13:44.671432 INFO::Writing all results to file (ordered by increasing q-values): outputs/differential_abundance_species_metaphlan4/lmm_maaslin2/species/alldata/all_results.tsv
2023-12-20 21:13:44.675304 INFO::Writing the significant results (those which are less than or equal to the threshold of 0.250000 ) to file (ordered by increasing q-values): outputs/differential_abundance_species_metaphlan4/lmm_maaslin2/species/alldata/significant_results.tsv
2023-12-20 21:13:44.677979 INFO::Writing heatmap of significant results to file: outputs/differential_abundance_species_metaphlan4/lmm_maaslin2/species/alldata/heatmap.pdf
2023-12-20 21:13:44.718263 INFO::Writing association plots (one for each significant association) to output folder: outputs/differential_abundance_species_metaphlan4/lmm_maaslin2/species/alldata
2023-12-20 21:13:44.721287 INFO::Plotting associations from most to least significant, grouped by metadata
2023-12-20 21:13:44.721959 INFO::Plotting data for metadata number 1, trimester
2023-12-20 21:13:44.723979 INFO::Creating boxplot for categorical data, trimester vs s__Enterorhabdus_sp_P55
2023-12-20 21:13:44.846094 INFO::Creating boxplot for categorical data, trimester vs s__Adlercreutzia_mucosicola
2023-12-20 21:13:44.927148 INFO::Creating boxplot for categorical data, trimester vs s__GGB14013_SGB21440
2023-12-20 21:13:44.991844 INFO::Creating boxplot for categorical data, trimester vs s__GGB27872_SGB40306
2023-12-20 21:13:45.055482 INFO::Creating boxplot for categorical data, trimester vs s__GGB24146_SGB35950
2023-12-20 21:13:45.120333 INFO::Creating boxplot for categorical data, trimester vs s__Adlercreutzia_caecicola
2023-12-20 21:13:45.18435 INFO::Creating boxplot for categorical data, trimester vs s__Adlercreutzia_caecimuris
2023-12-20 21:13:45.258809 INFO::Creating boxplot for categorical data, trimester vs s__GGB27872_SGB40306
2023-12-20 21:13:45.322227 INFO::Creating boxplot for categorical data, trimester vs s__Parabacteroides_distasonis
2023-12-20 21:13:45.386076 INFO::Creating boxplot for categorical data, trimester vs s__GGB24146_SGB35950
2023-12-20 21:13:45.449222 INFO::Creating boxplot for categorical data, trimester vs s__GGB27898_SGB40333
2023-12-20 21:13:45.511021 INFO::Creating boxplot for categorical data, trimester vs s__Muribaculaceae_bacterium_Isolate_013_NCI
2023-12-20 21:13:45.582557 INFO::Creating boxplot for categorical data, trimester vs s__GGB14013_SGB21440
